駅名,エスカレーター（地上～改札階）,エレベーター（地上～改札階）,エスカレーター（改札階～ホーム階）,エレベーター（改札階～ホーム階）,バリアフリートイレ（車椅子使用者対応トイレ）,ホーム形式,1ルート確保（エレベーター等）,駅タイプ,連絡先
（S-01）新宿,,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,03-3344-4021
（S-02）新宿三丁目,エスカレーター（一部階段あり）,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,03-3341-2931
（S-03）曙橋,エスカレーター（一部階段あり）,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,相対式,○,3,03-3358-0401
（S-04）市ヶ谷,エスカレーター（一部階段あり）,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,相対式,○,3,03-3234-6251
（S-05）九段下,エスカレーター,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,相対式,○,3,03-3234-7621
（S-06）神保町,エスカレーター,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,相対式,○,2,03-3234-5751
（S-07）小川町,エスカレーター（一部階段あり）,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,03-3251-3801
（S-08）岩本町,エスカレーター（一部階段あり）,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式2面,○,3,03-3255-8591
（S-09）馬喰横山,エスカレーター（一部階段あり）,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,相対式,○,3,03-3661-4561
（S-10）浜町,,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,03-3667-8351
（S-11）森下,エスカレーター,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,03-3634-5461
（S-12）菊川,エスカレーター（一部階段あり）,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,03-3634-5291
（S-13）住吉,エスカレーター（一部階段あり）,地上行エレベーター,改札とホームは同一階,改札とホームは同一階,車いす対応トイレ,相対式,○,2,03-3634-5261
（S-14）西大島,エスカレーター（一部階段あり）,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,03-3636-6751
（S-15）大島,エスカレーター（一部階段あり）,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式2面,○,3,03-3636-6851
（S-16）東大島,,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,相対式,○,4,03-3636-6951
（S-17）船堀,地上と改札は同一階,地上と改札は同一階,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,相対式,○,4,03-3689-6121
（S-18）一之江,エスカレーター,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,03-3656-3840
（S-19）瑞江,エスカレーター,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,03-3698-3351
（S-20）篠崎,エスカレーター,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,03-3698-2620
（S-21）本八幡,エスカレーター,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,047-324-5000
