自治体名,券種,部署名,対象,電話番号
八王子市,A券、B券,市民部由木事務所,身・知・戦・原・児,042-620-7245
八王子市,A券、B券,市民部元八王子事務所,身・知・戦・原・児,042-620-7245
八王子市,A券、B券,市民部北野事務所,身・知・戦・原・児,042-620-7245
八王子市,A券、B券,市民部浅川事務所,身・知・戦・原・児,042-620-7245
八王子市,A券、B券,市民部南大沢事務所,身・知・戦・原・児,042-620-7245
八王子市,A券、B券,障害者福祉課南口総合事務所,身・知・戦・原・児,042-620-7245
八王子市,A券,福祉部障害者福祉課福祉自立支援医療担当,身・知・戦・原,042-620-7245
八王子市,B券,福祉部生活福祉総務課,生,042-620-7245
八王子市,B券,子ども家庭部子育て支援課,児・救,042-620-7245
八王子市,B券,福祉部福祉政策課,邦,042-620-7245
立川市,A券、B券,福祉保健部障害福祉課業務係,身・知・戦・原・生・邦・児・救,042-523-2111（内1514）
武蔵野市,A券、B券,健康福祉部障害者福祉課管理係,身・知・戦・原・生・邦・児・救,0422-60-1904
三鷹市,A券,健康福祉部障がい者支援課障がい者医療・給付係,身・知・戦・原,0422-29-9234
三鷹市,B券,健康福祉部生活福祉課福祉3係,生・邦,0422-29-9239
三鷹市,B券,子ども政策部子育て支援課手当・医療係,児・救,0422-29-9675
青梅市,A券,健康福祉部障がい者福祉課庶務係,身・知・戦・原,0428-22-1111（内2132）
青梅市,B券,健康福祉部生活福祉課保護第二係,生・邦・児・救,0428-22-1111
青梅市,B券,子ども家庭部子育て推進課助成係,生・邦・児・救,0428-22-1111（内2144）
府中市,A券,福祉保健部障害者福祉課生活係,身・知・戦・原,042-335-4545
府中市,B券,子ども家庭部子育て応援課育成係,児・救,042-335-4100
府中市,B券,福祉保健部生活福祉課管理担当,生,042-335-4146
府中市,B券,福祉保健部地域福祉推進課社会福祉係,邦,042-335-4161
昭島市,A券、B券,保健福祉部障害福祉課,身・知・戦・原・生・邦・児・救,042-544-5111（内2133）
昭島市,A券、B券,東部出張所,身・知・戦・原・生・邦・児・救,042-544-5111
昭島市,A券、B券,保健福祉センター あいぽっく,身・知・戦・原・生・邦・児・救,042-544-5111
調布市,A券,福祉健康部障害福祉課,身・知・戦・原,042-481-7089
調布市,B券,福祉健康部生活福祉課,生・邦,042-481-7098
調布市,B券,子ども生活部子ども家庭課,児・救,042-481-7093
町田市,A券、B券,地域福祉部障がい福祉課福祉係,身・知・生・邦・救,042-724-2148
町田市,A券,子ども生活部子ども発達支援課推進係,身・知,042-726-6570
町田市,A券,地域福祉部福祉総務課事業係,戦・原,042-724-2537
町田市,A券,町田地域障がい者支援センター,身・知,042-709-1301
町田市,A券,鶴川地域障がい者支援センター,身・知,042-708-8821
町田市,A券,南地域障がい者支援センター,身・知,042-706-9624
町田市,A券,堺地域障がい者支援センター,身・知,042-794-8790
町田市,A券,忠生地域障がい者支援センター,身・知,042-794-4851
町田市,B券,子ども生活部子ども総務課手当・医療助成係,児,042-724-2143
小金井市,A券、B券,福祉保健部自立生活支援課相談支援係,身・知・戦・原,042-383-1111
小金井市,A券、B券,子ども家庭部子育て支援課手当助成係,児,042-383-1111
小金井市,A券、B券,福祉保健部地域福祉課生活福祉係,生・邦・救,042-383-1111
小平市,A券、B券,健康福祉部障がい者支援課事業推進担当,身・知・戦・原・生・邦・児・救,042-346-9540
小平市,A券、B券,東部出張所,身・知・戦・原・生・邦・児・救,042-467-1211
小平市,A券、B券,西部出張所,身・知・戦・原・生・邦・児・救,042-343-1211
日野市,A券、B券,健康福祉部障害福祉課福祉係,身・知・戦・原・生・邦・児・救,042-514-8485
東村山市,A券,健康福祉部障害支援課事業係,身・知・戦・原,042-393-5111（内2573）
東村山市,B券,健康福祉部生活福祉課保護第3係,生・邦・救,042-393-5111
東村山市,B券,子ども家庭部子ども保健・給付課手当係,児,042-393-5111
国分寺市,A券,福祉部障害福祉課生活支援係,身・知,042-325-0111（内344）
国分寺市,A券,健康部地域共生推進課地域づくり担当,戦・原,042-325-0111（内348）
国分寺市,B券,子ども家庭部子ども子育てサービス課手当助成担当,児・救,042-325-0111（内378）
国分寺市,B券,福祉部生活福祉課生活福祉係,生・邦,042-325-0111（内534）
国立市,A券、B券,健康福祉部しょうがいしゃ支援課手当給付係,身・知・戦・原・生・邦・児・救,042-576-2111
福生市,A券、B券,福祉保健部障害福祉課障害者福祉係,身・知・戦・原・生・邦・児・救,042-551-1742
狛江市,A券、B券,福祉保健部高齢障がい課障がい者支援係,身・知・戦・原・児,03-3430-1111（内2209）
狛江市,A券,福祉保健部福祉相談課相談支援係,身・知,03-3430-1111（内2274）
狛江市,B券,福祉保健部福祉相談課生活支援係,生・邦・救,03-3430-1111（内2217）
東大和市,A券、B券,福祉部障害福祉課障害福祉係,身・知・戦・原・生・邦・児・救,042-563-2111（内1124）
清瀬市,A券、B券,福祉・子ども部障害福祉課庶務係,身・知・戦・原・生・邦・児・救,042-497-2072
東久留米市,A券、B券,福祉保健部障害福祉課管理係,身・知・戦・原・生・邦・児・救,042-470-7747
武蔵村山市,A券,健康福祉部障害福祉課業務係,身・知・戦・原,042-590-1185
武蔵村山市,B券,健康福祉部生活福祉課保護第一係,生・邦・児・救,042-565-1111（内167）
多摩市,A券,健康福祉部障害福祉課障害福祉係,身・知,042-338-6903
多摩市,A券,健康福祉部福祉総務課福祉総務担当,戦・原,042-338-6889
多摩市,B券,健康福祉部生活福祉課生活保護担当,生・邦・救,042-338-6869
多摩市,B券,健康福祉部子ども青少年部子育て支援課,児,042-338-6851
稲城市,A券、B券,福祉部障害福祉課障害福祉係,身・知・戦・原・生・邦・児・救,042-378-2111（内226）
羽村市,A券、B券,福祉健康部障害福祉課障害福祉係,身・知・戦・原・生・邦・児・救,042-555-1111（内174）
あきる野市,A券、B券,健康福祉部障がい者支援課障がい者相談係,身・知・戦・原・生・邦・児・救,042-558-1111（内2618）
あきる野市,A券、B券,市民部五日市出張所市民総合窓口係,身・知・戦・原・生・邦・児・救,042-558-1111（内2492）
西東京市,A券,健康福祉部障害福祉課手当助成係（保谷庁舎）,身・知・戦・原,042-464-1311（内21562）
西東京市,A券,健康福祉部障害福祉課手当助成係（田無庁舎）,身・知・戦・原,042-420-2806
西東京市,B券,健康福祉部生活福祉課,生・邦,042-460-9835
西東京市,B券,子育て支援部子育て支援課,児・救,042-460-9840
