定,自,駅名,住所,緯度,経度,座標系,電話番号/Tel
,●,西馬込,大田区西馬込2-1-6,35.586824,139.705913,JGD2011,03-3775-9611
,●,馬込,大田区北馬込2-31-9,35.596452,139.711848,JGD2011,03-3773-4210
,●,中延,品川区東中延2-9-12,35.605829,139.712759,JGD2011,03-3786-4634
,●,戸越,品川区戸越3-4-17,35.614542,139.716332,JGD2011,03-3786-4635
○,●,五反田,品川区東五反田1-26-2,35.626189,139.723606,JGD2011,03-3447-2981
,●,高輪台,港区白金台2-26-7先,35.631854,139.730535,JGD2011,03-3447-2983
,●,泉岳寺,港区高輪2-16-34,35.638671,139.739969,JGD2011,03-3447-1769
○,●,三田,港区芝5-34-10,35.647941,139.748559,JGD2011,03-3452-1770
,●,大門,港区浜松町1-27-12,35.656729,139.755575,JGD2011,03-3433-5671
,●,新橋,港区新橋2-21-1先,35.666396,139.758332,JGD2011,03-3571-1693
,●,東銀座,中央区銀座4-10-10先,35.669719,139.767148,JGD2011,03-3542-2072
,●,宝町,中央区京橋2-13-11先,35.675642,139.772101,JGD2011,03-3535-7606
,●,日本橋,中央区日本橋1-13-1先,35.682132,139.775289,JGD2011,03-3272-2409
,●,人形町,中央区日本橋人形町3-7-13,35.685937,139.782629,JGD2011,03-3662-5095
,●,東日本橋,中央区東日本橋3-11-8先,35.692171,139.784842,JGD2011,03-3661-6225
○,●,浅草橋,台東区浅草橋1-18-11,35.697248,139.786232,JGD2011,03-3866-8765
,●,蔵前,台東区蔵前2-3-1,35.703908,139.791757,JGD2011,03-3866-8770
,●,浅草,台東区駒形1-12-14,35.710806,139.797767,JGD2011,03-3844-4689
,●,本所吾妻橋,墨田区吾妻橋3-7-16先,35.708623,139.804572,JGD2011,03-3623-5440
,,押上※,墨田区押上1-8-21,35.710341,139.813298,JGD2011,03-3622-5872
