駅名,エスカレーター（地上～改札階）,エレベーター（地上～改札階）,エスカレーター（改札階～ホーム階）,エレベーター（改札階～ホーム階）,バリアフリートイレ（車椅子使用者対応トイレ）,ホーム形式,1ルート確保（エレベーター等）,駅タイプ,連絡先
（I-01）目黒,エスカレーター,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,03-3493-5774
（I-02）白金台,エスカレーター,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,相対式,○,3,03-5420-1513
（I-03）白金高輪,エスカレーター,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式2面,○,3,03-3449-4805
（I-04）三田,エスカレーター,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,上下式,○,3,03-3454-1428
（I-05）芝公園,エスカレーター（一部階段あり）,地上行エレベーター,,ホーム階行エレベーター,車いす対応トイレ,相対式,○,3,03-3431-4524
（I-06）御成門,エスカレーター,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,03-3431-4521
（I-07）内幸町,エスカレーター,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,03-3591-6550
（I-08）日比谷,,地上行エレベーター（時間制限あり）,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,03-3211-1901
（I-09）大手町,エスカレーター,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,03-3211-1962
（I-10）神保町,エスカレーター,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,03-3291-2755
（I-11）水道橋,,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,03-3815-7068
（I-12）春日,エスカレーター（一部階段あり）,地上行エレベーター,改札とホームは同一階,改札とホームは同一階,車いす対応トイレ,相対式,○,2,03-3815-3919
（I-13）白山,エスカレーター（一部階段あり）,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,相対式,○,3,03-3815-3923
（I-14）千石,,地上行エレベーター,エスカレーター（一部階段あり）,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,03-3945-2532
（I-15）巣鴨,エスカレーター,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,03-3917-0217
（I-16）西巣鴨,エスカレーター（一部階段あり）,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,03-3917-0218
（I-17）新板橋,エスカレーター,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式,○,3,03-3962-9347
（I-18）板橋区役所前,,地上行エレベーター,エスカレーター（高島平方面のみあり）,ホーム階行エレベーター,車いす対応トイレ,相対式,目黒方面 A-1出口2タイプ、西高島平方面 A-2出口3タイプ,西高島平方面は1、目黒方面は2,03-3962-9348
（I-19）板橋本町,エスカレーター（西高島平方面のみあり）,地上行エレベーター,改札とホームは同一階,改札とホームは同一階,車いす対応トイレ,相対式,○,2,03-3962-9349
（I-20）本蓮沼,,地上行エレベーター,改札とホームは同一階,改札とホームは同一階,車いす対応トイレ,相対式,○,2,03-3968-4419
（I-21）志村坂上,,地上行エレベーター,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,相対式,○,3,03-3968-4413
（I-22）志村三丁目,地上と改札は同一階,地上と改札は同一階,エスカレーター（目黒方面のみあり）,ホーム階行エレベーター,車いす対応トイレ,相対式,○,4,03-3968-4415
（I-23）蓮根,地上と改札は同一階,地上と改札は同一階,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,島式,○,4,03-3968-4417
（I-24）西台,地上と改札は同一階,地上と改札は同一階,エスカレーター（目黒方面のみあり）,ホーム階行エレベーター,車いす対応トイレ,相対式,○,4,03-3931-3600
（I-25）高島平,地上と改札は同一階,地上と改札は同一階,エスカレーター（目黒方面のみあり）,ホーム階行エレベーター,車いす対応トイレ,島式2面,○,4,03-3931-3491
（I-26）新高島平,地上と改札は同一階,地上と改札は同一階,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,相対式,○,4,03-3938-4681
（I-27）西高島平,地上と改札は同一階,地上と改札は同一階,エスカレーター,ホーム階行エレベーター,車いす対応トイレ,相対式,○,4,03-3938-4688
