定,自,駅名,住所,緯度,経度,座標系,電話番号/Tel
○,,新宿※,新宿区西新宿1-18先,35.689801,139.700355,JGD2011,03-3344-4021
,●,新宿三丁目,新宿区新宿3-3-2,35.690810,139.706362,JGD2011,03-3341-2931
,●,曙橋,新宿区住吉町7-1,35.692377,139.722641,JGD2011,03-3358-0401
,●,市ヶ谷,千代田区九段南4-8-22,35.691024,139.735558,JGD2011,03-3234-6251
,●,九段下,千代田区九段北1-13-19,35.695488,139.751157,JGD2011,03-3234-7621
○,●,神保町,千代田区神田神保町2-7,35.695967,139.757725,JGD2011,03-3234-5751
,●,小川町,千代田区神田小川町1-6,35.695182,139.766874,JGD2011,03-3251-3801
,●,岩本町,千代田区神田岩本町1,35.695582,139.775178,JGD2011,03-3255-8591
,●,馬喰横山,中央区日本橋横山町4-13,35.691983,139.782963,JGD2011,03-3661-4561
,●,浜町,中央区日本橋浜町2-59-3,35.688413,139.787732,JGD2011,03-3667-8351
,●,森下,江東区森下1-13-10,35.688023,139.798204,JGD2011,03-3634-5461
,●,菊川,墨田区菊川3-16-2,35.688384,139.806122,JGD2011,03-3634-5291
,●,住吉,江東区住吉2-23-12,35.689026,139.815828,JGD2011,03-3634-5261
,●,西大島,江東区大島2-41-19,35.689387,139.826345,JGD2011,03-3636-6751
○,●,大島,江東区大島5-10-8,35.689742,139.834365,JGD2011,03-3636-6851
,●,東大島,江東区大島9-3-14,35.689920,139.847464,JGD2011,03-3636-6951
,●,船堀,江戸川区船堀3-6-1,35.683807,139.863950,JGD2011,03-3689-6121
○,●,一之江,江戸川区一之江8-14-1,35.685969,139.882978,JGD2011,03-3656-3840
,●,瑞江,江戸川区瑞江2-2-1,35.693325,139.897704,JGD2011,03-3698-3351
,●,篠崎,江戸川区篠崎町7-27-1,35.706095,139.903833,JGD2011,03-3698-2620
○,●,本八幡,千葉県市川市八幡2-16-13,35.722796,139.926525,JGD2011,047-324-5000
