自治体名,券種,部署名,対象,電話番号
瑞穂町,A券、B券,福祉部福祉課福祉推進係,戦・原・生・邦,042-557-0501（内1311）
瑞穂町,A券,福祉部福祉課障がい者支援係,身・知,042-557-0501（内1321）
瑞穂町,B券,福祉部子育て支援課子育て支援係,児・救,042-557-0501（内1411）
日の出町,A券、B券,子育て福祉課地域支援係,身・知・戦・原・生・邦・救,042-588-4112
日の出町,B券,子育て福祉課子育て支援係,児,042-588-4113
檜原村,A券、B券,福祉けんこう課福祉係,身・知・戦・原・生・邦・児・救,042-598-3121（内112）
奥多摩町,A券、B券,福祉保健課福祉係,身・知・戦・原・生・邦・児・救,0428-83-2777
大島町,A券、B券,福祉けんこう課福祉医療係,身・知・戦・原・生・邦・児・救,04992-2-1471（内324）
利島村,A券、B券,住民課,身・知・戦・原・生・邦・児・救,04992-9-0013
新島村,A券、B券,民生課福祉介護係,身・知・戦・原・生・邦・児・救,04992-5-0243
神津島村,A券、B券,福祉課福祉係,身・知・戦・原・生・邦・児・救,04992-8-0011（内36）
三宅村,A券、B券,福祉健康課福祉係,身・知・戦・原・生・邦・児・救,04994-5-0902
御蔵島村,A券、B券,総務課総務係,身・知・戦・原・生・邦・児・救,04994-8-2121
八丈町,A券、B券,福祉健康課障がい福祉係,身・知・戦・原・生・邦・児・救,04996-2-5570
青ヶ島村,A券、B券,総務課庶務民生係,身・知・戦・原・生・邦・児・救,04996-9-0111
小笠原村,A券、B券,村民課福祉係,身・知・戦・原・生・邦・児・救,04998-2-3939
