注文日（Date）,品名（Name of Item）,数量（Quantity）,単位（Unit）,安全注釈リストの分類（Classification）1,安全注釈リストの分類（Classification）2,安全注釈リストの分類（Classification）3,契約相手先（Contractor）,手続(注）（Procedure）
2014/10/8,変電所設備部品交換,1,式,鉄道施設を構成する産品,変電所等設備,送電設備及びその構成産品,三菱電機株式会社,無
2014/10/8,乗降監視装置部品交換,24,駅,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器（電気機械式を含む）,三菱電機株式会社,無
2014/10/9,車両改修,8,両,車両および車両産品,車両,鉄道用の客車及び貨車,京王重機整備株式会社,有
2014/10/9,車両制御装置更新,6,編成,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,株式会社日立製作所,無
2014/10/24,車両制御装置更新,2,編成,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,株式会社菱交,無
2014/11/10,運行制御装置更新,6,編成,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,株式会社菱交,無
2014/12/22,車両更新修繕,4,編成,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,京王重機整備株式会社,有
2014/12/26,旅客案内装置部品交換,10,駅,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器（電気機械式を含む）,株式会社星光,有
2015/1/28,車輪,592,枚,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,住友商事株式会社,無
2015/2/13,電気設備管理システム改修,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器（電気機械式を含む）,三菱電機株式会社,無
