定,自,駅名,住所,緯度,経度,座標系,電話番号/Tel,
,●,新宿西口,新宿区西新宿1-3-17,35.693302,139.699132,JGD2011,03-5389-2254,
,●,東新宿,新宿区新宿7-27-3,35.697933,139.707404,JGD2011,03-3202-0572,
,●,若松河田,新宿区河田町10-10,35.699237,139.718107,JGD2011,03-3350-0441,
,●,牛込柳町,新宿区原町2-32,35.699476,139.725536,JGD2011,03-3207-1730,
,●,牛込神楽坂,新宿区箪笥町15,35.700870,139.735873,JGD2011,03-5228-5318,
,●,飯田橋,文京区後楽1-9-5,35.702099,139.745017,JGD2011,03-5689-4264,
,●,春日,文京区春日1-16-17,35.709883,139.753149,JGD2011,03-3815-2314,
,●,本郷三丁目,文京区本郷2-40-8,35.707520,139.760444,JGD2011,03-3812-6921,
○,●,上野御徒町,台東区上野5-26-6,35.708010,139.773392,JGD2011,03-3834-6485,
,●,新御徒町,台東区元浅草1-5-2,35.707067,139.781952,JGD2011,03-3836-2218,
,●,蔵前,台東区寿3-3-1,35.703928,139.791757,JGD2011,03-3843-8941,
,●,両国,墨田区横網1-4-29,35.696661,139.797462,JGD2011,03-3624-4070,
,●,森下,江東区森下2-17-17,35.688020,139.798207,JGD2011,03-3632-2404,
,●,清澄白河,江東区白河1-7-14,35.682255,139.798778,JGD2011,03-5620-9854,
○,●,門前仲町,江東区門前仲町2-5-2先,35.672037,139.795690,JGD2011,03-5620-2997,
,●,月島,中央区月島1-5-4先,35.663883,139.784100,JGD2011,03-3532-0348,
,●,勝どき,中央区勝どき2-10-15先,35.658996,139.777155,JGD2011,03-3536-7441,
,●,築地市場,中央区築地5-1-2,35.664903,139.766868,JGD2011,03-5565-8528,
,●,汐留,港区東新橋1-9-1先,35.662902,139.759972,JGD2011,03-3573-1017,
,●,大門,港区浜松町2-3-4,35.656749,139.755564,JGD2011,03-3459-6721,
,●,赤羽橋,港区東麻布1-28-13,35.654996,139.744000,JGD2011,03-3589-1656,
,●,麻布十番,港区麻布十番1-4-6,35.656410,139.736588,JGD2011,03-3589-2170,
,●,六本木,港区赤坂9-7-39,35.662728,139.731223,JGD2011,03-3470-3318,
,●,青山一丁目,港区北青山1-2-4,35.672823,139.723970,JGD2011,03-3478-6763,
,●,国立競技場,新宿区霞ヶ丘町10先,35.680173,139.713758,JGD2011,03-3746-0254,
,●,代々木,渋谷区代々木1-35-5,35.683454,139.701621,JGD2011,03-5350-4773,
○,●,新宿,渋谷区代々木2-1-1,35.689762,139.700394,JGD2011,03-3299-7210,
,●,都庁前,新宿区西新宿2-8-1,35.690631,139.692691,JGD2011,03-5322-0255,
,●,西新宿五丁目,新宿区西新宿5-25-9,35.689886,139.684540,JGD2011,03-3377-9152,
,●,中野坂上,中野区中央2-2-28,35.697085,139.682167,JGD2011,03-3368-3129,
,●,東中野,中野区東中野3-8-16,35.706237,139.683809,JGD2011,03-3361-9085,
,●,中井,新宿区上落合2-20-8,35.715074,139.687284,JGD2011,03-5330-2751,
,●,落合南長崎,新宿区西落合3-1-18,35.723421,139.683471,JGD2011,03-5982-3715,
,●,新江古田,中野区江原町2-29-13,35.732616,139.670430,JGD2011,03-3992-9536,
○,●,練馬,練馬区豊玉北5-17-12,35.737849,139.653906,JGD2011,03-5999-8711,
,●,豊島園,練馬区練馬4-14-17,35.742071,139.649110,JGD2011,03-3993-1329,
,●,練馬春日町,練馬区春日町3-29-25,35.751477,139.640152,JGD2011,03-3999-1431,
,●,光が丘,練馬区光が丘2-9-5,35.758572,139.628944,JGD2011,03-3976-6967,
