定,自,駅名,住所,緯度,経度,座標系,電話番号/Tel
,,目黒※,品川区上大崎4-2-1,35.634102,139.715833,JGD2011,03-3493-5774
,,白金台※,港区白金台4-5-10,35.637942,139.726143,JGD2011,03-5420-1513
,,白金高輪※,港区高輪1-3-20先,35.642871,139.734072,JGD2011,03-3449-4805
○,●,三田,港区芝5-18-8,35.647944,139.748562,JGD2011,03-3454-1428
,●,芝公園,港区芝公園4-8-14,35.653936,139.749835,JGD2011,03-3431-4524
,●,御成門,港区西新橋3-24-6,35.660494,139.751266,JGD2011,03-3431-4521
,●,内幸町,千代田区内幸町2-2-3先,35.669382,139.755329,JGD2011,03-3591-6550
,●,日比谷,千代田区有楽町1-13-1先,35.674909,139.759598,JGD2011,03-3211-1901
,●,大手町,千代田区丸の内1-3-1先,35.685352,139.763261,JGD2011,03-3211-1962
○,●,神保町,千代田区神田神保町2-1,35.695956,139.757622,JGD2011,03-3291-2755
,●,水道橋,文京区後楽1-3-42先,35.703545,139.755113,JGD2011,03-3815-7068
,●,春日,文京区本郷4-15-16,35.709894,139.753135,JGD2011,03-3815-3919
,●,白山,文京区白山5-36-10,35.721242,139.752151,JGD2011,03-3815-3923
,●,千石,文京区千石1-29-13,35.727889,139.744861,JGD2011,03-3945-2532
○,●,巣鴨,豊島区巣鴨3-27-7,35.733422,139.739216,JGD2011,03-3917-0217
,●,西巣鴨,豊島区西巣鴨3-25-13,35.743693,139.728560,JGD2011,03-3917-0218
,●,新板橋,板橋区板橋1-53-17,35.748821,139.720162,JGD2011,03-3962-9347
,●,板橋区役所前,板橋区板橋2-66-17,35.751606,139.709723,JGD2011,03-3962-9348
,●,板橋本町,板橋区大和町17-1,35.761278,139.705542,JGD2011,03-3962-9349
,●,本蓮沼,板橋区蓮沼町19-8,35.768517,139.702467,JGD2011,03-3968-4419
,●,志村坂上,板橋区志村1-14-13,35.775781,139.695388,JGD2011,03-3968-4413
,●,志村三丁目,板橋区志村3-23-1,35.777539,139.686058,JGD2011,03-3968-4415
,●,蓮根,板橋区蓮根2-31-30,35.784203,139.679019,JGD2011,03-3968-4417
,●,西台,板橋区高島平9-1-1,35.787078,139.672806,JGD2011,03-3931-3600
○,●,高島平,板橋区高島平8-2-1,35.788928,139.661269,JGD2011,03-3931-3491
,●,新高島平,板橋区高島平7-1,35.790240,139.654268,JGD2011,03-3938-4681
,●,西高島平,板橋区高島平6-1,35.791897,139.645882,JGD2011,03-3938-4688
