注文日（Date）,品名（Name of Item）,数量（Quantity）,単位（Unit）,安全注釈リストの分類（Classification）1,安全注釈リストの分類（Classification）2,安全注釈リストの分類（Classification）3,契約相手先（Contractor）,手続(注）（Procedure）
2016/4/1,車両冷房装置,64,台,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,株式会社菱交,有
2016/4/1,車輪転削修繕,1264,両,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,京王重機整備株式会社,有
2016/4/1,車両冷房装置修繕,1,式,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,京王重機整備株式会社,有
2016/4/1,ガスケットほか,1,式,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,住友商事株式会社,無
2016/4/27,レール,12600,m,鉄道施設を構成する産品,鉄道線路,レールその他軌道の構成産品、レールの接続又は取付けに専ら使用する産品,塚本總業株式会社,有
2016/5/19,機械設備監視装置改修,1,式,鉄道施設を構成する産品,停車場,鉄道施設に使用する換気設備,アズビル株式会社,有
2016/5/20,デジタル列車無線装置,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社日立国際電気,有
2016/5/24,ホームドア,19,駅,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,日本信号株式会社,有
2016/5/24,レール,13500,m,鉄道施設を構成する産品,鉄道線路,レールその他軌道の構成産品、レールの接続又は取付けに専ら使用する産品,塚本總業株式会社,有
2016/5/26,電車両,11,編成,車両および車両産品,車両,鉄道用の客車及び貨車,川崎重工業株式会社,有
2016/6/16,可動式ホーム柵部品交換,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,八洲電機株式会社,無
2016/6/22,駅放送装置,28,駅,鉄道施設を構成する産品,停車場,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,パナソニックシステムネットワークス株式会社,有
2016/6/23,防災監視システム部品交換,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社東芝,無
2016/9/7,転落検知装置,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社京三製作所,有
2016/9/13,列車運行制御装置改修,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社日立製作所,無
2016/9/13,信号保安装置部品交換,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社日立製作所,無
