自治体名,券種,部署名,対象,電話番号
千代田区,A券,保健福祉部障害者福祉課給付・指導担当,身・知・戦・原,03-5211-4128
千代田区,B券,保健福祉部生活支援課管理係,生・邦・救,03-5211-4215
千代田区,B券,子ども部子育て推進課手当・医療係,児,03-5211-4230
中央区,A券,福祉保健部障害者福祉課障害者福祉係,身・知・戦・原,03-3546-5389
中央区,B券,福祉保健部生活支援課相談調整担当係長付,生・邦,03-3546-5496
中央区,B券,福祉保健部子育て支援課子育て支援係,児・救,03-3546-5351
港区,A券,芝地区総合支所区民課保健福祉係,身・知・戦・原,03-3578-3161
港区,A券,麻布地区総合支所区民課保健福祉係,身・知・戦・原,03-5114-8822
港区,A券,赤坂地区総合支所区民課保健福祉係,身・知・戦・原,03-5413-7276
港区,A券,高輪地区総合支所区民課保健福祉係,身・知・戦・原,03-5421-7085
港区,A券,芝浦港南地区総合支所区民課保健福祉係,身・知・戦・原,03-6400-0022
港区,B券,芝地区総合支所区民課生活福祉係,生・邦,03-3578-3171
港区,B券,芝地区総合支所区民課保健福祉係,児・救,03-3578-3161
港区,B券,麻布地区総合支所区民課生活福祉係,生・邦,03-5114-8823
港区,B券,麻布地区総合支所区民課保健福祉係,児・救,03-5114-8822
港区,B券,赤坂地区総合支所区民課生活福祉係,生・邦,03-5413-7277
港区,B券,赤坂地区総合支所区民課保健福祉係,児・救,03-5413-7276
港区,B券,高輪地区総合支所区民課生活福祉係,生・邦,03-5421-7087
港区,B券,高輪地区総合支所区民課保健福祉係,児・救,03-5421-7085
港区,B券,芝浦港南地区総合支所区民課生活福祉係,生・邦,03-6400-0023
港区,B券,芝浦港南地区総合支所区民課保健福祉係,児・救,03-6400-0022
新宿区,A券,福祉部障害者福祉課相談係,身・知・戦・原,03-5273-4518
新宿区,B券,福祉部生活福祉課相談支援係,生・邦,03-5273-4552
新宿区,B券,子ども家庭部子ども家庭課育成支援係,児・救,03-5273-4558
文京区,A券,福祉部障害福祉課障害者在宅サービス係,身・知・戦・原,03-5803-1212
文京区,B券,福祉部生活福祉課相談係,生・邦,03-5803-1216
文京区,B券,子ども家庭部子育て支援課児童給付係,児・救,03-5803-1701
台東区,A券,福祉部障害福祉課総合相談係,身・知・戦・原,03-5246-1202
台東区,B券,福祉部保護課庶務係,生・邦・救,03-5246-1266
台東区,B券,区民部子育て・若者支援課給付担当,児,03-5246-1232
墨田区,A券,福祉保健部障害者福祉課障害者相談係,身・知・戦・原,03-5608-6165
墨田区,B券,福祉保健部生活福祉課管理係,生・邦,03-5608-6085
墨田区,B券,子ども・子育て支援部子育て支援課,児・救,03-5608-6376
江東区,A券,障害福祉部障害者支援課身体障害相談係,身・知・戦・原,03-3647-4953
江東区,B券,生活支援部保護第一課相談係,生・邦,03-3645-3102
江東区,B券,生活支援部保護第二課相談係,生・邦・児・救,03-3637-2701
江東区,B券,こども未来部こども家庭支援課給付係,児・救,03-3647-4754
品川区,A券,福祉部障害者支援課障害者支援係,身・知・戦・原,03-5742-6707
品川区,B券,福祉部生活福祉課保護事務係,生・邦,03-5742-6713
品川区,B券,子ども未来部子育て応援課手当・医療助成係,児・救,03-5742-9174
目黒区,A券,健康福祉部障害福祉課身体障害者相談係,身・知・戦・原,03-5722-9850
目黒区,A券,北部包括支援センター,身・知・戦・原,03-5722-9850
目黒区,A券,東部包括支援センター,身・知・戦・原,03-5722-9850
目黒区,A券,中央包括支援センター,身・知・戦・原,03-5722-9850
目黒区,A券,南部包括支援センター,身・知・戦・原,03-5722-9850
目黒区,A券,西部包括支援センター,身・知・戦・原,03-5722-9850
目黒区,B券,健康福祉部生活福祉課相談援護係,生・邦,03-5722-9853
目黒区,B券,子育て支援部子育て支援課手当て･医療係,児・救,03-5722-9645
大田区,A券、B券,福祉部障害福祉課障害事業担当,身・知・戦・原・生・邦・児・救,03-5744-1251
大田区,A券,福祉部大森地域福祉課,身・知・戦・原,03-5764-0657
大田区,A券,福祉部調布地域福祉課,身・知・戦・原,03-3726-2181
大田区,A券,福祉部蒲田地域福祉課,身・知・戦・原,03-5713-1504
大田区,A券,福祉部糀谷・羽田地域福祉課,身・知・戦・原,03-3743-4281
大田区,B券,福祉部大森生活福祉課相談係,生・邦・児・救,03-5843-1028
大田区,B券,福祉部調布生活福祉課管理係,生・邦・児・救,03-3726-0791
大田区,B券,福祉部蒲田生活福祉課相談係,生・邦・児・救,03-6715-8800
大田区,B券,福祉部糀谷・羽田生活福祉課,生・邦・児・救,03-3741-6521
大田区,B券,こども家庭部子育て支援課児童育成係,児,03-5744-1274
世田谷区,A券,世田谷総合支所保健福祉センター 保健福祉課障害支援担当,身・知・戦・原,03-5432-2865
世田谷区,A券,北沢総合支所保健福祉センター 保健福祉課障害支援担当,身・知・戦・原,03-6804-8727
世田谷区,A券,玉川総合支所保健福祉センター 保健福祉課障害支援担当,身・知・戦・原,03-3702-2092
世田谷区,A券,砧総合支所保健福祉センター 保健福祉課障害支援担当,身・知・戦・原,03-3482-8198
世田谷区,A券,烏山総合支所保健福祉センター 保健福祉課障害支援担当,身・知・戦・原,03-3326-9632
世田谷区,B券,世田谷総合支所保健福祉センター 生活支援課 保護・自立促進担当,生,03-5432-2857
世田谷区,B券,世田谷総合支所保健福祉センター 子ども家庭支援課子ども家庭支援センター,児,03-5432-2311
世田谷区,B券,北沢総合支所保健福祉センター 生活支援課 保護・自立促進担当,生,03-6804-7418
世田谷区,B券,北沢総合支所保健福祉センター 子ども家庭支援課 子ども家庭支援センター,児,03-6804-7526
世田谷区,B券,玉川総合支所保健福祉センター 生活支援課 保護・自立促進担当,生,03-3702-1735
世田谷区,B券,玉川総合支所保健福祉センター 子ども家庭支援課 子ども家庭支援センター,児,03-3702-1792
世田谷区,B券,砧総合支所保健福祉センター 生活支援課 保護・自立促進担当,生,03-3482-3269
世田谷区,B券,砧総合支所保健福祉センター 子ども家庭支援課 子ども家庭支援センター,児,03-3482-1344
世田谷区,B券,烏山総合支所保健福祉センター 生活支援課 保護・自立促進担当,生,03-3326-6058
世田谷区,B券,烏山総合支所保健福祉センター 子ども家庭支援課 子ども家庭支援センター,児,03-3326-6155
世田谷区,B券,保健福祉政策部 生活福祉課 生活福祉担当,邦,03-5432-2120
世田谷区,B券,児童相談所 管理係,救,03-6379-0697
渋谷区,A券,福祉部障がい者福祉課給付係,身・知・戦・原,03-3463-1924
渋谷区,B券,福祉部生活福祉課相談係,生・邦・救,03-3463-2042
渋谷区,B券,子ども家庭部子ども青少年課子育て給付係,児,03-3463-2558
中野区,A券、B券,健康福祉部 障害福祉課 障害者相談係,身・知・戦・原・生・邦・児・救,03-3228-8953
中野区,A券、B券,地域支えあい推進室 中部すこやか福祉センター,身・知・戦・原・生・邦・児・救,03-3228-8953
中野区,A券、B券,地域支えあい推進室 北部すこやか福祉センター,身・知・戦・原・生・邦・児・救,03-3228-8953
中野区,A券、B券,地域支えあい推進室 南部すこやか福祉センター,身・知・戦・原・生・邦・児・救,03-3228-8953
中野区,A券、B券,地域支えあい推進室 鷺宮すこやか福祉センター,身・知・戦・原・生・邦・児・救,03-3228-8953
中野区,A券、B券,区民部 南中野地域事務所,身・知・戦・原・生・邦・児・救,03-3228-8953
中野区,A券、B券,区民部 東部地域事務所,身・知・戦・原・生・邦・児・救,03-3228-8953
中野区,A券、B券,区民部 江古田地域事務所,身・知・戦・原・生・邦・児・救,03-3228-8953
中野区,A券、B券,区民部 野方地域事務所,身・知・戦・原・生・邦・児・救,03-3228-8953
中野区,A券、B券,区民部 鷺宮地域事務所,身・知・戦・原・生・邦・児・救,03-3228-8953
杉並区,A券,保健福祉部障害者施策課障害者手当・医療係,身・知・戦・原,03-3312-2111（内1145）
杉並区,A券,保健福祉部杉並福祉事務所荻窪事務所相談係,身・知・戦・原,03-3398-9104
杉並区,A券,保健福祉部杉並福祉事務所高円寺事務所相談係,身・知・戦・原,03-5306-2611
