定,自,駅名（漢字）,住所,緯度,経度,座標系,電話番号
○,●,日暮里,荒川区西日暮里 2-19-2,35.728975,139.771394,JGD2011,03-5837-2635（日暮里駅）
,●,西日暮里,荒川区西日暮里 5-31-7,35.733745,139.768123,JGD2011,03-5837-2635（日暮里駅）
,,赤土小学校前,荒川区東尾久 4-7-7,35.742859,139.769003,JGD2011,03-5837-2635（日暮里駅）
,●,熊野前,荒川区東尾久 3-37-6,35.748525,139.769864,JGD2011,03-5837-2635（日暮里駅）
,,足立小台,足立区小台 1-20-1,35.754576,139.770358,JGD2011,03-5837-2635（日暮里駅）
,●,扇大橋,足立区扇 2-25-17,35.763885,139.770781,JGD2011,03-5837-2635（日暮里駅）
,,高野,足立区扇 2-45-1,35.768330,139.770666,JGD2011,03-5837-2635（日暮里駅）
,●,江北,足立区江北 4-30-27,35.774036,139.770280,JGD2011,03-5837-2635（日暮里駅）
,●,西新井大師西,足立区江北 6-30-23,35.781481,139.770095,JGD2011,03-5837-2635（日暮里駅）
,,谷在家,足立区谷在家 3-20-23,35.788713,139.770021,JGD2011,03-5837-2635（日暮里駅）
,●,舎人公園,足立区舎人公園 1-10,35.796402,139.770174,JGD2011,03-5837-2635（日暮里駅）
,,舎人,足立区舎人 1-16-15,35.805662,139.770128,JGD2011,03-5837-2635（日暮里駅）
,●,見沼代親水公園,足立区舎人 2-21-13,35.814504,139.770758,JGD2011,03-5837-2635（日暮里駅）
