"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","選択肢A","選択肢B","選択肢C","選択肢D","選択肢E","選択肢F","選択肢G"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","全体",,"658","361","507","180","26","192","14","49"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","性・年代別","男性（計）","248","116","170","42","5","56","6","29"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","性・年代別","男性 18～29歳","23","10","9","5","0","2","1","7"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","性・年代別","男性 30～39歳","35","19","28","10","1","6","0","4"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","性・年代別","男性 40～49歳","41","15","30","3","2","11","0","5"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","性・年代別","男性 50～59歳","49","27","35","6","0","11","1","5"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","性・年代別","男性 60～69歳","39","24","30","7","1","15","2","4"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","性・年代別","男性 70歳以上","60","21","38","10","1","11","2","4"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","性・年代別","男性 無回答","1","0","0","1","0","0","0","0"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","性・年代別","女性（計）","400","240","332","138","21","135","8","19"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","性・年代別","女性 18～29歳","28","12","24","9","1","6","1","2"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","性・年代別","女性 30～39歳","65","32","56","21","3","15","0","2"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","性・年代別","女性 40～49歳","95","58","82","33","1","34","1","6"
"202003","プラスチックごみ","Q21. プラスチック製品の使用を減らすために、あなたが日頃行っていることは何ですか。（○はいくつでも）","性・年代別","女性 50～59歳","82","54","72","33","6","28","0","2"
