"年月[西暦]","収受日","業態","届出種類","施設名称","施設所在地","施設方書","施設電話番号","許可番号","許可開始日"
"202404","2024/3/5","高度管理医療機器販売業・貸与業","新規","株式会社ザイマックス","東京都港区赤坂一丁目1番1号","ザイマックス赤坂111ビル","03-5544-6604","5港み生機器第226号","2024/4/1"
"202404","2024/2/28","高度管理医療機器販売業・貸与業","新規","株式会社エース","東京都港区麻布台一丁目3番1号","麻布台ヒルズ森JPタワー17F","03-6280-3140","5港み生機器第214号","2024/4/1"
"202404","2024/3/19","高度管理医療機器販売業・貸与業","新規","ＮＸ商事株式会社","東京都港区海岸一丁目14番22号","NX商事本社ビル",,"5港み生機器第238号","2024/4/3"
"202404","2024/3/28","高度管理医療機器販売業","新規","セイムス三田慶應義塾前薬局","東京都港区芝五丁目13番14号","MAビル芝3　1階","03-6435-9590","5港み生機器第242号","2024/4/24"
"202404","2024/3/5","高度管理医療機器販売業","新規","株式会社メニコン　富士コンタクト新橋店","東京都港区新橋二丁目12番1号","ランディック第3新橋ビル2階","03-3503-6791","5港み生機器第224号","2024/4/1"
"202404","2024/3/12","高度管理医療機器販売業・貸与業","新規","株式会社レンタルのニッケン　品川営業所","東京都港区高輪三丁目5番23号","KDX高輪台ビル6F","03-6775-7811","5港み生機器第233号","2024/4/1"
"202404","2024/3/12","高度管理医療機器販売業・貸与業","新規","ＧＥヘルスケア・ジャパン株式会社　首都圏支社","東京都港区高輪四丁目10番18号","京急第1ビル13階","0120-202-021","5港み生機器第232号","2024/4/8"
"202404","2024/3/4","高度管理医療機器販売業・貸与業","新規","株式会社日立ハイテク　虎ノ門オフィス","東京都港区虎ノ門一丁目17番1号","虎ノ門ヒルズビジネスタワー",,"5港み生機器第223号","2024/4/1"
"202404","2024/4/3","高度管理医療機器販売業・貸与業","新規","株式会社ピーディーエス","東京都港区南青山六丁目8番2号","-201",,"6港み生機器第3号","2024/4/15"
"202404","2024/4/11","高度管理医療機器販売業・貸与業","新規","ワイティー","東京都港区六本木七丁目3番24号","竜土ハイツb-1",,"6港み生機器第6号","2024/4/30"
"202404","2024/2/22","高度管理医療機器販売業・貸与業","新規","エーズィー・イオン株式会社","東京都港区六本木七丁目7番7号","トライセブンロッポンギ8F","03-6629-3670","5港み生機器第209号","2024/4/5"
"202405","2024/4/23","高度管理医療機器販売業・貸与業","新規","株式会社ジェイエムインテグラル","東京都港区赤坂一丁目14番14号","第35興和ビル5F","03-4500-7155","6港み生機器第17号","2024/5/8"
