行,EPSGコード,経度,緯度,店舗名,郵便番号,東京都町田市所在地,電話番号,URL,業種,営業時間(L：L/ディナー：D),定休日
1,EPSG:6677,-34598.72184,-51026.0681,ルーチェ,194-0013,東京都町田市原町田2-2-5 オードリービル1F,042-721-7226,http://vita.tc/shops/183,イタリアンレストラン,L 11:30～15:00D 18:00～22:00,水曜定休(祝日の場合は翌木曜日)
2,EPSG:6677,-34922.28964,-50702.62566,富澤商店,194-0013,東京都町田市原町田4-4-6 ,042-722-3175,http://vita.tc/shops/185,菓子･パン,10:00～19:00,不定休
3,EPSG:6677,-34924.05723,-50720.06555,菓舗 中野屋,194-0013,東京都町田市原町田4-4-7 ,042-722-8484,http://vita.tc/shops/186,和菓子,9:30～20:00,水曜日
4,EPSG:6677,-34217.81484,-46980.57431,BACKEREI むぎばたけ,195-0072,東京都町田市金井2-3-7 ,042-734-2241,http://vita.tc/shops/187,ベーカリー,9:00～18:30,日曜日
5,EPSG:6677,-34832.96886,-50790.28206,守屋精肉店,194-0013,東京都町田市原町田4-6-7 ,042-722-2070,http://vita.tc/shops/188,精肉,小売10:00～19:00卸営08:00～17:00 ,水曜(卸業は日曜休)
6,EPSG:6677,-37343.63031,-48463.55416,LIQUOR PORT 蔵家,194-0037,東京都町田市木曽西1-1-15 ,042-793-2176,http://vita.tc/shops/189,酒類,9:30～20:00,月曜日
7,EPSG:6677,-33253.37256,-50645.41471,菓匠 華月,194-0044,東京都町田市成瀬8-4-13 ,042-725-2989,http://vita.tc/shops/191,和菓子,9:00～19:30,不定休
8,EPSG:6677,-32512.61812,-52235.14068,キャラメリーゼ,194-0003,東京都町田市小川1-14-10 ,042-788-2566,http://vita.tc/shops/192,洋菓子,10:00～18:00,水曜日
9,EPSG:6677,-33710.04554,-48837.17078,ロプチュー,194-0041,東京都町田市玉川学園1-22-20 ,042-725-6998,http://vita.tc/shops/193,紅茶専門店,10:00～19:00,日曜日
10,EPSG:6677,-32791.28981,-51471.64941,ブラウニー,194-0011,東京都町田市成瀬が丘2-28-2 ,042-796-7760,http://vita.tc/shops/194,ベーカリー,7:00～19:30,木曜日
