番号,地区名,所在地
1,奥多摩町小留浦地区,留浦字小留浦
2,あきる野市草花地区,草花字花ノ岡
3,奥多摩町留浦地区,留浦字留浦
4,青梅市長淵２丁目地区,長淵２丁目
5,奥多摩町原地区,原字上の山、字熱海
6,青梅市千ヶ瀬町５丁目地区,千ヶ瀬町５丁目
7,あきる野市折立地区（1）,草花字下折立、字上折立、字折立下夕平
8,あきる野市山田地区,山田字北川原、字上分、字下分
9,あきる野市平沢地区,平沢字瀧ノ上、字西ノ前
10,青梅市御岳山地区,御岳山
11,青梅市青梅地区,青梅市字瀧ノ上
12,あきる野市伊奈地区,伊奈字上宿、字新宿
13,羽村市羽西２丁目地区,羽西２丁目、羽加美４丁目
14,瑞穂町箱根ヶ崎地区,箱根ヶ崎
15,日の出町大久野細尾地区(1),大久野細尾
16,日の出町大久野細尾地区(2),大久野細尾
17,桧原村藤原地区,藤原
18,あきる野市舘谷地区,舘谷字追原
19,あきる野市折立地区（2）,草花字下折立、字折立下夕、字折立下夕平、字草花下夕
20,檜原村三都郷地区,三都郷
21,奥多摩町大沢地区,日原字大沢
22,青梅市御岳(2)地区,青梅市御岳地内
23,青梅市長淵１丁目地区,青梅市長淵１丁目、友田町５丁目
24,青梅市河辺町１丁目地区,青梅市河辺町１、６丁目
25,青梅市千ヶ瀬町１丁目地区,青梅市千ヶ瀬１、２丁目
