課,分掌事務,電話番号,所在地
庶務課,人事・給与,庶務担当/042-540-9501,〒190-0023立川市柴崎町2丁目15番19号
庶務課,契約,経理担当/042-540-9503,〒190-0023立川市柴崎町2丁目15番20号
管理課,道路の管理,道路管理担当/042-540-9505,〒190-0023立川市柴崎町2丁目15番21号
管理課,道路台帳整備,道路台帳担当/042-540-9507,〒190-0023立川市柴崎町2丁目15番22号
管理課,境界確認・確定,道路台帳担当/042-540-9507,〒190-0023立川市柴崎町2丁目15番23号
管理課,河川等の管理,河川管理担当/042-540-9508,〒190-0023立川市柴崎町2丁目15番24号
管理課,道路・河川の監察,監察担当/042-540-9509,〒190-0023立川市柴崎町2丁目15番25号
管理課,道路工事等の調整,工事調整担当/042-540-9510,〒190-0023立川市柴崎町2丁目15番26号
用地課,事業用地の取得,調整担当/042-540-9535,〒190-0023立川市柴崎町2丁目15番27号
工事第一課,道路・橋梁の建設,工務担当/042-540-9511,〒190-0023立川市柴崎町2丁目15番28号
工事第二課,河川の整備・補修,工務担当/042-540-9521,〒190-0023立川市柴崎町2丁目15番29号
補修課,道路・橋梁の維持補修,工務担当/042-540-9525,〒190-0023立川市柴崎町2丁目15番30号
補修課,街路樹の管理,工事担当/042-540-9528,〒190-0023立川市柴崎町2丁目15番31号
小平工区,工区管内の工事施工・監督/道路巡回点検,042-343-0415,〒187-0032小平市小川町1丁目1091番地
立川工区,工区管内の工事施工・監督/道路巡回点検,042-529-0020,〒190-0014立川市緑町3233番地2/防災センター内
東村山工区,工区管内の工事施工・監督/道路巡回点検,042-393-4111,〒189-0003東村山市久米川町4丁目32番8号
柳瀬川・落合川工事事務所,河川の工事施工・監督,042-473-8445,〒203-0014東久留米市東本町9番13号
