活動区域,事務所,郵便番号,住所,電話番号
千代田区・中央区・港区,東京都第一建設事務所管理課管理担当,104-0044,中央区明石町2-4,03-3542-1472（直通）
品川区・目黒区・大田区世田谷区・渋谷区,東京都第二建設事務所管理課管理担当,140-0005,品川区広町2-1-36,03-3774-8182（直通）
新宿区・中野区・杉並区,東京都第三建設事務所管理課管理担当,164-0001,中野区中野4-8-1,03-3387-5133（直通）
豊島区・板橋区・練馬区,東京都第四建設事務所管理課管理担当,170-0005,豊島区南大塚2-36-2,03-5978-1707（直通）
墨田区・江東区・葛飾区江戸川区,東京都第五建設事務所管理課管理担当,124-0023,葛飾区東新小岩1-14-11,03-3692-4346（直通）
文京区・台東区・荒川区北区・足立区,東京都第六建設事務所管理課管理担当,123-0851,足立区梅田8-13-24,03-5845-8064（直通）
青梅市・福生市・羽村市あきる野市・瑞穂町日の出町・奥多摩町・槍原村,東京都西多摩建設事務所管理課道路管理担当,198-0042,青梅市東青梅3-20-1,0428-22-7219（直通）
町田市・多摩市・稲城市,東京都南多摩東部建設事務所管理課道路管理担当,194-0021,町田市中町1-31-12,042-720-8626（直通）
八王子市・日野市,東京都南多摩西部建設事務所管理課道路管理担当,192-0046,八王子市明神町3-19-2,042-643-2612（直通）
武蔵野市・三鷹市・府中市調布市・小金井市西東京市・狛江市,東京都北多摩南部建設事務所管理課道路管理担当,183-0006,府中市緑町1-27-1,042-330-1806（直通）
立川市・昭島市・小平市東村山市・国分寺市・国立市東大和市・清瀬市東久留米市・武蔵村山市,東京都北多摩北部建設事務所管理課道路管理担当,190-0023,立川市柴崎町2-15-19,042-540-9505（直通）
大島町・利島村・新島村神津島村,大島支庁土木課管理担当,100-0101,大島町元町字オンダシ222-1,04992-2-4441（代表）
三宅村,三宅支庁土木港湾課管理担当,100-1102,三宅島三宅村伊豆642,04994-2-1313（代表）
八丈町・青ケ島村,八丈支庁土木課管理担当,100-1492,八丈町大賀郷2466-2,04996-2-1114（代表）
小笠原村,小笠原支庁土木課工務担当,100-2101,小笠原村父島字西,04998-2-2123（代表）
