項目/年,,カドミウム（Cd）,鉛（Pb）,六価クロム（Cr6+）,砒素（As）,総水銀（Hg）,PCB
,基準値/測定日,0.01mg/L以下,0.01mg/L以下,0.05mg/L以下,0.01mg/L以下,0.0005mg/L以下,検出されないこと
18,8/23,く0.001,0.002,く0.01,く0.005,0.0005,く0.0005
18,2/7,く0.001,0.002,く0.01,く0.005,0.0005,く0.0005
19,8/15,0.001,0.002,く0.01,く0.005,0.0005,く0.0005
19,2/6,0.001,0.002,く0.01,く0.005,0.0005,く0.0005
20,8/20,く0.001,0.002,く0.01,く0.005,0.0005,く0.0005
20,2/10,く0.001,0.002,く0.01,く0.005,0.0005,く0.0005
21,8/19,く0.001,0.002,く0.01,く0.005,0.0005,く0.0005
21,2/18,く0.001,0.002,く0.01,く0.005,0.0005,く0.0005
22,8/11,く0.001,く0.002,く0.01,く0.005,く0.0005,
22,2/1,く0.001,く0.002,く0.01,く0.005,く0.0005,
23,8/2,く0.001,く0.002,く0.01,く0.005,く0.0005,く0.0005
23,2/21,く0.001,0.005,0.01,0.005,く0.0005,く0.0005
24,8/21,く0.0003,く0.002,く0.01,く0.005,0.0005,
24,2/12,く0.0003,く0.002,く0.01,く0.005,0.0005,
