主体,建設局,建設局,建設局,環境局,環境局,環境局,環境局,環境局,備考
調査地点,栗原橋（冬季）(pg-TEQ/L),天神橋（冬季）(pg-TEQ/L),錦糸橋（冬季）(pg-TEQ/L),天神橋春季(pg-TEQ/L),天神橋夏季(pg-TEQ/L),天神橋秋季(pg-TEQ/L),天神橋冬季(pg-TEQ/L),(pg-TEQ/L),
H14年度,,,,,1.6,,0.45,1.0,WHOの1998年時の基準で計算
H15年度,,,,,0.78,,0.40,0.59,WHOの1998年時の基準で計算
H16年度,,,,,1.5,,0.69,1.1,WHOの1998年時の基準で計算
H17年度,,,,,1.2,,0.30,0.75,WHOの1998年時の基準で計算
H18年度,0.45,0.48,0.14,1.5,0.40,0.29,0.16,0.59,WHOの2006年時の基準で計算
H18年度,0.49,0.57,0.16,1.8,0.44,0.32,0.18,0.69,WHOの1998年時の基準で計算
H19年度,0.30,0.20,0.47,0.24,1.4,1.0,0.29,0.73,WHOの2006年時の基準で計算
H19年度,0.34,0.24,0.52,0.33,2.3,1.7,0.38,1.2,WHOの1998年時の基準で計算
H20年度,0.31,0.60,0.31,0.14,0.76,1.2,0.33,0.61,WHOの2006年時の基準で計算
H21年度,0.32,0.42,0.30,0.23,2.5,0.30,0.39,0.86,WHOの2006年時の基準で計算
H22年度,0.26,0.40,0.46,0.22,1.7,1.5,0.23,0.91,WHOの2006年時の基準で計算
H23年度,0.27,0.75,0.40,0.53,0.45,2.9,0.48,1.1,WHOの2006年時の基準で計算
H24年度,0.35,0.48,0.28,0.94,0.54,1.2,0.38,0.8,WHOの2006年時の基準で計算
