年度,,建設局栗原橋,建設局天神橋,建設局錦糸橋,環境局天神橋,環境基準値（SS）,備考
18,SS(mg/L),4,2,2,3.0,類型：C類型50mg/L以下,
18,濁度(度),1.3,1.2,1.2,,濁度未設定,
19,SS(mg/L),5,4,6,2.5,類型：C類型50mg/L以下,
19,濁度(度),2,1,2,,濁度未設定,
20,SS(mg/L),5,5,5,2.8,類型：C類型50mg/L以下,
20,濁度(度),2,2,2,,濁度未設定,
21,SS(mg/L),4,5,3,2.8,類型：C類型50mg/L以下,
21,濁度(度),2,2,2,,濁度未設定,
22,SS(mg/L),4,4,6,3.0,類型：C類型50mg/L以下,
22,濁度(度),2,2,3,,濁度未設定,
23,SS(mg/L),4,5,6,5.0,類型：C類型50mg/L以下,
23,濁度(度),2,2,3,,濁度未設定,
24,SS(mg/L),3,3,3,3.6,類型：C類型50mg/L以下,
24,濁度(度),2,2,2,,濁度未設定,
,,,,,,,注：環境局調査は、平均値であるため、小数点以下1桁まで標記した
