項目/累型,利用目的の適応性,基準値水素イオン濃度(pH),基準値生物化学的酸素要求量（ＢＯＤ）,基準値浮遊物質量（ＳＳ）,基準値溶存酸素量（ＤＯ）,基準値大腸菌群数,備考
ＡＡ,水道１級/自然環境保全及びＡ以下の欄に掲げるもの,6.5以上8.5以下,1mg/L以下,25mg/L以下,7.5mg/L以上,50MPN/100mL以下,
Ａ,水道２級/水産１級/水浴及びＢ以下の欄に掲げるもの,6.5以上8.5以下,2mg/L以下,25mg/L以下,7.5mg/L以上,1000MPN/100mL以下,
Ｂ,水道３級/水産２級及びＣ以下の欄に掲げるもの,6.5以上8.5以下,3mg/L以下,25mg/L以下,5mg/L以上,5000MPN/100mL以下,
Ｃ,水産３級/工業用水１級及びＤ以下の欄に掲げるもの,6.5以上8.5以下,5mg/L以下,50mg/L以下,5mg/L以上,,
Ｄ,工業用水２級/農業用水及びＥの欄に掲げるもの,6.0以上8.5以下,8mg/L以下,100mg/L以下,2mg/L以上,,
Ｅ,工業用水３級/環境保全,6.0以上8.5以下,10mg/L以下,ゴミ等の浮遊が認められないこと,2mg/L以上,,
,,,,,,,1.基準値は、日間平均値とする（湖沼、海域もこれに準ずる。）。
,,,,,,,（注）1自然環境保全：自然探勝等の環漬保全
,,,,,,,2水道１級：ろ過等による簡易な浄水操作を行うもの/水道２級:沈殿ろ過等による通常の浄水操作を行うもの/水道３級：前処理等を伴う高度の浄水操作を行うもの
,,,,,,,3水産１級：ヤマメ、イワナ等貧腐水性水域の水産生物用並びに水産２級及び水産３級の水産生物用/水産２級：サケ科魚類及びアユ等貧腐水性水域の水産生物用及び水産３級の水産生物用/水産３級：コイ、フナ等、β―中腐水性水域の水産生物用
,,,,,,,4工業用水１級：沈殿等による高度の浄水操作を行うもの/工業用水２級：薬品注入等による高度の浄水操作を行うもの/工業用水３級：特殊の浄水操作を行うもの
,,,,,,,5環療保全：国民の日常生活（沿岸の遊歩等を含む。）において不快感を生じない限度
