課名,担当名,担当事務,電話番号,メールアドレス
庶務課,庶務担当,庶務、人事、給与,03-3692-4832,s0000424(at)section.metro.tokyo.jp
庶務課,経理担当,予算、決算、契約,03-3692-4826,s0000425(at)section.metro.tokyo.jp
庶務課,検査担当,工事及び工事用材料の検査,03-3692-4853,s0000426(at)section.metro.tokyo.jp
高潮工事課?,工務担当,高潮対策工事等に関する連絡調整,03-3692-4865,s0200227(at)section.metro.tokyo.jp?
高潮工事課?,高潮設計担当,高潮対策工事の調査、設計,03-3692-4871,s0200228(at)section.metro.tokyo.jp?
高潮工事課?,係留船対策担当,高潮対策工事に係る係留船の対策,03-3692-4902,s0200229(at)section.metro.tokyo.jp?
高潮工事課?,耐震設計担当,耐震対策工事の調査、設計,03-3692-4533,s0200230(at)section.metro.tokyo.jp?
高潮工事課?,スーパー堤防設計担当,スーパー堤防工事の調査、設計,03-3692-4903,s0200231(at)section.metro.tokyo.jp?
高潮工事課?,工事総括担当,高潮対策工事等の工事事務,03-3692-4909,s0200232(at)section.metro.tokyo.jp?
高潮工事課?,工事担当,高潮対策工事の施工監督,03-3692-4518,s0200233(at)section.metro.tokyo.jp?
高潮工事課?,工事担当,高潮対策工事の施工監督,03-3692-4923,s0200234(at)section.metro.tokyo.jp?
高潮工事課?,工事担当,高潮対策工事の施工監督,03-3692-4521,s0200235(at)section.metro.tokyo.jp?
高潮工事課?,工事担当,高潮対策工事の施工監督,03-3692-4918,s0200236(at)section.metro.tokyo.jp?
高潮工事課?,測量担当,測量,03-3692-4938,s0200237(at)section.metro.tokyo.jp?
内部河川工事課,工務担当,内部河川工事等に関する連絡調整,03-3692-4945,s0200225(at)section.metro.tokyo.jp?
内部河川工事課,設計担当,内部河川工事の調査、設計,03-3692-4948,s0200226(at)section.metro.tokyo.jp?
内部河川工事課,耐震設計担当,耐震対策工事の調査、設計,03-3692-4534,s0200227(at)section.metro.tokyo.jp?
内部河川工事課,工事総括担当,内部河川工事の工事事務,03-3692-4955,s0200228(at)section.metro.tokyo.jp?
内部河川工事課,工事担当?,内部河川工事の施工監督?,03-3692-4957,s0200229(at)section.metro.tokyo.jp?
内部河川工事課,工事担当?,内部河川工事の施工監督?,03-3692-4959,s0200230(at)section.metro.tokyo.jp?
内部河川工事課,工事担当?,内部河川工事の施工監督?,03-3692-4538,s0200231(at)section.metro.tokyo.jp?
特定施設建設課????,工務担当,水門等特定施設建設工事に関する連絡調整,03-3692-4971,s0200363(at)section.metro.tokyo.jp?
特定施設建設課????,設計担当,水門等特定施設建設工事の調査設計,03-3692-4841,s0200364(at)section.metro.tokyo.jp?
特定施設建設課????,工事担当,水門等特定施設建設工事の工事事務、施工監督,03-3692-4979,s0200365(at)section.metro.tokyo.jp?
特定施設建設課????,設備担当,水門等特定施設の設備工事に関する調査、設計、施工監督,03-3692-4557,s0200366(at)section.metro.tokyo.jp?
特定施設建設課????,設備担当,水門等特定施設の設備工事に関する調査、設計、施工監督,03-3692-4539,s0200367(at)section.metro.tokyo.jp?
特定施設建設課????,建築担当,水門等特定施設の建築工事に関する調査、設計、施工監督,03-3692-4532,s0200368(at)section.metro.tokyo.jp?
水門管理課?,管理担当,水門等管理施設の企画、運営、調整,03-5620-2493,s0200226(at)section.metro.tokyo.jp?
水門管理課?,補修担当,維持補修工事の調査、設計、施工監督,03-5620-2494,s0200227(at)section.metro.tokyo.jp?
水門管理課?,運転監視担当,各施設運転監視操作業務の委託及び監督/水門等管理施設の監視・制御,03-5620-2506,s0200228(at)section.metro.tokyo.jp?
水門管理課?,保全担当,水門等管理施設の運転操作、施設維持保全,03-5620-2495,s0200229(at)section.metro.tokyo.jp?
