年月,西暦（年）,月,総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費,
前年(度)比(％)／平成9年度平均,1997,,2,2.2,2.2,1.5,1.6,4.3,-0.4,2.8,7.5,0.1,2.2,2.2,2.1,
前年(度)比(％)／平成10年度平均,1998,,0.2,0.1,1.1,0.2,-0.5,-2.4,-1.6,0.7,4,-1.7,1.7,-0.6,0.5,
前年(度)比(％)／平成11年度平均,1999,,-0.5,-0.6,-1.2,0.1,-0.4,-1,-1.6,-0.3,-1.1,0.2,1.3,-0.8,0.6,
前年(度)比(％)／平成12年度平均,2000,,-0.5,-0.7,-1.3,0.2,-0.4,1.8,-3.1,-1.4,0,0.1,1.1,-1,-0.4,
前年(度)比(％)／平成13年度平均,2001,,-1,-1.3,-1.4,0.3,-0.5,0.6,-3.6,-2.3,0.2,-1.1,1,-2.9,0,
前年(度)比(％)／平成14年度平均,2002,,-0.6,-0.7,0.1,-0.3,-0.6,-1.9,-3.6,-2.2,-1.1,-0.2,1.1,-1.9,0.2,
月別指数／平成14年7月,2002,7,98.2,97.9,98.3,100.1,98.9,99.3,92.6,94.2,98.7,98.6,102.4,95.4,100,
月別指数／平成14年8月,2002,8,98.5,98.2,99,100,98.9,99.2,92.3,91.9,98.7,99,102.4,97.4,100,
月別指数／平成14年9月,2002,9,98.5,98.1,98.9,100,98.8,99,92.2,97.1,98.6,98.3,102.4,95.3,100,
月別指数／平成14年10月,2002,10,98.3,98,98.7,100,98.7,98.2,92.1,97.9,100.2,98.4,102.4,94.2,100,
月別指数／平成14年11月,2002,11,98.3,98,98.8,99.9,98.7,98.3,91.9,97.9,100.1,98.4,102.4,93.8,99.9,
月別指数／平成14年12月,2002,12,98.3,97.9,98.6,100,98.7,98.3,91.5,97.4,100,98.5,102.4,94.3,100,
月別指数／平成15年1月,2003,1,98,97.5,99.2,100,98.6,98.4,91.1,91.1,99.9,98.5,102.4,93.1,100.1,
月別指数／平成15年2月,2003,2,97.7,97.2,98.8,100,98.5,98.5,90.9,89.1,99.9,98.5,102.4,92.9,100.1,
月別指数／平成15年3月,2003,3,98,97.5,98.7,100,98.5,98.5,90.6,91.7,99.9,99,102.4,93.5,100.3,
月別指数／平成15年4月,2003,4,98.3,98,98.8,100,98.5,99.1,90.8,95.2,104.1,98.9,102.8,93,100.3,
月別指数／平成15年5月,2003,5,98.5,98.1,99,100,98.5,99.1,90.6,96.2,104.1,98.8,102.8,93.3,100.3,
月別指数／平成15年6月,2003,6,98.2,97.8,98.4,100.1,98.5,99,90.3,95.9,104,98.5,102.8,93.3,100.2,
月別指数／平成15年7月,2003,7,98,97.6,97.7,100.1,98.5,99.1,90.3,92.3,104,98.7,102.8,94.3,101.4,
前月比(％)／平成14年7月,2002,7,-0.4,-0.4,-0.6,0.1,0,-0.2,-0.4,-3.6,-0.2,-0.1,0,0.5,0,
前月比(％)／平成14年8月,2002,8,0.3,0.3,0.7,-0.1,0,-0.1,-0.3,-2.4,0,0.4,0,2.1,0,
前月比(％)／平成14年9月,2002,9,0,-0.1,-0.1,0,-0.1,-0.2,-0.1,5.7,-0.1,-0.7,0,-2.2,0,
前月比(％)／平成14年10月,2002,10,-0.2,-0.1,-0.2,0,-0.1,-0.8,-0.1,0.8,1.6,0.1,0,-1.2,0,
前月比(％)／平成14年11月,2002,11,0,0,0.1,-0.1,0,0.1,-0.2,0,-0.1,0,0,-0.4,-0.1,
前月比(％)／平成14年12月,2002,12,0,-0.1,-0.2,0.1,0,0,-0.4,-0.5,-0.1,0.1,0,0.5,0.1,
前月比(％)／平成15年1月,2003,1,-0.3,-0.4,0.6,0,-0.1,0.1,-0.4,-6.5,-0.1,0,0,-1.3,0.1,
前月比(％)／平成15年2月,2003,2,-0.3,-0.3,-0.4,0,-0.1,0.1,-0.2,-2.2,0,0,0,-0.2,0,
前月比(％)／平成15年3月,2003,3,0.3,0.3,-0.1,0,0,0,-0.3,2.9,0,0.5,0,0.6,0.2,
前月比(％)／平成15年4月,2003,4,0.3,0.5,0.1,0,0,0.6,0.2,3.8,4.2,-0.1,0.4,-0.5,0,
前月比(％)／平成15年5月,2003,5,0.2,0.1,0.2,0,0,0,-0.2,1.1,0,-0.1,0,0.3,0,
前月比(％)／平成15年6月,2003,6,-0.3,-0.3,-0.6,0.1,0,-0.1,-0.3,-0.3,-0.1,-0.3,0,0,-0.1,
前月比(％)／平成15年7月,2003,7,-0.2,-0.2,-0.7,0,0,0.1,0,-3.8,0,0.2,0,1.1,1.2,
前年同月比(％)／平成14年7月,2002,7,-0.8,-0.8,-0.1,-0.2,-0.6,-1.5,-3.8,-2.5,-2,-0.4,1.1,-2,0.2,
前年同月比(％)／平成14年8月,2002,8,-0.9,-1,-0.5,-0.3,-0.5,-1.6,-3.7,-2.2,-2,-0.4,1.1,-1.9,0.2,
前年同月比(％)／平成14年9月,2002,9,-0.7,-0.9,-0.2,-0.3,-0.6,-1.8,-3.5,-2.3,-2,-0.5,1.1,-1.8,0.1,
前年同月比(％)／平成14年10月,2002,10,-0.9,-1,-0.5,-0.3,-0.7,-2.9,-3.4,-2.2,-0.3,-0.6,1.1,-2,0.1,
前年同月比(％)／平成14年11月,2002,11,-0.4,-0.3,1.2,-0.4,-0.6,-2.7,-3.3,-2.2,-0.3,-0.4,1.1,-1.5,0.1,
前年同月比(％)／平成14年12月,2002,12,-0.3,-0.3,1.2,-0.4,-0.6,-2.6,-3.5,-1.9,-0.4,-0.2,1.1,-1.5,0.3,
前年同月比(％)／平成15年1月,2003,1,-0.4,-0.5,0.6,-0.3,-0.7,-2.3,-3.5,-2.1,-0.4,0,1.1,-1.7,0.3,
前年同月比(％)／平成15年2月,2003,2,-0.2,-0.3,1,-0.3,-0.8,-2.2,-3.2,-2,-0.3,0.1,1.1,-1.2,0.3,
前年同月比(％)／平成15年3月,2003,3,-0.1,-0.2,0.9,-0.3,-0.7,-2,-3.1,-1.8,-0.3,0.5,1.1,-1.2,0.3,
前年同月比(％)／平成15年4月,2003,4,-0.1,0,0.6,-0.2,-0.6,-0.4,-2.9,-2.1,5.2,0.5,0.4,-1.9,0.2,
前年同月比(％)／平成15年5月,2003,5,-0.2,-0.3,-0.2,0,-0.5,-0.4,-2.9,-1.8,5.3,0,0.4,-1.6,0.2,
前年同月比(％)／平成15年6月,2003,6,-0.4,-0.5,-0.5,0.1,-0.4,-0.5,-2.9,-1.8,5.2,-0.2,0.4,-1.7,0.2,
前年同月比(％)／平成15年7月,2003,7,-0.2,-0.3,-0.6,0,-0.4,-0.2,-2.5,-2,5.4,0.1,0.4,-1.2,1.4,
,,,,,,,,,,,,,,,,
東京の物価／平成１５年８月,,,,,,,,,,,,,,,,
１０．全国消費者物価１０大費目指数,,,,,,,,,,,,,,,,
(平成１２年＝１００),,,,,,,,,,,,,,,,
