国/年・期・月,西暦（年）,月,日本／(2000=100),米国／(1982=100),イギリス／(1995=100),ドイツ／(1995=100),フランス／(1995=100),イタリア／(2000=100)
1995年平均,1995,,104.1,124.8,100,100,100,91.5
1996年平均,1996,,102.4,127.7,102.6,98.8,97.3,93.2
1997年平均,1997,,103,127.6,103.5,99.9,96.7,94.4
1998年平均,1998,,101.5,124.4,104.1,99.5,95.8,94.5
1999年平均,1999,,100,125.5,105.3,98.5,94.5,94.3
2000年平均,2000,,100,132.7,108,101.8,98.7,100
2001年平均,2001,,97.7,134.2,108.2,104.9,100.3,101.9
2002年平均,2002,,95.7,131.1,108.5,104.4,100.5,102.1
2002年6月,2002,6,95.8,130.9,108.7,104.5,100.7,101.8
2002年7月,2002,7,95.8,131.2,108.7,104.2,101.1,102.2
2002年8月,2002,8,95.6,131.5,108.7,104.1,101.4,102.4
2002年9月,2002,9,95.5,132.3,108.9,104.3,101,102.7
2002年10月,2002,10,95.2,133.2,109,104.6,100.9,103
2002年11月,2002,11,95.3,133.1,108.8,104.4,100.8,102.6
2002年12月,2002,12,95.2,132.9,108.9,104.6,100.7,102.9
2003年1月,2003,1,95.1,135.3,109.3,106,101.1,103.6
2003年2月,2003,2,95.3,137.8,109.7,106.4,101.2,104
2003年3月,2003,3,95.3,141.4,110.5,106.5,101.5,104.3
2003年4月,2003,4,95.2,136.8,110.2,106.3,101.8,103.7
2003年5月,2003,5,94.9,136.7,110.2,106,…,103.4
2003年6月,2003,6,94.8,…,…,…,…,…
,,,,,,,,
東京の物価／平成15年7月,,,,,,,,
付属資料5欧米主要国の企業（卸売）物価指数,,,,,,,,
注）日本は国内企業物価指数。米国、ドイツ及びイタリアは生産者物価指数。イギリスは生産者物価指数（工業製品）。フランスは生産者物価指数（中間財）。,,,,,,,,
資料：日本銀行発行「金融経済統計月報」,,,,,,,,
