総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,国内需要財,国内需要財/国内品,国内需要財/輸入品,素材原料(1),中間財(2),中間財(2)/製品原材料,中間財(2)/建設用材料(3),中間財(2)/燃料動力,中間財(2)/その他中間財,最終財,最終財/資本財(4),最終財/消費財,最終財/消費財/耐久消費財,最終財/消費財/非耐久消費財,輸 出 品,(参考)国内需要財/生産財(1)+(2),(参考)国内需要財/投資財 注),,,,
品目数,,,1439,1092,347,97,753,476,141,20,116,589,155,434,105,329,257,850,299,,,,
ウエイト,,,855.24,741.81,113.43,47.76,445.179,268.61,62.917,47.393,66.259,362.301,127.198,235.103,73.963,161.14,144.76,492.939,191.417,,,,
平成11年平均,1999,,99.4,100,95.5,87.6,98.8,99.2,100.5,92.7,99.8,101.6,102.2,101.3,103.3,100.7,104.9,97.7,101.6,,,,
平成12年平均,2000,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,
平成13年平均,2001,,98.4,97.8,102.5,103,98.5,97.4,99.5,102,99.8,97.6,95.6,98.7,95.3,100.2,103.1,99,96.9,,,,
平成14年平均,2002,,96.4,95.8,101,103.7,96.6,94.6,99.1,101.3,98.9,95.3,92.3,96.9,90.5,99.9,102,97.3,94.6,,,,
平成10年度平均,1998,,100.9,100.9,101.8,89.6,100.3,101.6,101.5,92.2,100.2,103.1,104.2,102.5,106.2,101.2,114.1,99.3,103.3,,,,
平成11年度平均,1999,,99.7,100.1,97.1,91.3,99.2,99.5,100.4,94.4,99.9,101.4,102,101.1,102.7,100.6,103.5,98.4,101.4,,,,
平成12年度平均,2000,,99.7,99.5,101,101.3,99.9,99.7,100,100.9,100.1,99.3,98.8,99.6,98.8,100,100.8,100,99.2,,,,
平成13年度平均,2001,,97.8,97.1,102.1,102.5,97.8,96.3,99.3,102,99.5,97.1,94.7,98.3,94.2,100.2,103.5,98.3,96.2,,,,
平成13年12月,2001,12,96.9,96.4,99.8,98.6,96.9,95.2,99.1,100.5,99.2,96.6,94,98,93.3,100.2,103.2,97.1,95.6,,,,
平成14年１月,2002,1,96.9,96.1,102.2,99.8,96.9,95.3,99.1,99.7,99.3,96.6,94,97.9,93.1,100.2,105.9,97.2,95.7,,,,
平成14年２月,2002,2,97,96.2,102.5,100.6,97,95.3,99.3,100.4,99.3,96.6,93.9,98,92.8,100.4,106.3,97.4,95.7,,,,
平成14年３月,2002,3,96.8,96.1,101.8,100.3,96.9,95.2,99.4,100.4,99.2,96.3,93.6,97.7,92.4,100.1,105.6,97.3,95.5,,,,
平成14年４月,2002,4,97,96,103.6,104.7,97,95.3,99.2,100.1,99.1,96.1,93.3,97.6,91.7,100.3,105.2,97.7,95.3,,,,
平成14年５月,2002,5,96.7,96,101.8,104.3,96.8,94.9,98.9,101.1,99.1,95.7,92.9,97.2,91.1,100.1,102.4,97.5,94.9,,,,
平成14年６月,2002,6,96.4,95.8,100.1,103.2,96.6,94.7,99,101.2,98.7,95.2,92.3,96.8,90.5,99.7,100.8,97.2,94.5,,,,
平成14年７月,2002,7,96,95.8,97.2,101,96.5,94.1,98.9,103.9,98.4,94.7,91.9,96.2,89.9,99.2,98.3,96.9,94.2,,,,
平成14年８月,2002,8,96,95.7,98,102.9,96.4,94,98.9,103.8,98.3,94.6,91.6,96.2,89.4,99.4,98.5,97,94,,,,
平成14年９月,2002,9,96.1,95.6,99.6,104.9,96.4,94.1,99,103.6,98.4,94.5,91.4,96.3,89.1,99.5,99.4,97.3,93.9,,,,
平成14年10月,2002,10,96.3,95.3,102.6,108.3,96.3,94.3,99.2,100.1,98.9,94.6,91.1,96.5,89.1,99.8,101,97.5,93.8,,,,
平成14年11月,2002,11,96.1,95.3,101.6,108.2,96.3,94.1,99.2,100.9,98.8,94.4,90.8,96.3,88.4,100,99.8,97.4,93.6,,,,
平成14年12月,2002,12,95.9,95.2,100.9,105.9,96.3,94.1,99.4,100.9,98.8,94.2,90.6,96.1,88.1,99.8,100.2,97.2,93.5,,,,
対前月比(%),,,-0.2,-0.1,-0.7,-2.1,0,0,0.2,0,0,-0.2,-0.2,-0.2,-0.3,-0.2,0.4,　　　-,　　　-,,,,
対前年同月比(%),,,-1,-1.2,1.1,7.4,-0.6,-1.2,0.3,0.4,-0.4,-2.5,-3.6,-1.9,-5.6,-0.4,-2.9,　　　-,　　　-,,,,
,,,,,, ,,,,,,,,,,,,,,,,,
東京の物価／平成15年1月,,,,,,,,,,,,,,,,,,,,,,,
付属資料３　需要段階別・用途別指数,,,,,,,,,,,,,,,,,,,,,,,
２０００年＝１００／（平成１２年平均＝１００）,,,,,,,,,,,,,,,,,,,,,,,
注) 投資財：(3)＋(4)＋素原材料内建設用材料 ,,,,,,,,,,,,,,,,,,,,,,,
資料　日本銀行調査統計局,,,,,,,,,,,,,,,,,,,,,,,
