分類/品目/銘柄/単位,2002年12月,2003年10月,2003年11月,2003年12月,銘柄改正等
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリ(5kg入り）/1袋  (円),2739,3155,3360,3401,
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリを除く(5kg入り）/1袋  (円),2370,2620,2903,2970,
（穀類）/うるち米/国内産、精米、複数原料米(5kg入り）/1袋  (円),2004,2132,2165,2310,
（穀類）/うるち米/指定標準米、精米(5kg入り）/1袋  (円),        -,        -,        -,        -,
（穀類）/もち米/国内産、精米、複数原料米(1kg入り）/1kg  (円),580,732,874,908,
（穀類）/食パン/普通品/1kg  (円),426,422,421,423,
（穀類）/あんパン/あずきあん入り、丸型、普通品/100g  (円),84,85,83,83,
（穀類）/ゆでうどん/1食入り（200～250g入り）、普通品/1袋  (円),324,76,77,76,15年1月改正
（穀類）/干しうどん/普通品/1kg  (円),512,491,481,484,
（穀類）/スパゲッティ/袋入り（300g入り）、JAS規格品/1袋  (円),155,159,152,154,
（穀類）/スパゲッティ/輸入品、袋入り（450g入り）、「ブイトーニ」/1袋  (円),208,235,220,209,
（穀類）/即席めん/即席カップめん、中華タイプ、「カップヌードル(77g入り)」/1個  (円),144,141,141,142,15年7月改正
（穀類）/生中華めん/普通品、2食入り（220～260g入り）/1袋  (円),267,265,264,264,
（穀類）/小麦粉/薄力粉、袋入り（1kg入り）「日清フラワー」/1袋  (円),192,191,189,188,
（穀類）/もち/包装生もち/1kg  (円),1071,1060,1032,1070,
（魚介類）/まぐろ/めばち、切り身（刺身用）、赤身/100g  (円),392,391,390,392,
（魚介類）/あじ/まあじ、丸（長さ約15cm以上）/100g  (円),114,115,132,118,
（魚介類）/いわし/まいわし、丸（長さ約12cm以上）/100g  (円),112,139,134,140,
（魚介類）/かつお/切り身（刺身用）/100g  (円),        -,217,        -,        -,
（魚介類）/かれい/まがれい、丸（長さ約25～35cm）/100g  (円),170,232,177,159,
（魚介類）/さけ/キングサーモン（塩さけ除く）、切り身/100g  (円),224,223,218,217,
（魚介類）/さば/まさば、丸(長さ約25～40cm)/100g  (円),151,139,146,170,15年7月改正
（魚介類）/さんま/丸（長さ約25cm以上）/100g  (円),91,81,77,73,
（魚介類）/たい/まだい、丸（長さ約20cm以上）/100g  (円),274,249,245,257,
（魚介類）/ぶり/切り身/100g  (円),285,264,260,272,
（魚介類）/いか/するめいか/100g  (円),74,66,70,84,
（魚介類）/たこ/まだこ（ゆでもの）/100g  (円),265,256,256,254,
（魚介類）/えび/輸入品、冷凍（解凍含む）、パック包装[長さ]無頭8～10cm/100g  (円),300,280,280,285,
（魚介類）/あさり/殻付き/100g  (円),115,116,116,111,
（魚介類）/かき/まがき、むき身/100g  (円),316,317,297,295,
（魚介類）/ほたて貝/養殖もの、むき身（ゆでもの）/100g  (円),183,168,170,175,
（魚介類）/塩さけ/ぎんざけ、切り身/100g  (円),212,187,184,180,15年1月改正
（魚介類）/たらこ/並/100g  (円),659,649,685,675,
（魚介類）/しらす干し/並/100g  (円),440,392,400,392,
（魚介類）/干しあじ/まあじ、開き、並/100g  (円),182,178,184,173,
（魚介類）/丸干しいわし/まいわし（長さ約12cm）、並/100g  (円),137,137,133,133,
（魚介類）/煮干し/かたくちいわし、小羽（約6cm）、上/100g  (円),317,300,301,303,
（魚介類）/ししゃも/子持ちししゃも、パック入り（8～12匹入り）、並/100g  (円),177,160,173,173,
（魚介類）/さつま揚げ/並/100g  (円),101,100,98,98,
（魚介類）/ちくわ/焼ちくわ（冷凍ものを除く）、並/100g  (円),106,102,101,101,
（魚介類）/かまぼこ/蒸かまぼこ、板付き、140g～160g、普通品/100g  (円),146,151,152,151,
（魚介類）/かつお節/かつおぶし削りぶし、パック入り（3g×5袋入り）、普通品/1パック  (円),170,136,138,139,
（魚介類）/塩辛/いかの塩辛、並/100g  (円),235,253,251,255,
（魚介類）/魚みそ漬/さわら/100g  (円),262,266,253,255,
（魚介類）/あさりつくだ煮/並/100g  (円),348,348,347,346,
（魚介類）/まぐろ缶詰/油漬、きはだまぐろ、フレーク、P4号缶（80g入り）/1缶  (円),153,156,157,150,
（肉類）/牛肉/ロース/100g  (円),829,842,829,845,
（肉類）/牛肉/肩肉/100g  (円),423,438,443,461,
（肉類）/牛肉/輸入品、チルド（冷蔵）、ロース（肩ロースは除く）/100g  (円),320,344,344,342,
（肉類）/豚肉/ロース/100g  (円),235,235,237,237,
（肉類）/豚肉/肩肉/100g  (円),162,161,160,159,
（肉類）/鶏肉/ブロイラー、もも肉/100g  (円),124,122,126,125,
（肉類）/羊肉/輸入品、ラム/100g  (円),132,133,137,135,
（肉類）/レバー/豚レバー/100g  (円),103,101,100,99,
（肉類）/ハム/ロースハム、JAS規格品・標準/100g  (円),276,288,286,285,
（肉類）/ソーセージ/ウインナーソーセージ、袋入り、JAS規格品・上級/100g  (円),187,187,187,181,
（肉類）/ベーコン/ベーコン、JAS規格品・標準/100g  (円),246,257,254,252,
（乳卵類）/牛乳/瓶入り（200ml）配達、瓶代を除く、月極め/1本  (円),97,98,98,98,
（乳卵類）/牛乳/紙容器入り（1000ml入り）、店頭売り/1本  (円),208,205,206,207,
（乳卵類）/粉ミルク/調整粉乳、缶入り（980g入り）「ソフトカード明治0コナミルクほほえみ」/1缶  (円),2607,2584,2571,2582,
（乳卵類）/バター/カルトン入り（200g入り）/1箱  (円),320,320,311,320,
（乳卵類）/チーズ/プロセスチーズ、スライスタイプ（10枚190g入り）/1袋  (円),318,295,306,286,
（乳卵類）/チーズ/輸入品、ナチュラルチーズ缶入り（125g入り）「ジェラール」/1缶  (円),505,489,489,489,
（乳卵類）/ヨーグルト/プレーンヨーグルト、500g入り/1個  (円),218,212,211,217,15年1月改正
（乳卵類）/鶏卵/白色卵、Lサイズ、パック詰(10個入り）/1パック  (円),218,199,196,194,
（野菜・海草）/キャベツ/1kg  (円),225,148,107,105,
（野菜・海草）/ほうれんそう/1kg  (円),713,780,500,534,
（野菜・海草）/はくさい/山東菜を除く/1kg  (円),162,191,111,89,
（野菜・海草）/ねぎ/1kg  (円),561,429,404,450,
（野菜・海草）/レタス/玉レタス/1kg  (円),569,336,272,438,
（野菜・海草）/もやし/だいずもやしを除く/100g  (円),17,17,17,17,
（野菜・海草）/ブロッコリー/1kg  (円),528,692,373,443,
（野菜・海草）/アスパラガス/グリーンアスパラガス/100g  (円),147,163,121,128,
（野菜・海草）/かんしょ/1kg  (円),488,536,466,455,
（野菜・海草）/ばれいしょ/1kg  (円),246,281,268,263,
（野菜・海草）/さといも/こいも、土付き/1kg  (円),458,423,423,426,
（野菜・海草）/だいこん/1kg  (円),176,135,101,99,
（野菜・海草）/にんじん/1kg  (円),314,264,256,236,
（野菜・海草）/ごぼう/1kg  (円),709,746,717,684,
（野菜・海草）/たまねぎ/1kg  (円),187,212,206,203,
（野菜・海草）/れんこん/1kg  (円),630,752,699,731,
（野菜・海草）/ながいも/1kg  (円),773,738,707,696,
（野菜・海草）/えだまめ/100g  (円),        -,        -,        -,        -,
（野菜・海草）/さやいんげん/100g  (円),184,165,162,179,
（野菜・海草）/かぼちゃ/1kg  (円),369,274,274,286,
（野菜・海草）/きゅうり/1kg  (円),714,475,439,636,
（野菜・海草）/なす/1kg  (円),735,534,517,722,
（野菜・海草）/トマト/1kg  (円),659,599,612,583,
（野菜・海草）/ピーマン/100g  (円),82,62,56,59,
（野菜・海草）/生しいたけ/100g  (円),180,180,175,170,
（野菜・海草）/えのきだけ/100g  (円),86,66,70,66,
（野菜・海草）/しめじ/ぶなしめじ/100g  (円),119,107,110,105,
（野菜・海草）/あずき/大粒/100g  (円),158,160,163,165,
（野菜・海草）/干ししいたけ/薄葉、並/100g  (円),1104,1329,1328,1287,
（野菜・海草）/のり/焼きのり、中、1帖（10枚入り）/1帖  (円),443,443,446,447,
（野菜・海草）/わかめ/養殖もの、塩蔵わかめ（湯通しもの）、並/100g  (円),145,139,147,151,
（野菜・海草）/こんぶ/とろろこんぶ、並/100g  (円),570,581,584,583,
（野菜・海草）/豆腐/絹ごしを除く/100g  (円),32,32,33,33,
（野菜・海草）/油揚げ/薄揚げ/100g  (円),153,152,150,152,
（野菜・海草）/納豆/糸ひき納豆、丸大豆納豆、発泡スチロール容器入り（50g×3個）/1パック  (円),141,135,136,138,
（野菜・海草）/こんにゃく/板こんにゃく/100g  (円),50,49,48,48,
（野菜・海草）/梅干し/調味梅干し、中粒、並/100g  (円),210,196,197,196,
