国/年・期・月,西暦（年）,月,日本／(2000=100),米国／(1982=100),イギリス／(2000=100),ドイツ／(1995=100),フランス／(2000=100),イタリア／(2000=100)
1995年平均,1995,,104.1,124.8,94.8,100,101.3,91.5
1996年平均,1996,,102.4,127.7,97.2,98.8,98.6,93.2
1997年平均,1997,,103,127.6,98.1,99.9,98,94.4
1998年平均,1998,,101.5,124.4,98.1,99.5,97.1,94.5
1999年平均,1999,,100,125.5,98.5,98.5,95.8,94.3
2000年平均,2000,,100,132.7,100,101.8,100,100
2001年平均,2001,,97.7,134.2,99.7,104.9,101.2,101.9
2002年平均,2002,,95.7,131.1,99.8,104.4,100.7,102.1
2002年10月,2002,10,95.2,133.2,100.1,104.6,100.9,103
2002年11月,2002,11,95.3,133.1,100,104.4,100.8,102.6
2002年12月,2002,12,95.1,132.9,100.1,104.6,100.7,102.9
2003年1月,2003,1,95.1,135.3,100.5,106,101.1,103.6
2003年2月,2003,2,95.3,137.6,100.7,106.4,101.2,104
2003年3月,2003,3,95.3,141.2,101.4,106.5,101.5,104.3
2003年4月,2003,4,95.1,136.8,101.3,106.3,101.8,103.7
2003年5月,2003,5,94.8,136.7,101,106,101.7,103.4
2003年6月,2003,6,94.7,138,101,105.9,101.5,103.3
2003年7月,2003,7,94.9,137.8,101.2,106.2,101,103.5
2003年8月,2003,8,94.9,138,101.4,106.3,100.9,103.8
2003年9月,2003,9,95,138.5,101.4,106.3,100.8,103.7
2003年10月,2003,10,94.8,139.4,101.5,…,…,…
,,,,,,,,
東京の物価／平成15年11月,,,,,,,,
付属資料5欧米主要国の企業（卸売）物価指数,,,,,,,,
注）日本は国内企業物価指数。米国、ドイツ及びイタリアは生産者物価指数。イギリスは生産者物価指数（工業製品）。フランスは生産者物価指数（中間財）。イギリスは基準年を2000年に変更。,,,,,,,,
資料：日本銀行発行「金融経済統計月報」,,,,,,,,
