国/年・期・月,西暦（年）,月,日本／(2000=100),米国／(1982=100),イギリス／(1995=100),ドイツ／(1995=100),フランス／(1995=100),イタリア／(2000=100)
1995年平均,1995,,104.1,124.8,100,100,100,91.5
1996年平均,1996,,102.4,127.7,102.6,98.8,97.3,93.2
1997年平均,1997,,103,127.6,103.5,99.9,96.7,94.4
1998年平均,1998,,101.5,124.4,104.1,99.5,95.8,94.5
1999年平均,1999,,100,125.5,105.3,98.5,94.5,94.3
2000年平均,2000,,100,132.7,108,101.8,98.7,100
2001年平均,2001,,97.7,134.2,108.2,104.9,100.3,101.9
2002年平均,2002,,95.7,131.1,108.5,104.4,100.1,102.1
2002年3月,2002,3,96.1,129.8,108.1,104.7,99.6,101.5
2002年4月,2002,4,96,130.8,108.5,104.6,99.9,101.7
2002年5月,2002,5,95.9,130.8,108.8,104.6,100.1,101.8
2002年6月,2002,6,95.8,130.9,108.7,104.5,100.1,101.8
2002年7月,2002,7,95.8,131.2,108.7,104.2,100.5,102.2
2002年8月,2002,8,95.6,131.5,108.7,104.1,100.8,102.4
2002年9月,2002,9,95.5,132.3,108.9,104.3,100.5,102.7
2002年10月,2002,10,95.2,133.2,109,104.6,100.4,103
2002年11月,2002,11,95.3,133.2,108.8,104.4,100.3,102.6
2002年12月,2002,12,95.2,133,108.9,104.6,100.3,102.9
2003年1月,2003,1,95.1,135.5,109.2,106,100.6,103.6
2003年2月,2003,2,95.3,137.8,109.5,106.4,100.7,104
2003年3月,2003,3,95.4,…,…,…,…,…
,,,,,,,,
東京の物価／平成15年4月,,,,,,,,
付属資料5欧米主要国の企業（卸売）物価指数,,,,,,,,
注）日本は国内企業物価指数。米国、ドイツ及びイタリアは生産者物価指数。イギリスは生産者物価指数（工業製品）。フランスは生産者物価指数（中間財）。イタリアは基準年を２０００年に変更。,,,,,,,,
資料：日本銀行発行「金融経済統計月報」,,,,,,,,
