年度,Fiscal year,区分,Classification,総数 Total／総数 Total,総数 Total／男 Male,総数 Total／女 Female,国立 National,公立 Public,私立 Private,(再掲)全日制課程 (Relisted) full-time,(再掲)定時制課程 (Relisted) part-time
平成21,2009,総数,Total,96165,47382,48783,1141,39208,55816,93095,3070
平成22,2010,総数,Total,97244,48060,49184,1161,40134,55949,93955,3289
平成23,2011,総数,Total,97284,47935,49349,1169,39762,56353,94080,3204
平成23,2011,進学者(A),Enrollment in higher education institutions(A),63681,29507,34174,750,20200,42731,62878,803
平成23,2011,進学者(A)／大学,Enrollment in higher education institutions(A)／Colleges and universities,60032,29133,30899,746,18357,40929,59326,706
平成23,2011,進学者(A)／短期大学,Enrollment in higher education institutions(A)／Junior colleges,3556,350,3206,4,1795,1757,3468,88
平成23,2011,進学者(A)／大学・短期大学の通信教育部及び放送大学,Enrollment in higher education institutions(A)／Correspondence courses of universities and junior colleges and The University of the Air,52,20,32,-,42,10,44,8
平成23,2011,進学者(A)／大学・短期大学の別科,Enrollment in higher education institutions(A)／Universities and junior colleges， special course ,3,-,3,-,1,2,3,-
平成23,2011,進学者(A)／高等学校の専攻科,Enrollment in higher education institutions(A)／Senior high schools， advanced course,38,4,34,-,5,33,37,1
平成23,2011,進学者(A)／特別支援学校高等部専攻科,Enrollment in higher education institutions(A)／Special needs education schools， upper secondary course， advanced course,-,-,-,-,-,-,-,-
平成23,2011,専修学校（専門課程）進学者 (B),Enrollment in specialized training schools (specialized course) (B),11043,4733,6310,1,7430,3612,10574,469
平成23,2011,専修学校（一般課程）等入学者 (C),Enrollment in specialized training schools (general course) and others (C),6745,4218,2527,6,2848,3891,6561,184
平成23,2011,公共職業能力開発施設等入学者 (D),Enrollment in public vocational training facilities and others (D),297,231,66,-,267,30,206,91
平成23,2011,就職者,Employed,5452,3406,2046,5,4259,1188,4850,602
平成23,2011,一時的な仕事に就いた者,Temporary workers,1297,465,832,-,1188,109,931,366
平成23,2011,上記以外の者,Persons other than the above,8765,5374,3391,407,3567,4791,8076,689
平成23,2011,不詳・死亡,Unknown or deceased,4,1,3,-,3,1,4,-
平成23,2011,(再掲)上記(A，B，C，D)のうち就職している者,(Relisted)(A， B， C， D) above and employed,32,11,21,-,24,8,26,6
平成23,2011,(再掲)上記(A)のうち就職している者,(Relisted)(A) above and employed,11,7,4,-,6,5,8,3
平成23,2011,(再掲)上記(B)のうち就職している者,(Relisted)(B) above and employed,11,1,10,-,8,3,8,3
平成23,2011,(再掲)上記(C)のうち就職している者,(Relisted)(C) above and employed,10,3,7,-,10,-,10,-
平成23,2011,(再掲)上記(D)のうち就職している者,(Relisted)(D) above and employed,-,-,-,-,-,-,-,-
,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　17  教育・文化・スポー ツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-7  高等学校卒業後の状況 （平成21～23年度） 17-7  STATUS OF GRADUATES OF SENIOR HIGH SCHOOLS  ( Fiscal Years 2009-2011 ),,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,,
資料：都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」  Source: Bureau of General Affairs， TMG,,,,,,,,,,,
