"年月[西暦]","調査項目","設問","選択肢","件数[人]","(全体)[%]","(除不)[%]"
"202003","生きがいや、不安について","Q33. 現在、どのようなことに充実感や生きがいを感じていますか。（あてはまるものすべてに○）","テレビ・ラジオ・新聞・読書","1303","63.0","64.7"
"202003","生きがいや、不安について","Q33. 現在、どのようなことに充実感や生きがいを感じていますか。（あてはまるものすべてに○）","運動・スポーツ・散歩","777","37.6","38.6"
"202003","生きがいや、不安について","Q33. 現在、どのようなことに充実感や生きがいを感じていますか。（あてはまるものすべてに○）","旅行・レジャー","654","31.6","32.5"
"202003","生きがいや、不安について","Q33. 現在、どのようなことに充実感や生きがいを感じていますか。（あてはまるものすべてに○）","友人・知人・近所とのつきあい","762","36.8","37.8"
"202003","生きがいや、不安について","Q33. 現在、どのようなことに充実感や生きがいを感じていますか。（あてはまるものすべてに○）","ショッピング・買い物","539","26.1","26.7"
"202003","生きがいや、不安について","Q33. 現在、どのようなことに充実感や生きがいを感じていますか。（あてはまるものすべてに○）","家庭菜園・園芸","167","8.1","8.3"
"202003","生きがいや、不安について","Q33. 現在、どのようなことに充実感や生きがいを感じていますか。（あてはまるものすべてに○）","子や孫の世話など家族との団らん","355","17.2","17.6"
"202003","生きがいや、不安について","Q33. 現在、どのようなことに充実感や生きがいを感じていますか。（あてはまるものすべてに○）","仕事・就労","319","15.4","15.8"
"202003","生きがいや、不安について","Q33. 現在、どのようなことに充実感や生きがいを感じていますか。（あてはまるものすべてに○）","パソコン・インターネット動画","205","9.9","10.2"
"202003","生きがいや、不安について","Q33. 現在、どのようなことに充実感や生きがいを感じていますか。（あてはまるものすべてに○）","サークル活動","108","5.2","5.4"
"202003","生きがいや、不安について","Q33. 現在、どのようなことに充実感や生きがいを感じていますか。（あてはまるものすべてに○）","習い事","248","12.0","12.3"
"202003","生きがいや、不安について","Q33. 現在、どのようなことに充実感や生きがいを感じていますか。（あてはまるものすべてに○）","ペットの世話","144","7.0","7.1"
"202003","生きがいや、不安について","Q33. 現在、どのようなことに充実感や生きがいを感じていますか。（あてはまるものすべてに○）","手芸・陶芸等の創作活動","121","5.8","6.0"
"202003","生きがいや、不安について","Q33. 現在、どのようなことに充実感や生きがいを感じていますか。（あてはまるものすべてに○）","カラオケ","141","6.8","7.0"
"202003","生きがいや、不安について","Q33. 現在、どのようなことに充実感や生きがいを感じていますか。（あてはまるものすべてに○）","学習や教養を高めるための活動","189","9.1","9.4"
"202003","生きがいや、不安について","Q33. 現在、どのようなことに充実感や生きがいを感じていますか。（あてはまるものすべてに○）","ボランティア活動","99","4.8","4.9"
"202003","生きがいや、不安について","Q33. 現在、どのようなことに充実感や生きがいを感じていますか。（あてはまるものすべてに○）","町内会・自治会・子ども会などの地域活動・老人クラブ活動","113","5.5","5.6"
"202003","生きがいや、不安について","Q33. 現在、どのようなことに充実感や生きがいを感じていますか。（あてはまるものすべてに○）","特技や技術を活かした創作活動","87","4.2","4.3"
"202003","生きがいや、不安について","Q33. 現在、どのようなことに充実感や生きがいを感じていますか。（あてはまるものすべてに○）","その他","165","8.0","8.2"
"202003","生きがいや、不安について","Q33. 現在、どのようなことに充実感や生きがいを感じていますか。（あてはまるものすべてに○）","特にない","126","6.1","6.3"
"202003","生きがいや、不安について","Q33. 現在、どのようなことに充実感や生きがいを感じていますか。（あてはまるものすべてに○）","無回答","54","2.6",

"港区保健福祉基礎調査（高齢者）・単純集計表・生きがいや不安についてQ33","Ver202003",,,,,
