年次（和暦）,年次（西暦）,社会動態／転入,社会動態／転出,自然動態／出生,自然動態／死亡,移動指数,移動率(％),移動者数に対する割合（％)／転入,移動者数に対する割合（％)／転出,移動者総数,10月1日現在住民基本台帳人口
昭和59年中,1984年中,100,100,100,100,100,8.4,50,50,972133,11605260
昭和60年中,1985年中,99.8,98.8,96.2,101.7,99.3,8.3,50.3,49.7,965565,11678973
昭和61年中,1986年中,100.1,101.4,93,103.3,100.8,8.3,49.7,50.3,979473,11743428
昭和62年中,1987年中,97.6,109.1,90.4,104.3,103.4,8.5,47.2,52.8,1004903,11756523
昭和63年中,1988年中,93.8,108.5,86.3,107.8,101.1,8.4,46.4,53.6,983172,11729428
平成元年中,1989年中,93.6,106.1,81.4,110.9,99.9,8.3,46.9,53.1,970685,11709398
平成2年中,1990年中,93.2,103.6,79.6,115.5,98.4,8.2,47.4,52.6,956673,11693477
平成3年中,1991年中,92,99.7,79.2,116.2,95.9,8,48,52,931839,11694052
平成4年中,1992年中,89.4,99.9,77.4,119.7,94.7,7.9,47.2,52.8,920224,11683185
平成5年中,1993年中,87.3,101.4,75.5,123.7,94.3,7.9,46.3,53.7,917167,11643378
平成6年中,1994年中,86.4,99,78.2,123.9,92.7,7.8,46.6,53.4,901051,11607137
平成7年中,1995年中,88.5,95.5,74.9,130.3,92,7.7,48.1,51.9,894430,11592359
平成8年中,1996年中,88.8,90.2,75.1,126.8,89.5,7.5,49.6,50.4,870053,11604177
平成9年中,1997年中,89.6,86.3,75.3,130.3,88,7.3,50.9,49.1,855202,11641165
平成10年中,1998年中,90.5,84.2,76,132.7,87.4,7.3,51.8,48.2,849492,11691277
平成11年中,1999年中,89.9,82.3,75.4,141,86.1,7.1,52.2,47.8,836986,11744762
平成12年中,2000年中,91.4,80.4,77.2,138.8,85.9,7.1,53.2,46.8,834991,11814109
平成13年中,2001年中,92.5,78.5,75.7,139.4,85.5,7,54.1,45.9,831319,11895235
平成14年中,2002年中,91.1,76.3,76.6,139.9,83.7,6.8,54.4,45.6,813800,11988676
平成15年中,2003年中,90.7,77.4,75.4,143.7,84.1,6.8,54,46,817167,12065354
,,,,,,,,,,,
人口の動き（平成15年中）,,,,,,,,,,,
第７表　変動要因別人口指数の推移／(参考) 移動指数､移動率の推移（昭和59年～平成15年）,,,,,,,,,,,
注１）昭和59年=100,,,,,,,,,,,
注２）移動率とは、10月1日現在の住民基本台帳人口に対する移動者総数の割合をいう。,,,,,,,,,,,
注３）移動者総数とは、転入、転出の合計である。,,,,,,,,,,,
