年次（和暦）,年次（西暦）,増減人口,社会動態／社会増減,社会動態／転入,社会動態／転出,都内間の移動増減,自然動態／自然増減,自然動態／出生,自然動態／死亡,その他の増減／外国人登録人口,その他の増減／記載・消除等
昭和59年中,1984年中,64682,145,486139,485994,8774,70148,131004,60856,10744,-25129
昭和60年中,1985,63074,4851,485208,480357,10545,64078,125995,61917,7328,-23728
昭和61年中,1986,56944,-6129,486672,492801,8090,58953,121811,62858,10817,-14787
昭和62年中,1987,1292,-55491,474706,530197,8418,54910,118390,63480,14341,-20886
昭和63年中,1988,-1324,-71570,455801,527371,5500,47500,113094,65594,32401,-15155
平成元年中,1989年中,-25280,-61055,454815,515870,3748,39123,106614,67491,7390,-14486
平成2年中,1990,-14192,-50441,453116,503557,2815,33963,104237,70274,9605,-10134
平成3年中,1991,21832,-36917,447461,484378,2376,33048,103736,70688,29526,-6201
平成4年中,1992,-9661,-51186,434519,485705,1625,28581,101440,72859,13408,-2089
平成5年中,1993,-38466,-68433,424367,492800,1912,23698,98973,75275,6283,-1926
平成6年中,1994,-39608,-60951,420050,481001,1935,27070,102469,75399,-4530,-3132
平成7年中,1995,-19001,-33692,430369,464061,1015,18743,98061,79318,-4628,-439
平成8年中,1996,23932,-6963,431545,438508,492,21205,98384,77179,1539,7659
平成9年中,1997,50830,16184,435693,419509,928,19352,98638,79286,4840,9526
平成10年中,1998,67727,30704,440098,409394,702,18872,99620,80748,6868,10581
平成11年中,1999,75307,36624,436805,400181,390,12958,98746,85788,12670,12665
平成12年中,2000,94299,53245,444118,390873,-343,16602,101089,84487,19506,5289
平成13年中,2001,109444,68457,449888,381431,775,14255,99109,84854,25123,834
平成14年中,2002,101805,72050,442925,370875,-24,15279,100414,85135,12944,1556
平成15年中,2003,89455,64859,441013,376154,-310,11256,98730,87474,11068,2582
,,,,,,,,,,,
人口の動き（平成15年中）,,,,,,,,,,,
第６表　変動要因別増減人口の推移（昭和59年～平成15年）,,,,,,,,,,,
注）この表における「社会増減」は、他県との移動の増減数をいう。,,,,,,,,,,,
