区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／比（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／比（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／比（％）
15歳以上人口,11026,10946,80,0.7,5449,5412,37,0.7,5577,5534,43,0.8
〔就業状態〕／労働力人口,6844,6772,72,1.1,4054,4031,23,0.6,2790,2741,49,1.8
〔就業状態〕／労働力人口／就業者数,6557,6453,104,1.6,3879,3840,39,1,2678,2613,65,2.5
〔就業状態〕／労働力人口／就業者数／自営業主数,577,611,-34,-5.6,429,444,-15,-3.4,148,168,-20,-11.9
〔就業状態〕／労働力人口／就業者数／家族従業者数,157,158,-1,-0.6,33,33,0,0,124,125,-1,-0.8
〔就業状態〕／労働力人口／就業者数／雇用者数,5781,5647,134,2.4,3393,3342,51,1.5,2388,2306,82,3.6
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,4961,4819,142,2.9,3091,3034,57,1.9,1870,1785,85,4.8
〔就業状態〕／労働力人口／完全失業者数,286,320,-34,-10.6,175,191,-16,-8.4,112,129,-17,-13.2
〔就業状態〕／非労働力人口,4175,4162,13,0.3,1392,1375,17,1.2,2783,2787,-4,-0.1
〔就業者の活動状態別内訳〕／就業者数（再掲）,6557,6453,104,1.6,3879,3840,39,1,2678,2613,65,2.5
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数,6432,6333,99,1.6,3811,3777,34,0.9,2621,2556,65,2.5
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／主に仕事,5482,5410,72,1.3,3659,3626,33,0.9,1824,1784,40,2.2
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,758,737,21,2.8,54,50,4,8,704,687,17,2.5
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,192,186,6,3.2,98,101,-3,-3,94,85,9,10.6
〔就業者の活動状態別内訳〕／就業者数（再掲）／休業者数,125,120,5,4.2,68,63,5,7.9,57,57,0,0
〔就業者の主な産業別内訳〕／建設業,460,469,-9,-1.9,391,403,-12,-3,69,66,3,4.5
〔就業者の主な産業別内訳〕／製造業,836,837,-1,-0.1,584,592,-8,-1.4,251,245,6,2.4
〔就業者の主な産業別内訳〕／情報通信業,481,457,24,5.3,355,328,27,8.2,126,128,-2,-1.6
〔就業者の主な産業別内訳〕／運輸業,345,299,46,15.4,288,247,41,16.6,57,52,5,9.6
〔就業者の主な産業別内訳〕／卸売・小売業,1155,1143,12,1,595,601,-6,-1,559,542,17,3.1
