区分・年,西暦(年),実数／総数（千人、％）,実数／15～24歳（千人、％）,実数／25～34歳（千人、％）,実数／35～44歳（千人、％）,実数／45～54歳（千人、％）,実数／55～64歳（千人、％）,実数／65歳以上（千人、％）,対前年増減数／総数（千人、ポイント）,対前年増減数／15～24歳（千人、ポイント）,対前年増減数／25～34歳（千人、ポイント）,対前年増減数／35～44歳（千人、ポイント）,対前年増減数／45～54歳（千人、ポイント）,対前年増減数／55～64歳（千人、ポイント）,対前年増減数／65歳以上（千人、ポイント）,対前年比／総数（％）,対前年比／15～24歳（％）,対前年比／25～34歳（％）,対前年比／35～44歳（％）,対前年比／45～54歳（％）,対前年比／55～64歳（％）,対前年比／65歳以上（％）
15歳以上人口／平成９年平均,1997,5133,924,1070,776,915,752,696,…,…,…,…,…,…,…,-,-,-,-,-,-,-
15歳以上人口／平成10年平均,1998,5142,877,1094,780,898,762,731,9,-47,24,4,-17,10,35,0.2,-5.1,2.2,0.5,-1.9,1.3,5
15歳以上人口／平成11年平均,1999,5120,824,1108,787,871,771,760,-22,-53,14,7,-27,9,29,-0.4,-6,1.3,0.9,-3,1.2,4
15歳以上人口／平成12年平均,2000,5113,782,1109,806,861,763,791,-7,-42,1,19,-10,-8,31,-0.1,-5.1,0.1,2.4,-1.1,-1,4.1
15歳以上人口／平成13年平均,2001,5119,747,1124,819,858,744,826,6,-35,15,13,-3,-19,35,0.1,-4.5,1.4,1.6,-0.3,-2.5,4.4
15歳以上人口／平成14年平均,2002,5317,813,1123,873,848,771,889,198,66,-1,54,-10,27,63,3.9,8.8,-0.1,6.6,-1.2,3.6,7.6
15歳以上人口／平成15年平均,2003,5358,790,1119,909,812,802,926,41,-23,-4,36,-36,31,37,0.8,-2.8,-0.4,4.1,-4.2,4,4.2
15歳以上人口／平成16年平均,2004,5382,763,1110,939,781,833,957,24,-27,-9,30,-31,31,31,0.4,-3.4,-0.8,3.3,-3.8,3.9,3.3
15歳以上人口／平成17年平均,2005,5412,744,1102,967,759,848,992,30,-19,-8,28,-22,15,35,0.6,-2.5,-0.7,3,-2.8,1.8,3.7
15歳以上人口／平成18年平均,2006,5449,744,1086,994,747,846,1032,37,0,-16,27,-12,-2,40,0.7,0,-1.5,2.8,-1.6,-0.2,4
労働力人口／平成９年平均,1997,4037,427,1025,754,894,659,277,…,…,…,…,…,…,…,-,-,-,-,-,-,-
労働力人口／平成10年平均,1998,4029,376,1046,764,877,675,291,-8,-51,21,10,-17,16,14,-0.2,-11.9,2,1.3,-1.9,2.4,5.1
労働力人口／平成11年平均,1999,3989,341,1046,769,851,688,293,-40,-35,0,5,-26,13,2,-1,-9.3,0,0.7,-3,1.9,0.7
労働力人口／平成12年平均,2000,3945,326,1049,790,838,664,278,-44,-15,3,21,-13,-24,-15,-1.1,-4.4,0.3,2.7,-1.5,-3.5,-5.1
労働力人口／平成13年平均,2001,3924,299,1068,801,831,639,285,-21,-27,19,11,-7,-25,7,-0.5,-8.3,1.8,1.4,-0.8,-3.8,2.5
労働力人口／平成14年平均,2002,4054,360,1056,855,820,649,313,130,61,-12,54,-11,10,28,3.3,20.4,-1.1,6.7,-1.3,1.6,9.8
労働力人口／平成15年平均,2003,4059,324,1062,890,784,674,325,5,-36,6,35,-36,25,12,0.1,-10,0.6,4.1,-4.4,3.9,3.8
労働力人口／平成16年平均,2004,4022,295,1044,907,745,707,323,-37,-29,-18,17,-39,33,-2,-0.9,-9,-1.7,1.9,-5,4.9,-0.6
労働力人口／平成17年平均,2005,4031,289,1028,936,722,718,338,9,-6,-16,29,-23,11,15,0.2,-2,-1.5,3.2,-3.1,1.6,4.6
労働力人口／平成18年平均,2006,4054,273,1019,960,716,718,367,23,-16,-9,24,-6,0,29,0.6,-5.5,-0.9,2.6,-0.8,0,8.6
就業者数／平成９年平均,1997,3879,395,985,732,867,629,271,…,…,…,…,…,…,…,-,-,-,-,-,-,-
