男女・年,西暦(年),建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業（千人）,卸売・小売業（千人）,金融・保険業（千人）,不動産業（千人）,飲食店，宿泊業（千人）,医療，福祉（千人）,教育，学習支援業（千人）,※サービス業（千人）
実数／男女計／平成14年平均,2002,414,842,379,302,1032,209,130,345,362,254,927
実数／男女計／平成15年平均,2003,400,775,451,297,1028,207,129,353,407,250,925
実数／男女計／平成16年平均,2004,411,742,443,251,1062,230,113,324,423,255,966
実数／男女計／平成17年平均,2005,385,767,435,267,1034,220,140,343,476,261,978
実数／男女計／平成18年平均,2006,381,768,461,309,1046,217,155,342,477,265,1049
実数／男／平成14年平均,2002,346,598,268,254,560,95,76,167,86,132,519
実数／男／平成15年平均,2003,334,553,337,243,553,112,73,167,94,123,515
実数／男／平成16年平均,2004,333,534,326,204,570,115,69,151,94,125,538
実数／男／平成17年平均,2005,328,547,313,217,540,113,90,170,102,127,549
実数／男／平成18年平均,2006,322,542,340,255,533,119,100,160,104,128,572
実数／女／平成14年平均,2002,67,244,112,48,473,114,53,178,276,122,408
実数／女／平成15年平均,2003,66,221,114,54,475,95,56,186,313,127,409
実数／女／平成16年平均,2004,78,208,117,48,492,116,45,173,330,130,428
実数／女／平成17年平均,2005,58,219,121,49,494,107,49,173,374,134,429
実数／女／平成18年平均,2006,59,225,121,54,514,98,55,182,373,137,477
対前年増減数／男女計／平成15年平均,2003,-14,-67,72,-5,-4,-2,-1,8,45,-4,-2
対前年増減数／男女計／平成16年平均,2004,11,-33,-8,-46,34,23,-16,-29,16,5,41
対前年増減数／男女計／平成17年平均,2005,-26,25,-8,16,-28,-10,27,19,53,6,12
対前年増減数／男女計／平成18年平均,2006,-4,1,26,42,12,-3,15,-1,1,4,71
対前年増減数／男／平成15年平均,2003,-12,-45,69,-11,-7,17,-3,0,8,-9,-4
対前年増減数／男／平成16年平均,2004,-1,-19,-11,-39,17,3,-4,-16,0,2,23
対前年増減数／男／平成17年平均,2005,-5,13,-13,13,-30,-2,21,19,8,2,11
対前年増減数／男／平成18年平均,2006,-6,-5,27,38,-7,6,10,-10,2,1,23
対前年増減数／女／平成15年平均,2003,-1,-23,2,6,2,-19,3,8,37,5,1
対前年増減数／女／平成16年平均,2004,12,-13,3,-6,17,21,-11,-13,17,3,19
対前年増減数／女／平成17年平均,2005,-20,11,4,1,2,-9,4,0,44,4,1
対前年増減数／女／平成18年平均,2006,1,6,0,5,20,-9,6,9,-1,3,48
,,,,,,,,,,,,
東京の労働力統計データ（平成18年平均）,,,,,,,,,,,,
第５表　主な産業別雇用者数,,,,,,,,,,,,
※サービス業は、他に分類されないものを含む。,,,,,,,,,,,,
