年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1116かつお(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(バラ)(100g)/円,1212豚肉(もも)(100g)/円,1221鶏肉(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1441にがうり(1kg)/円,1442えのきたけ(1kg)/円,1443しめじ(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(1kg)/円,1517しらぬひ(1kg)/円,1521梨(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541柿(1kg)/円,1551桃(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成31年１月,2019,1,466,139,83,...,322,122,90,651,304,143,406,338,120,350,293,922,277,235,201,134,177,899,129,706,507,158,645,2188,499,321,711,137,345,883,271,1033,845,1562,...,2383,575,851,853,688,1094,1849,...,510,754,...,493,697,414,511,...,...,...,...,...,...,...,...,2073,...,250,894,198,238,340
平成31年２月,2019,2,475,115,80,...,325,110,87,669,294,140,378,326,117,338,283,887,275,232,201,134,186,788,120,625,467,159,592,1774,512,337,703,151,328,926,289,998,821,1563,...,2105,521,633,890,656,1202,1800,...,499,763,...,469,765,431,518,829,...,...,...,...,...,...,...,1936,...,256,1001,191,227,338
平成31年２月上旬,2019,2上,481,103,76,...,...,117,86,668,297,139,...,...,...,340,...,...,...,...,...,...,210,819,111,626,481,...,646,1942,...,...,...,148,...,...,287,980,...,...,...,2187,522,661,886,651,1204,...,...,...,...,...,491,764,...,...,892,...,...,...,...,...,...,...,1906,...,256,...,192,227,337
平成31年２月中旬,2019,2中,469,126,83,...,325,101,90,671,292,139,378,326,117,340,283,887,275,232,201,134,184,809,124,616,468,159,586,1703,512,337,703,150,328,926,290,985,821,1563,...,2101,521,621,887,648,1206,1800,...,499,763,...,459,768,431,518,838,...,...,...,...,...,...,...,1876,...,252,1001,192,227,340
平成31年２月下旬,2019,2下,475,115,82,...,...,113,86,667,294,142,...,...,...,333,...,...,...,...,...,...,164,735,124,633,451,...,545,1678,...,...,...,155,...,...,290,1029,...,...,...,2026,519,616,898,668,1195,...,...,...,...,...,458,765,...,...,756,...,...,...,...,...,...,...,2025,...,259,...,190,225,336
平成31年３月上旬,2019,3上,464,94,85,191,...,108,90,655,289,160,...,...,...,320,...,...,...,...,...,...,139,666,129,587,407,...,481,1821,...,...,...,139,...,...,293,1033,...,...,...,1960,511,563,828,687,1117,...,1113,...,...,...,469,854,...,...,696,...,...,...,...,...,...,...,1950,...,246,...,192,224,339
平成31年３月中旬,2019,3中,487,119,89,197,332,116,86,661,291,149,386,322,116,327,277,883,270,233,199,134,141,627,136,557,353,158,520,1802,487,337,724,132,333,917,299,1035,806,1561,...,2049,530,584,776,675,1112,1702,1104,475,676,...,465,870,433,520,681,...,...,...,...,...,...,...,1902,...,248,1059,197,226,351
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成３１年３月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．主要品目の東京都区部小売価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
