年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1116かつお(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(バラ)(100g)/円,1212豚肉(もも)(100g)/円,1221鶏肉(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1441にがうり(1kg)/円,1442えのきたけ(1kg)/円,1443しめじ(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(1kg)/円,1517しらぬひ(1kg)/円,1521梨(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541柿(1kg)/円,1551桃(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成31年４月,2019,4,470,96,80,196,324,103,84,651,266,165,380,323,113,...,287,886,269,235,202,129,177,759,206,542,411,159,621,1932,528,337,748,164,377,930,298,1176,809,1557,...,2012,497,480,674,709,1030,1673,1076,467,657,...,480,...,418,514,738,...,...,...,...,...,...,...,1736,...,250,1095,192,225,336
平成31年４月上旬,2019,4上,469,108,78,195,...,107,85,659,258,154,...,...,...,...,...,...,...,...,...,...,156,731,189,509,375,...,563,1910,...,...,...,152,...,...,309,1088,...,...,...,1990,524,514,704,727,1096,...,1080,...,...,...,476,...,...,...,677,...,...,...,...,...,...,...,1759,...,247,...,192,226,346
平成31年４月中旬,2019,4中,482,94,79,196,324,102,84,655,268,163,380,323,113,...,287,886,269,235,202,129,202,802,208,558,453,159,652,1886,528,337,748,167,377,930,294,1125,809,1557,...,1938,484,497,674,717,1047,1673,1122,467,657,...,480,...,418,514,783,...,...,...,...,...,...,...,1736,...,250,1095,190,225,331
平成31年４月下旬,2019,4下,458,86,81,198,...,100,82,641,271,179,...,...,...,...,...,...,...,...,...,...,171,744,220,558,404,...,647,2001,...,...,...,173,...,...,292,1317,...,...,...,2107,483,430,644,684,948,...,1025,...,...,...,484,...,...,...,753,...,...,...,...,...,...,...,1712,...,253,...,193,224,332
令和元年５月上旬,2019,5上,452,110,86,196,...,105,83,649,277,183,...,...,...,...,...,...,...,...,...,...,160,710,200,649,356,...,563,2184,...,...,...,146,...,...,286,1346,...,...,...,2252,455,430,650,609,900,...,902,...,...,...,533,...,...,...,801,...,...,...,...,...,523,960,1651,...,257,...,238,226,345
令和元年５月中旬,2019,5中,449,79,85,198,330,103,82,660,276,178,371,318,116,...,281,906,265,238,205,129,192,732,193,658,370,158,599,2080,486,358,810,156,377,951,282,1335,818,1618,...,2276,512,426,631,595,831,1695,884,464,678,...,562,...,406,521,832,...,...,...,...,...,480,908,1561,...,257,1038,197,226,336
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／令和元年5月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．主要品目の東京都区部小売価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
