年,西暦（年）,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
昭和28年平均,1953,- ,- ,15.9,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和29年平均,1954,- ,- ,16.7,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和30年平均,1955,- ,- ,16.5,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和31年平均,1956,- ,- ,16.6,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和32年平均,1957,- ,- ,17.2,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和33年平均,1958,- ,- ,17.3,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和34年平均,1959,- ,- ,17.5,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和35年平均,1960,- ,- ,18.2,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和36年平均,1961,- ,- ,19.1,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和37年平均,1962,- ,- ,20.4,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和38年平均,1963,- ,- ,22,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和39年平均,1964,- ,- ,22.9,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和40年平均,1965,- ,- ,24.5,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和41年平均,1966,- ,- ,25.8,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和42年平均,1967,- ,- ,26.8,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和43年平均,1968,- ,- ,28.3,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
