年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1116かつお(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(バラ)(100g)/円,1212豚肉(もも)(100g)/円,1221鶏肉(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1441にがうり(1kg)/円,1442えのきたけ(1kg)/円,1443しめじ(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(1kg)/円,1517しらぬひ(1kg)/円,1521梨(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541柿(1kg)/円,1551桃(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
令和元年10月,2019,10,449,118,93,192,331,121,140,646,290,182,356,325,132,430,270,897,271,234,205,130,154,992,207,710,433,157,740,1784,530,329,799,169,366,900,230,973,797,1617,...,2553,473,545,719,883,889,1663,1095,527,744,548,...,588,337,496,...,608,...,1558,545,...,...,...,...,...,255,961,197,229,330
令和元年11月,2019,11,447,107,97,...,320,126,109,643,295,181,351,333,126,384,261,894,260,235,199,133,161,1153,169,652,577,156,705,1626,544,321,764,177,349,849,235,947,788,1658,...,2506,455,667,800,843,871,1608,...,498,733,...,513,587,362,487,...,...,...,...,503,...,...,...,...,...,257,925,196,226,339
令和元年11月上旬,2019,11上,445,102,100,...,...,118,109,641,292,189,...,...,...,386,...,...,...,...,...,...,148,1083,158,657,526,...,693,1618,...,...,...,170,...,...,234,942,...,...,...,2468,453,685,750,831,884,...,...,...,...,...,515,560,...,...,...,...,...,...,495,...,...,...,...,...,257,...,194,227,342
令和元年11月中旬,2019,11中,453,110,93,...,320,132,107,643,300,180,351,333,126,392,261,894,260,235,199,133,167,1201,175,665,607,156,753,1654,544,321,764,177,349,849,237,961,788,1658,...,2493,468,671,841,828,865,1608,...,498,733,...,522,592,362,487,...,...,...,...,489,...,...,...,...,...,257,925,196,224,338
令和元年11月下旬,2019,11下,444,110,100,...,...,128,112,645,292,174,...,...,...,375,...,...,...,...,...,...,166,1176,173,635,598,...,671,1607,...,...,...,184,...,...,234,938,...,...,...,2558,445,645,809,870,865,...,...,...,...,...,502,610,...,...,...,...,...,...,525,...,...,...,...,...,258,...,196,226,339
令和元年12月上旬,2019,12上,439,115,106,...,...,108,108,649,281,156,...,...,...,371,...,...,...,...,...,...,155,1003,165,663,528,...,587,1662,...,...,...,156,...,...,231,972,...,...,...,2434,456,702,836,828,883,...,...,...,...,...,514,624,...,...,...,...,...,...,498,...,...,...,2097,...,256,...,198,230,342
令和元年12月中旬,2019,12中,452,117,90,...,322,102,105,642,288,143,353,341,126,368,277,895,270,237,199,129,148,951,159,653,517,159,578,1700,539,322,730,146,356,873,235,980,782,1639,...,2489,484,726,879,743,852,1589,...,531,782,...,504,619,409,502,...,...,...,...,534,...,...,...,2131,...,249,968,199,231,345
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／令和元年１２月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．主要品目の東京都区部小売価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
