,,,,,,,,,,,,,,,(単位：隻、総トン、トン、TEU）,
年月,コンテナ船,,,,,,　　コンテナ貨物,,,コンテナ個数（20フィート換算個数）,,,,,,年月
,合計,,フルコン船,,セミコン船,,,,,計,,輸出,,輸入,,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,計,輸出,輸入,実入,空,実入,空,実入,空,
平成29年(2017年),"5,015","125,651,243","4,829","123,252,526",186,"2,398,717","48,151,899","12,950,374","35,201,525","3,400,739","1,099,563","989,439","1,085,355","2,411,300","14,208",2017年
　　　１月　,390,"9,545,400",378,"9,421,263",12,"124,137","3,786,228","877,148","2,909,080","271,168","86,460","68,816","85,688","202,352",772,　　　１月　
　　　２月　,353,"9,039,296",339,"8,843,294",14,"196,002","3,376,853","1,123,236","2,253,617","239,207","61,721","84,770","60,453","154,437","1,268",　　　２月　
　　　３月　,436,"10,727,775",420,"10,521,136",16,"206,639","4,532,021","1,252,322","3,279,699","307,405","88,178","90,519","87,423","216,886",755,　　　３月　
　　　４月　,402,"10,225,326",385,"9,966,579",17,"258,747","4,000,332","1,160,515","2,839,817","285,009","92,042","88,924","90,509","196,085","1,533",　　　４月　
　　　５月　,435,"10,975,906",420,"10,781,623",15,"194,283","3,970,636","1,012,455","2,958,181","282,947","98,245","78,369","96,227","204,578","2,018",　　　５月　
　　　６月　,434,"10,899,442",414,"10,664,187",20,"235,255","3,997,386","1,093,770","2,903,616","284,941","91,936","84,107","90,553","200,834","1,383",　　　６月　
　　　７月　,432,"10,800,034",416,"10,616,111",16,"183,923","4,114,963","1,106,346","3,008,617","285,501","90,598","84,777","89,445","200,724","1,153",　　　７月　
　　　８月　,430,"10,625,949",415,"10,419,833",15,"206,116","3,964,062","995,303","2,968,759","281,329","96,501","75,705","94,661","205,624","1,840",　　　８月　
　　　９月　,423,"10,524,148",408,"10,313,944",15,"210,204","4,021,490","1,093,056","2,928,434","285,152","100,476","82,083","99,657","203,069",819,　　　９月　
　　１０月　,391,"10,258,167",379,"10,096,954",12,"161,213","3,850,649","992,971","2,857,678","273,151","85,730","77,317","85,146","195,834",584,　　１０月　
　　１１月　,449,"11,189,225",430,"10,950,209",19,"239,016","4,368,157","1,071,638","3,296,519","309,647","101,081","84,253","99,951","225,394","1,130",　　１１月　
　　１２月　,440,"10,840,575",425,"10,657,393",15,"183,182","4,169,122","1,171,614","2,997,508","295,282","106,595","89,799","105,642","205,483",953,　　１２月　
平成30年(2018年),"5,118","130,674,067","4,922","127,664,390",196,"3,009,677","47,981,969","12,770,411","35,211,558","3,414,328","1,156,374","973,542","1,143,921","2,440,786","12,453",2018年
,102.1%,104.0%,101.9%,103.6%,105.4%,125.5%,99.6%,98.6%,100.0%,100.4%,105.2%,98.4%,105.4%,101.2%,87.6%,
　　　１月　,412,"10,220,875",396,"10,023,439",16,"197,436","3,841,822","877,238","2,964,584","271,669","94,128","68,208","93,519","203,461",609,　　　１月　
,105.6%,107.1%,104.8%,106.4%,133.3%,159.0%,101.5%,100.0%,101.9%,100.2%,108.9%,99.1%,109.1%,100.5%,78.9%,
　　　２月　,394,"9,985,588",380,"9,745,088",14,"240,500","3,844,838","995,923","2,848,915","272,979","89,730","77,953","88,729","195,026","1,001",　　　２月　
,111.6%,110.5%,112.1%,110.2%,100.0%,122.7%,113.9%,88.7%,126.4%,114.1%,145.4%,92.0%,146.8%,126.3%,78.9%,
　　　３月　,418,"10,364,831",401,"10,104,406",17,"260,425","3,684,261","1,120,064","2,564,197","279,384","85,047","86,118","83,414","193,266","1,633",　　　３月　
,95.9%,96.6%,95.5%,96.0%,106.3%,126.0%,81.3%,89.4%,78.2%,90.9%,96.4%,95.1%,95.4%,89.1%,216.3%,
　　　４月　,423,"10,709,031",406,"10,420,823",17,"288,208","3,997,288","1,094,295","2,902,993","286,860","91,048","83,746","90,164","203,114",884,　　　４月　
,105.2%,104.7%,105.5%,104.6%,100.0%,111.4%,99.9%,94.3%,102.2%,100.6%,98.9%,94.2%,99.6%,103.6%,57.7%,
　　　５月　,446,"10,980,181",429,"10,727,677",17,"252,504","4,004,103","1,028,948","2,975,155","283,632","101,529","77,567","100,710","206,065",819,　　　５月　
,102.5%,100.0%,102.1%,99.5%,113.3%,130.0%,100.8%,101.6%,100.6%,100.2%,103.3%,99.0%,104.7%,100.7%,40.6%,
　　　６月　,438,"10,915,661",419,"10,627,888",19,"287,773","4,008,943","1,156,956","2,851,987","282,457","88,978","87,459","88,429","194,998",549,　　　６月　
,100.9%,100.1%,101.2%,99.7%,95.0%,122.3%,100.3%,105.8%,98.2%,99.1%,96.8%,104.0%,97.7%,97.1%,39.7%,
　　　７月　,438,"11,520,351",420,"11,245,191",18,"275,160","4,028,310","1,086,418","2,941,892","281,543","87,235","81,184","85,375","200,359","1,860",　　　７月　
,101.4%,106.7%,101.0%,105.9%,112.5%,149.6%,97.9%,98.2%,97.8%,98.6%,96.3%,95.8%,95.4%,99.8%,161.3%,
　　　８月　,434,"11,285,479",416,"10,996,699",18,"288,780","4,012,586","1,067,137","2,945,449","281,734","94,277","77,575","93,344","204,159",933,　　　８月　
,100.9%,106.2%,100.2%,105.5%,120.0%,140.1%,101.2%,107.2%,99.2%,100.1%,97.7%,102.5%,98.6%,99.3%,50.7%,
　　　９月　,417,"10,664,145",401,"10,424,311",16,"239,834","4,081,548","1,076,331","3,005,217","288,362","95,422","82,231","94,598","206,131",824,　　　９月　
,98.6%,101.3%,98.3%,101.1%,106.7%,114.1%,101.5%,98.5%,102.6%,101.1%,95.0%,100.2%,94.9%,101.5%,100.6%,
　　１０月　,417,"10,961,067",403,"10,738,460",14,"222,607","4,182,707","1,103,741","3,078,966","295,851","98,814","84,005","97,900","211,846",914,　　１０月　
,106.6%,106.9%,106.3%,106.4%,116.7%,138.1%,108.6%,111.2%,107.7%,108.3%,115.3%,108.7%,115.0%,108.2%,156.5%,
　　１１月　,442,"11,646,896",426,"11,407,990",16,"238,906","4,269,937","1,039,908","3,230,029","304,442","116,299","81,575","114,552","222,867","1,747",　　１１月　
,98.4%,104.1%,99.1%,104.2%,84.2%,100.0%,97.8%,97.0%,98.0%,98.3%,115.1%,96.8%,114.6%,98.9%,154.6%,
　　１２月　,439,"11,419,962",425,"11,202,418",14,"217,544","4,025,626","1,123,452","2,902,174","285,415","113,867","85,921","113,187","199,494",680,　　１２月　
,99.8%,105.3%,100.0%,105.1%,93.3%,118.8%,96.6%,95.9%,96.8%,96.7%,106.8%,95.7%,107.1%,97.1%,71.4%,
,,,,,,,,,,,,,,,,
（注）下段：前年同月比,,,,,,,,,,,,,,,,
　　　セミコン船には、ＲＯＲＯ船を含む,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
