,,,,,,,,,,,,,(単位：トン）,,,,,,,
品種,,13号地その2,,,,,,大井,,,その他,,,,,,,,,
,,青海コンテナふ頭(埠頭㈱),,,お台場ライナーふ頭,,,大井コンテナふ頭,,,合計,,,,,,,,,
,,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,,,,,,,
合計,,"7,044,939","1,507,152","5,537,787","21,667",225,"21,442","25,212,831","8,034,645","17,178,186","2,072,062","480,661","1,591,401",,,,,,,
農水産品,,"615,578","61,118","554,460","1,967",-,"1,967","3,118,613","185,635","2,932,978","99,411","1,365","98,046",,,,,,,
1,麦,"2,484",-,"2,484",306,-,306,"21,086",-,"21,086",30,-,30,,,,,,,
2,米,"10,293",243,"10,050",-,-,-,"11,839","2,632","9,207",-,-,-,,,,,,,
3,とうもろこし,657,-,657,-,-,-,"6,234",120,"6,114",30,-,30,,,,,,,
4,豆類,"26,315",-,"26,315","1,500",-,"1,500","108,825",316,"108,509","1,121",-,"1,121",,,,,,,
5,その他雑穀,"1,995",-,"1,995",-,-,-,"5,338",19,"5,319",-,-,-,,,,,,,
6,野菜・果物,"213,146","5,660","207,486",-,-,-,"733,173","18,371","714,802","54,013",-,"54,013",,,,,,,
7,綿花,135,-,135,-,-,-,201,-,201,-,-,-,,,,,,,
8,その他農産品,"33,722","1,210","32,512",161,-,161,"152,368","5,897","146,471","8,599",109,"8,490",,,,,,,
9,羊毛,90,-,90,-,-,-,594,-,594,60,-,60,,,,,,,
10,その他畜産品,"165,968","10,649","155,319",-,-,-,"1,367,284","8,130","1,359,154","17,590",758,"16,832",,,,,,,
11,水産品,"160,773","43,356","117,417",-,-,-,"711,671","150,150","561,521","17,968",498,"17,470",,,,,,,
林産品,,"373,354","3,329","370,025","8,876",-,"8,876","372,053","3,256","368,797","48,944","8,416","40,528",,,,,,,
12,原木,861,556,305,-,-,-,"2,252",63,"2,189",223,-,223,,,,,,,
13,製材,"345,649","2,617","343,032","8,876",-,"8,876","317,118","2,873","314,245","46,623","8,403","38,220",,,,,,,
14,樹脂類,"15,407",68,"15,339",-,-,-,"24,134",144,"23,990",-,-,-,,,,,,,
15,木材チップ,"1,935",54,"1,881",-,-,-,"9,130",39,"9,091",30,-,30,,,,,,,
16,その他林産品,514,34,480,-,-,-,277,3,274,43,13,30,,,,,,,
17,薪炭,"8,988",-,"8,988",-,-,-,"19,142",134,"19,008","2,025",-,"2,025",,,,,,,
鉱産品,,"63,790","2,042","61,748",-,-,-,"139,731","4,505","135,226","25,567","3,248","22,319",,,,,,,
18,石炭,"7,379",1,"7,378",-,-,-,"19,607",-,"19,607","1,245",-,"1,245",,,,,,,
19,鉄鉱石,-,-,-,-,-,-,174,21,153,-,-,-,,,,,,,
20,金属鉱,195,-,195,-,-,-,"7,909",6,"7,903",-,-,-,,,,,,,
21,砂利・砂,"6,214",23,"6,191",-,-,-,"11,082",126,"10,956",510,45,465,,,,,,,
22,石材,"13,805",840,"12,965",-,-,-,"31,903",103,"31,800","21,308","2,145","19,163",,,,,,,
23,原油,195,-,195,-,-,-,"1,665",-,"1,665",-,-,-,,,,,,,
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
25,石灰石,105,-,105,-,-,-,989,-,989,585,-,585,,,,,,,
26,原塩,"1,601",-,"1,601",-,-,-,"4,003",33,"3,970",75,-,75,,,,,,,
27,非金属鉱物,"34,296","1,178","33,118",-,-,-,"62,399","4,216","58,183","1,844","1,058",786,,,,,,,
金属機械工業品,,"1,655,500","513,440","1,142,060",40,-,40,"7,844,865","4,035,143","3,809,722","620,005","121,250","498,755",,,,,,,
28,鉄鋼,"14,221","3,785","10,436",-,-,-,"49,062","24,055","25,007",524,15,509,,,,,,,
29,鋼材,"63,559","54,176","9,383",-,-,-,"203,418","167,742","35,676","3,447","1,664","1,783",,,,,,,
30,非鉄金属,"21,111","7,553","13,558",-,-,-,"137,460","63,609","73,851","6,114",756,"5,358",,,,,,,
31,金属製品,"284,018","66,455","217,563",-,-,-,"829,486","198,626","630,860","81,098","6,681","74,417",,,,,,,
32,鉄道車両,207,3,204,-,-,-,"3,090",507,"2,583",-,-,-,,,,,,,
33,完成自動車,"29,356","26,111","3,245",-,-,-,"77,161","57,807","19,354",686,30,656,,,,,,,
34,その他輸送用車両,"8,253",741,"7,512",-,-,-,"30,573","1,464","29,109","5,637",25,"5,612",,,,,,,
35,二輪自動車,"2,397",125,"2,272",-,-,-,"54,646","6,371","48,275",262,19,243,,,,,,,
36,自動車部品,"184,212","103,888","80,324",-,-,-,"1,911,174","1,321,731","589,443","85,857","38,024","47,833",,,,,,,
37,その他輸送機械,"97,013","1,583","95,430",-,-,-,"154,172","31,996","122,176","6,597",595,"6,002",,,,,,,
38,産業機械,"350,784","165,302","185,482",25,-,25,"2,200,315","1,431,634","768,681","175,979","46,694","129,285",,,,,,,
39,電気機械,"498,112","58,524","439,588",-,-,-,"1,741,333","526,684","1,214,649","215,969","17,044","198,925",,,,,,,
40,測量・光学・医療機械,"70,730","20,106","50,624",-,-,-,"338,692","169,002","169,690","21,632","8,309","13,323",,,,,,,
41,事務用機器,"27,805","3,845","23,960",-,-,-,"91,154","26,099","65,055","15,084","1,340","13,744",,,,,,,
42,その他機械,"3,722","1,243","2,479",15,-,15,"23,129","7,816","15,313","1,119",54,"1,065",,,,,,,
化学工業品,,"812,446","326,064","486,382","1,665",-,"1,665","3,289,291","1,413,330","1,875,961","185,888","79,174","106,714",,,,,,,
43,陶磁器,"16,853","1,290","15,563",-,-,-,"94,222","7,822","86,400","4,670",68,"4,602",,,,,,,
44,セメント,"1,038",603,435,-,-,-,"13,093","2,428","10,665","1,395",15,"1,380",,,,,,,
45,ガラス類,"42,560","25,814","16,746",390,-,390,"118,591","46,316","72,275","29,359",352,"29,007",,,,,,,
46,窯業品,"57,802","15,305","42,497",705,-,705,"206,686","97,295","109,391","5,610","2,064","3,546",,,,,,,
47,重油,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
48,揮発油,1,-,1,-,-,-,242,-,242,-,-,-,,,,,,,
49,その他の石油,"4,240","1,592","2,648",-,-,-,"27,727","13,278","14,449",942,91,851,,,,,,,
50,LNG/液化天然ガス,-,-,-,-,-,-,134,-,134,-,-,-,,,,,,,
51,LPG/液化石油ガス,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
52,その他石油製品,"4,908","1,173","3,735",-,-,-,"24,554","11,849","12,705","1,030",196,834,,,,,,,
53,コークス,"8,108",-,"8,108",-,-,-,"2,040",-,"2,040",-,-,-,,,,,,,
54,石炭製品,135,90,45,-,-,-,"5,076","4,712",364,165,-,165,,,,,,,
55,化学薬品,"131,633","34,566","97,067",570,-,570,"497,173","192,805","304,368","22,641","6,334","16,307",,,,,,,
56,化学肥料,"5,830",180,"5,650",-,-,-,"21,435",812,"20,623","3,347",-,"3,347",,,,,,,
57,その他化学工業品,"539,338","245,451","293,887",-,-,-,"2,278,318","1,036,013","1,242,305","116,729","70,054","46,675",,,,,,,
軽工業品,,"895,939","72,910","823,029","3,860",-,"3,860","3,159,827","441,697","2,718,130","147,330","9,361","137,969",,,,,,,
58,紙・パルプ,"150,323","32,988","117,335","3,396",-,"3,396","581,647","180,205","401,442","39,955","1,727","38,228",,,,,,,
59,糸及び紡績半製品,"7,597",488,"7,109",-,-,-,"28,402","2,311","26,091","1,040",166,874,,,,,,,
60,その他繊維工業品,"58,761","6,570","52,191",-,-,-,"172,948","34,696","138,252","14,799","3,538","11,261",,,,,,,
61,砂糖,"7,066",31,"7,035",-,-,-,"42,169",132,"42,037",117,-,117,,,,,,,
62,製造食品,"538,409","28,128","510,281",44,-,44,"1,469,894","182,842","1,287,052","82,919","3,076","79,843",,,,,,,
63,飲料,"53,963","4,041","49,922",-,-,-,"556,102","36,776","519,326","7,617",824,"6,793",,,,,,,
64,水,"52,699",410,"52,289",-,-,-,"118,835","4,133","114,702",195,30,165,,,,,,,
65,たばこ,"3,188",9,"3,179",-,-,-,"58,533",165,"58,368",105,-,105,,,,,,,
66,その他食料工業品,"23,933",245,"23,688",420,-,420,"131,297",437,"130,860",583,-,583,,,,,,,
