路線,駅名,取りまとめ駅,取りまとめ駅／電話番号,提出警察署,提出警察署／電話番号
JR東日本,テレフォンセンター,,050-2016-1601,遺失物センター,0570-550-142
山手線,全駅,東京駅,03-3231-1880,遺失物センター,0570-550-142
JR東海,JR東海お忘れ物案内,,050-3772-3910,遺失物センター,0570-550-142
京浜東北線,大宮駅,大宮駅,,大宮警察署,048-650-0110
京浜東北線,川口からさいたま新都心まで,浦和駅,,浦和警察署,048-825-0110
京浜東北線,赤羽から蒲田まで,東京駅,,遺失物センター,0570-550-142
京浜東北線,川崎,川崎駅,,川崎警察署,044-222-0110
京浜東北線,鶴見,鶴見駅,,鶴見警察署,045-504-0110
京浜東北線,新子安から東神奈川まで,東神奈川,,神奈川警察署,045-441-0110
京浜東北線,横浜,横浜駅,,戸部警察署,045-324-0110
京浜東北線,桜木町から根岸まで,桜木町駅,,伊勢佐木警察署,045-231-0110
京浜東北線,磯子から本郷台まで,磯子駅,,磯子警察署,045-761-0110
京浜東北線,大船から戸塚まで,大船駅,,大船警察署,0467-46-0110
東海道本線（東戸塚以西）,東戸塚から辻堂まで,大船駅,,大船警察署,0467-46-0110
東海道本線（東戸塚以西）,北茅ヶ崎から上溝まで,平塚駅,,平塚警察署,0463-31-0110
東海道本線（東戸塚以西）,茅ヶ崎から二宮まで,平塚駅,,平塚警察署,0463-31-0110
東海道本線（東戸塚以西）,国府津から湯河原まで,小田原駅,,小田原警察署,0465-32-0110
東海道本線（東戸塚以西）,来宮から伊東まで,熱海駅,,熱海警察署,0557-85-0110
総武線,西荻窪から御茶ノ水まで,東京駅,,遺失物センター,0570-550-142
総武線,浅草橋から小岩まで,錦糸町駅,,遺失物センター,0570-550-142
総武線,吉祥寺から三鷹まで,三鷹駅,,三鷹警察署,0422-49-0110
総武線,市川から東船橋まで,西船橋駅,,船橋警察署,047-435-0110
総武線,津田沼,津田沼駅,,習志野警察署,047-474-0110
総武線,幕張本郷から千葉まで,千葉駅,,千葉中央警察署,043-244-0110
京葉線,潮見から千葉みなとまで,西船橋駅,,船橋警察署,047-435-0110
横浜線,八王子から相原まで,八王子駅,,八王子警察署,042-621-0110
横浜線,橋本から古淵まで,橋本駅,,相模原北警察署,042-700-0110
横浜線,町田から成瀬まで,町田駅,,町田警察署,042-722-0110
横浜線,長津田から東神奈川まで,東神奈川駅,,神奈川警察署,045-441-0110
埼京線,恵比寿から浮間舟渡まで,東京駅,,遺失物センター,0570-550-142
埼京線,戸田公園から高麗川まで,大宮駅,,大宮警察署,048-650-0110
横須賀線（総武線快速）,馬喰町から西大井まで,東京駅,,遺失物センター,0570-550-142
横須賀線（総武線快速）,新川崎,川崎駅,,川崎警察署,044-222-0110
横須賀線（総武線快速）,横浜から保土ヶ谷まで,横浜駅,,戸部警察署,045-324-0110
横須賀線（総武線快速）,東戸塚から大船まで,大船駅,,大船警察署,0467-46-0110
横須賀線（総武線快速）,北鎌倉から東逗子まで,逗子駅,,逗子警察署,046-871-0110
横須賀線（総武線快速）,田浦から久里浜まで,横須賀駅,,横須賀警察署,046-822-0110
常磐線,上野から金町まで,東京駅,,遺失物センター,0570-550-142
常磐線,松戸から天王台まで,松戸駅,,松戸警察署,047-369-0110
常磐線,取手,取手駅,,取手警察署,0297-77-0110
中央線,東京から西荻窪まで,東京駅,,遺失物センター,0570-550-142
中央線,吉祥寺から武蔵小金井まで,三鷹駅,,三鷹警察署,0422-49-0110
中央線,国分寺から立川まで,立川駅,,立川警察署,042-527-0110
中央線,日野から豊田まで,豊田駅,,日野警察署,042-586-0110
中央線,八王子から西八王子まで,八王子駅,,八王子警察署,042-621-0110
中央線,高尾,高尾駅,,高尾警察署,042-665-0110
南武線,立川から西府まで,立川駅,,立川警察署,042-527-0110
南武線,南多摩から矢野口まで,立川駅,,立川警察署,042-527-0110
南武線,分倍河原から府中本町まで,府中本町駅,,府中警察署,042-360-0110
南武線,稲田堤から川崎まで,川崎駅,,川崎警察署,044-222-0110
青梅線,西立川から奥多摩まで,青梅駅,,青梅警察署,0428-22-0110
五日市線,東秋留から武蔵五日市まで,武蔵五日市駅,,五日市警察署,042-595-0110
武蔵野線,府中本町から新秋津まで,府中本町駅,,府中警察署,042-360-0110
武蔵野線,東所沢から三郷まで,浦和駅,,浦和警察署,048-825-0110
武蔵野線,南流山,松戸駅,,松戸警察署,047-369-0110
武蔵野線,新八柱から西船橋まで,西船橋駅,,船橋警察署,047-435-0110
八高線,八王子から箱根ヶ崎まで,八王子駅,,八王子警察署,042-621-0110
八高線,東飯能から金子まで,大宮駅,,大宮警察署,048-650-0110
私鉄等の照会先,JR線千葉県内の落とし物,,,,043-222-1774
私鉄等の照会先,東京地下鉄の落とし物,,,,0570-033-555
私鉄等の照会先,都営地下鉄・都バスの落とし物,,,,03-3816-5700
私鉄等の照会先,京王電鉄の落とし物,,,,03-3325-6644
私鉄等の照会先,西武鉄道の落とし物,,,,03-3971-0607
私鉄等の照会先,小田急電鉄の落とし物,,,,044-299-8200
私鉄等の照会先,京浜急行電鉄の落とし物,,,,03-5789-8686
私鉄等の照会先,京成電鉄の落とし物,,,,03-5876-8915
私鉄等の照会先,東武鉄道の落とし物,,,,03-5962-0102
