全国地方公共団体コード,ID,地方公共団体名,年,月,戸籍謄抄本等,住民票の写し,印鑑証明,婚姻,離婚,出生,死亡,転入,転出,備考
131016,,,2022,04,6266,3112,1425,77,21,42,60,979,586,
131016,,,2022,05,5935,2544,1256,113,21,53,51,591,456,
131016,,,2022,06,6446,2855,1558,76,21,46,37,510,541,
131016,,,2022,07,5862,2554,1389,124,18,41,80,517,501,
131016,,,2022,08,6658,2725,1369,64,29,73,51,609,501,
131016,,,2022,09,6227,2656,1648,74,18,51,55,621,487,
131016,,,2022,10,"6,76",2758,1472,101,22,64,56,609,448,
131016,,,2022,11,6330,2688,1475,149,17,51,49,432,459,
131016,,,2022,12,6103,2759,1519,109,27,40,39,602,483,
131016,,,2023,01,6459,2876,1409,83,27,58,83,542,395,
131016,,,2023,02,6636,2893,1441,97,18,43,59,505,456,
131016,,,2023,03,7797,3949,1936,138,42,38,41,"1,146","1,003",
