行,EPSGコード,経度,緯度,名称,場所,備考,巡回日時,ホームページリンク,連絡先
1,EPSG:6668,139.4506921,35.56977353,藤の台住宅管理組合前,町田市藤の台2-2-53,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
2,EPSG:6668,139.4572909,35.57022261,ゆうき山公園,町田市金井ヶ丘1-14,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
3,EPSG:6668,139.4995085,35.57728672,四つ木橋児童公園,町田市三輪町398,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
4,EPSG:6668,139.476601,35.533003,天神原公園,町田市南成瀬6-6-1,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
5,EPSG:6668,139.478066,35.523809,南つくし野なかむら公園,町田市南つくし野4-12-19,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
6,EPSG:6668,139.466755,35.51951694,南町田ハイタウン,町田市南町田3-2,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
7,EPSG:6668,139.4509341,35.56744205,市立博物館前,町田市本町田3562,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
8,EPSG:6668,139.4537669,35.56478242,玉川学園やすらぎ公園,町田市玉川学園4-3583-13,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
9,EPSG:6668,139.458372,35.52030392,西田橋公園,町田市金森5-15,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
10,EPSG:6668,139.464422,35.51747144,鶴間橋児童公園,町田市南町田4-7,,移動図書館そよかぜ号　巡回日程表　＜さるびあ図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sarubia.html,さるびあ図書館　042-722-3768
