行,EPSGコード,経度,緯度,名称,場所,備考,巡回日時,ホームページリンク,連絡先
1,EPSG:6668,139.347306,35.607629,小山ヶ丘こもれび公園,町田市小山ヶ丘6-1,,移動図書館そよかぜ号　巡回日程表　＜堺図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sakai.html,堺図書館　042-774-2131
2,EPSG:6668,139.400502,35.594908,上小山田はなみずき公園,町田市上小山田町3025-32,,移動図書館そよかぜ号　巡回日程表　＜堺図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sakai.html,堺図書館　042-774-2131
3,EPSG:6668,139.2979704,35.60869495,武蔵岡住宅,町田市相原町3190,10号棟前,移動図書館そよかぜ号　巡回日程表　＜堺図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sakai.html,堺図書館　042-774-2131
4,EPSG:6668,139.2942066,35.6123723,ヴィラ町田,町田市相原町4391-7,,移動図書館そよかぜ号　巡回日程表　＜堺図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sakai.html,堺図書館　042-774-2131
5,EPSG:6668,139.3037209,35.60951523,ゆくのき学園前,町田市相原町3765-3,,移動図書館そよかぜ号　巡回日程表　＜堺図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sakai.html,堺図書館　042-774-2131
6,EPSG:6668,139.3867074,35.5977662,小山ヶ丘一丁目,町田市小山ヶ丘1丁目,尾根緑道入口,移動図書館そよかぜ号　巡回日程表　＜堺図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sakai.html,堺図書館　042-774-2131
7,EPSG:6668,139.3546372,35.60574586,小山ヶ丘小学校前,町田市小山ケ丘5-37,,移動図書館そよかぜ号　巡回日程表　＜堺図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sakai.html,堺図書館　042-774-2131
8,EPSG:6668,139.3565418,35.60180775,小山観音谷戸,町田市小山町3534,小山観音谷戸緑地脇,移動図書館そよかぜ号　巡回日程表　＜堺図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sakai.html,堺図書館　042-774-2131
9,EPSG:6668,139.4037226,35.584699,マイライフ尾根道,町田市常盤町3547-2,,移動図書館そよかぜ号　巡回日程表　＜堺図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sakai.html,堺図書館　042-774-2131
10,EPSG:6668,139.3937162,35.59195119,常盤団地,町田市常盤町3020,小山駐車場,移動図書館そよかぜ号　巡回日程表　＜堺図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sakai.html,堺図書館　042-774-2131
11,EPSG:6668,139.3876037,35.59046928,馬場児童公園前,町田市小山町210,,移動図書館そよかぜ号　巡回日程表　＜堺図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sakai.html,堺図書館　042-774-2131
12,EPSG:6668,139.3778703,35.59321258,小山小学校前,町田市小山町944,,移動図書館そよかぜ号　巡回日程表　＜堺図書館発＞をご覧ください。,https://www.library.city.machida.tokyo.jp/bm/schedule_sakai.html,堺図書館　042-774-2131
