種別,課程,性別,就職者総数（人）,就職者総数／第１次産業／農業，林業（人）,就職者総数／第１次産業／漁業（人）,就職者総数／第２次産業／鉱業，採石業，砂利採取業（人）,就職者総数／第２次産業／建設業（人）,就職者総数／第２次産業／製造業（人）,就職者総数／第３次産業／電気・ガス・熱供給・水道業（人）,就職者総数／第３次産業／情報通信業（人）,就職者総数／第３次産業／運輸業，郵便業（人）,就職者総数／第３次産業／卸売業，小売業（人）,就職者総数／第３次産業／金融業，保険業（人）,就職者総数／第３次産業／不動産業，物品賃貸業（人）,就職者総数／第３次産業／学術研究，専門・技術サービス業（人）,就職者総数／第３次産業／宿泊業，飲食サービス業（人）,就職者総数／第３次産業／生活関連サービス業，娯楽業（人）,就職者総数／第３次産業／教育，学習支援業（人）,就職者総数／第３次産業／医療，福祉（人）,就職者総数／第３次産業／複合サービス事業（人）,就職者総数／第３次産業／サービス業（他に分類されないもの）（人）,就職者総数／第３次産業／公務（他に分類されるものを除く）（人）,就職者総数／左記以外のもの（人）
総数（国・公・私立）,総数（全日制・定時制）,総数（男・女）,4747,38,6,9,618,927,90,88,565,613,48,50,101,256,296,29,244,73,266,340,90
総数（国・公・私立）,総数（全日制・定時制）,男,3001,27,6,8,553,629,72,63,451,275,5,21,74,108,119,12,60,36,173,252,57
総数（国・公・私立）,総数（全日制・定時制）,女,1746,11,－,1,65,298,18,25,114,338,43,29,27,148,177,17,184,37,93,88,33
総数（国・公・私立）,全日制,総数（男・女）,4172,32,6,9,566,850,68,76,503,519,46,45,91,201,235,27,204,59,225,334,76
総数（国・公・私立）,全日制,男,2629,23,6,8,510,581,51,54,402,220,5,19,65,79,84,11,45,26,147,246,47
総数（国・公・私立）,全日制,女,1543,9,－,1,56,269,17,22,101,299,41,26,26,122,151,16,159,33,78,88,29
総数（国・公・私立）,定時制,総数（男・女）,575,6,－,－,52,77,22,12,62,94,2,5,10,55,61,2,40,14,41,6,14
総数（国・公・私立）,定時制,男,372,4,－,－,43,48,21,9,49,55,－,2,9,29,35,1,15,10,26,6,10
総数（国・公・私立）,定時制,女,203,2,－,－,9,29,1,3,13,39,2,3,1,26,26,1,25,4,15,－,4
総数（国・公・私立）,総数（全日制・定時制）のうち普通（普通）,総数（男・女）,1982,10,2,1,164,248,34,27,194,313,5,16,28,121,224,21,161,42,85,210,76
総数（国・公・私立）,総数（全日制・定時制）のうち普通（普通）,男,1051,8,2,－,138,132,26,19,136,122,1,6,14,57,87,10,40,21,39,148,45
総数（国・公・私立）,総数（全日制・定時制）のうち普通（普通）,女,931,2,－,1,26,116,8,8,58,191,4,10,14,64,137,11,121,21,46,62,31
総数（国・公・私立）,総数（全日制・定時制）のうち普通（学際領域）,総数（男・女）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（学際領域）,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（学際領域）,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（地域社会）,総数（男・女）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（地域社会）,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（地域社会）,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（その他）,総数（男・女）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（その他）,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（その他）,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち農業,総数（男・女）,166,21,－,－,11,36,－,3,9,25,－,－,4,19,10,1,6,2,9,10,－
総数（国・公・私立）,総数（全日制・定時制）のうち農業,男,80,15,－,－,5,16,－,1,7,7,－,－,2,6,6,－,4,1,5,5,－
総数（国・公・私立）,総数（全日制・定時制）のうち農業,女,86,6,－,－,6,20,－,2,2,18,－,－,2,13,4,1,2,1,4,5,－
総数（国・公・私立）,総数（全日制・定時制）のうち工業,総数（男・女）,1675,3,－,8,394,476,41,33,275,107,2,16,56,29,13,3,14,4,112,78,11
総数（国・公・私立）,総数（全日制・定時制）のうち工業,男,1537,3,－,8,374,424,37,30,267,93,2,13,51,19,10,1,10,4,106,75,10
総数（国・公・私立）,総数（全日制・定時制）のうち工業,女,138,－,－,－,20,52,4,3,8,14,－,3,5,10,3,2,4,－,6,3,1
総数（国・公・私立）,総数（全日制・定時制）のうち商業,総数（男・女）,603,2,－,－,30,121,12,21,61,132,32,15,8,40,28,1,39,10,35,14,2
総数（国・公・私立）,総数（全日制・定時制）のうち商業,男,175,－,－,－,20,29,6,10,27,40,2,－,3,9,8,－,3,3,7,7,1
総数（国・公・私立）,総数（全日制・定時制）のうち商業,女,428,2,－,－,10,92,6,11,34,92,30,15,5,31,20,1,36,7,28,7,1
総数（国・公・私立）,総数（全日制・定時制）のうち水産,総数（男・女）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち水産,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち水産,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち家庭,総数（男・女）,47,1,－,－,－,3,－,－,1,5,－,－,－,31,2,1,－,1,1,1,－
総数（国・公・私立）,総数（全日制・定時制）のうち家庭,男,15,－,－,－,－,－,－,－,－,1,－,－,－,14,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち家庭,女,32,1,－,－,－,3,－,－,1,4,－,－,－,17,2,1,－,1,1,1,－
総数（国・公・私立）,総数（全日制・定時制）のうち看護,総数（男・女）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち看護,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち看護,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち情報,総数（男・女）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち情報,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち情報,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち福祉,総数（男・女）,5,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,4,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち福祉,男,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち福祉,女,4,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,3,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうちその他,総数（男・女）,120,1,3,－,13,26,1,4,8,9,6,2,5,3,3,2,3,8,6,16,1
総数（国・公・私立）,総数（全日制・定時制）のうちその他,男,66,1,3,－,10,15,1,3,4,2,－,1,4,1,1,1,－,4,6,8,1
総数（国・公・私立）,総数（全日制・定時制）のうちその他,女,54,－,－,－,3,11,－,1,4,7,6,1,1,2,2,1,3,4,－,8,－
