地域階層,地域,和暦年度,西暦年度,幼稚園数（園）,幼稚園数／うち分園（園）,幼稚園数／国立（園）,幼稚園数／公立（園）,幼稚園数／私立（園）,幼稚園数／私立／学校法人立（園）,幼稚園数／私立／財団法人立（園）,幼稚園数／私立／社団法人立（園）,幼稚園数／私立／宗教法人立（園）,幼稚園数／私立／その他の法人立（園）,幼稚園数／私立／個人立（園）,学級数（学級）,学級数／国立（学級）,学級数／公立（学級）,学級数／私立（学級）
0,総数,平成29,2017,995,－,2,171,822,524,1,－,139,1,157,6333,14,541,5778
0,総数,平成30,2018,991,－,2,171,818,527,1,－,136,1,153,6250,14,543,5693
0,総数,令和元,2019,985,－,2,168,815,533,1,－,132,1,148,6151,14,532,5605
0,総数,令和2,2020,984,－,2,168,814,533,1,－,132,1,147,6026,14,515,5497
0,総数,令和3,2021,976,－,2,163,811,533,1,－,131,1,145,5935,14,489,5432
0,総数,令和4,2022,969,－,2,161,806,531,1,－,127,1,146,5745,14,460,5271
1,区部,令和4,2022,688,－,1,157,530,310,1,－,110,1,108,3666,6,453,3207
2,千代田区,令和4,2022,12,－,－,8,4,4,－,－,－,－,－,47,－,28,19
2,中央区,令和4,2022,15,－,－,15,－,－,－,－,－,－,－,62,－,62,－
2,港区,令和4,2022,30,－,－,12,18,9,－,－,8,1,－,124,－,47,77
2,新宿区,令和4,2022,30,－,－,21,9,3,－,－,5,－,1,85,－,41,44
2,文京区,令和4,2022,27,－,1,10,16,10,－,－,5,－,1,130,6,38,86
2,台東区,令和4,2022,19,－,－,10,9,2,－,－,5,－,2,75,－,30,45
2,墨田区,令和4,2022,16,－,－,7,9,5,－,－,1,－,3,60,－,13,47
2,江東区,令和4,2022,30,－,－,18,12,10,－,－,－,－,2,136,－,45,91
2,品川区,令和4,2022,28,－,－,9,19,10,－,－,4,－,5,122,－,20,102
2,目黒区,令和4,2022,22,－,－,3,19,9,－,－,6,－,4,113,－,8,105
2,大田区,令和4,2022,48,－,－,－,48,27,－,－,13,－,8,295,－,－,295
2,世田谷区,令和4,2022,62,－,－,8,54,34,－,－,15,－,5,349,－,22,327
2,渋谷区,令和4,2022,21,－,－,5,16,7,－,－,5,－,4,76,－,10,66
2,中野区,令和4,2022,22,－,－,2,20,10,－,－,7,－,3,113,－,6,107
2,杉並区,令和4,2022,42,－,－,6,36,17,－,－,9,－,10,224,－,17,207
2,豊島区,令和4,2022,20,－,－,3,17,11,－,－,3,－,3,73,－,6,67
2,北区,令和4,2022,36,－,－,4,32,19,－,－,2,－,11,168,－,6,162
2,荒川区,令和4,2022,14,－,－,9,5,3,－,－,2,－,0,54,－,29,25
2,板橋区,令和4,2022,33,－,－,1,32,24,1,－,1,－,6,216,－,5,211
2,練馬区,令和4,2022,43,－,－,3,40,24,－,－,1,－,15,324,－,12,312
2,足立区,令和4,2022,51,－,－,－,51,35,－,－,5,－,11,325,－,－,325
2,葛飾区,令和4,2022,28,－,－,2,26,19,－,－,3,－,4,182,－,4,178
2,江戸川区,令和4,2022,39,－,－,1,38,18,－,－,10,－,10,313,－,4,309
1,市部,令和4,2022,277,－,1,4,272,219,－,－,15,－,38,2057,8,7,2042
2,八王子市,令和4,2022,30,－,－,－,30,26,－,－,1,－,3,248,－,－,248
2,立川市,令和4,2022,12,－,－,－,12,11,－,－,1,－,0,85,－,－,85
2,武蔵野市,令和4,2022,12,－,－,－,12,10,－,－,1,－,1,80,－,－,80
2,三鷹市,令和4,2022,17,－,－,－,17,5,－,－,3,－,9,103,－,－,103
2,青梅市,令和4,2022,6,－,－,－,6,5,－,－,－,－,1,29,－,－,29
2,府中市,令和4,2022,18,－,－,1,17,14,－,－,－,－,3,143,－,1,142
2,昭島市,令和4,2022,7,－,－,－,7,7,－,－,－,－,－,45,－,－,45
2,調布市,令和4,2022,13,－,－,－,13,11,－,－,－,－,2,100,－,－,100
2,町田市,令和4,2022,34,－,－,－,34,27,－,－,1,－,6,253,－,－,253
2,小金井市,令和4,2022,7,－,1,－,6,4,－,－,1,－,1,40,8,－,32
2,小平市,令和4,2022,15,－,－,－,15,11,－,－,2,－,2,123,－,－,123
2,日野市,令和4,2022,13,－,－,3,10,9,－,－,1,－,－,77,－,6,71
2,東村山市,令和4,2022,10,－,－,－,10,9,－,－,－,－,1,77,－,－,77
2,国分寺市,令和4,2022,4,－,－,－,4,4,－,－,－,－,－,34,－,－,34
2,国立市,令和4,2022,9,－,－,－,9,6,－,－,－,－,3,43,－,－,43
2,福生市,令和4,2022,4,－,－,－,4,3,－,－,1,－,－,21,－,－,21
2,狛江市,令和4,2022,3,－,－,－,3,3,－,－,－,－,－,30,－,－,30
2,東大和市,令和4,2022,3,－,－,－,3,2,－,－,1,－,－,31,－,－,31
2,清瀬市,令和4,2022,7,－,－,－,7,7,－,－,－,－,－,78,－,－,78
2,東久留米市,令和4,2022,7,－,－,－,7,7,－,－,－,－,－,53,－,－,53
2,武蔵村山市,令和4,2022,4,－,－,－,4,3,－,－,－,－,1,33,－,－,33
2,多摩市,令和4,2022,8,－,－,－,8,7,－,－,－,－,1,64,－,－,64
2,稲城市,令和4,2022,7,－,－,－,7,6,－,－,－,－,1,70,－,－,70
2,羽村市,令和4,2022,7,－,－,－,7,5,－,－,1,－,1,39,－,－,39
2,あきる野市,令和4,2022,6,－,－,－,6,6,－,－,－,－,－,43,－,－,43
2,西東京市,令和4,2022,14,－,－,－,14,11,－,－,1,－,2,115,－,－,115
1,郡部,令和4,2022,4,－,－,－,4,2,－,－,2,－,－,22,－,－,22
2,瑞穂町,令和4,2022,3,－,－,－,3,1,－,－,2,－,－,16,－,－,16
2,日の出町,令和4,2022,1,－,－,－,1,1,－,－,－,－,－,6,－,－,6
2,檜原村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,奥多摩町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
1,島部,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,大島町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,利島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,新島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
