種別,地域階層,地域,和暦（年度）,西暦（年度）,職員数（本務者）（人）,職員数（本務者）／男（人）,職員数（本務者）／女（人）,職員数（本務者）／負担法による者（公立）／事務職員／男（人）,職員数（本務者）／負担法による者（公立）／事務職員／女（人）,職員数（本務者）／負担法による者（公立）／学校栄養職員／男（人）,職員数（本務者）／負担法による者（公立）／学校栄養職員／女（人）,職員数（本務者）／その他の者／「教員数（本務者）」以外の職員／男（人）,職員数（本務者）／その他の者／「教員数（本務者）」以外の職員／女（人）,職員数（本務者）／その他の者／事務職員／男（人）,職員数（本務者）／その他の者／事務職員／女（人）,職員数（本務者）／その他の者／学校図書館事務員／男（人）,職員数（本務者）／その他の者／学校図書館事務員／女（人）,職員数（本務者）／その他の者／養護職員（看護師等）／男（人）,職員数（本務者）／その他の者／養護職員（看護師等）／女（人）,職員数（本務者）／その他の者／学校栄養職員／男（人）,職員数（本務者）／その他の者／学校栄養職員／女（人）,職員数（本務者）／その他の者／学校給食調理従事者／男（人）,職員数（本務者）／その他の者／学校給食調理従事者／女（人）,職員数（本務者）／その他の者／用務員／男（人）,職員数（本務者）／その他の者／用務員／女（人）,職員数（本務者）／その他の者／警備員・その他／男（人）,職員数（本務者）／その他の者／警備員・その他／女（人）
総数（公立）,0,総数,平成29,2017,31,13,18,6,6,－,7,－,－,－,－,－,－,－,－,－,－,－,－,7,5,－,－
総数（公立）,0,総数,平成30,2018,33,13,20,7,8,－,9,－,－,－,－,－,－,－,－,－,－,－,－,6,3,－,－
総数（公立）,0,総数,令和元,2019,29,10,19,5,8,－,9,－,－,－,－,－,－,－,－,－,－,－,－,5,2,－,－
総数（公立）,0,総数,令和2,2020,36,15,21,7,8,－,9,－,－,1,－,－,－,－,－,－,1,－,－,7,3,－,－
総数（公立）,0,総数,令和3,2021,36,13,23,7,8,－,10,－,－,－,－,－,－,－,－,－,1,－,－,6,4,－,－
総数（公立）,0,総数,令和4,2022,35,16,19,8,7,1,8,－,－,－,－,－,－,－,－,－,1,－,－,7,3,－,－
総数（公立）,1,区部,令和4,2022,31,13,18,6,7,1,8,－,－,－,－,－,－,－,－,－,－,－,－,6,3,－,－
総数（公立）,2,江東区,令和4,2022,3,－,3,－,2,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,2,品川区,令和4,2022,28,13,15,6,5,1,7,－,－,－,－,－,－,－,－,－,－,－,－,6,3,－,－
総数（公立）,1,市部,令和4,2022,4,3,1,2,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,1,－,－,－
総数（公立）,2,八王子市,令和4,2022,4,3,1,2,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,1,－,－,－
総数（公立）,1,郡部,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,島部,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,,,,,,,,,,,
６－５　義務教育学校　所在地、職種別職員数,,,,,,,,,,,,,,,,,,,,,,,,,,,
注１) 国立・私立には義務教育学校はない。,,,,,,,,,,,,,,,,,,,,,,,,,,,
注２）負担法による者とは、公立学校の職員で、「市町村立学校職員給与負担法」による者である。,,,,,,,,,,,,,,,,,,,,,,,,,,,
注３）「教員数（本務者）」以外の教員とは、教員として発令されているが、関係諸法令に定める要件を満たさず市町村費により給与が支給されている者をいう。,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,
