種別,区分,学科数（学科）,学科数／うち昼間（学科）,学科数／１年～１年11ヶ月（学科）,学科数／２年～２年11ヶ月（学科）,学科数／３年以上（学科）,生徒数（人）,生徒数／男（人）,生徒数／女（人）,生徒数／うち昼間の学科（人）,生徒数／うち昼間の学科／男（人）,生徒数／うち昼間の学科／女（人）,生徒数／高等課程（人）,生徒数／高等課程／男（人）,生徒数／高等課程／女（人）,生徒数／専門課程（人）,生徒数／専門課程／男（人）,生徒数／専門課程／女（人）,生徒数／一般課程（人）,生徒数／一般課程／男（人）,生徒数／一般課程／女（人）,入学者数（春期）（人）,入学者数（春期）／男（人）,入学者数（春期）／女（人）,卒業者数（令和3年度間）（人）,卒業者数（令和3年度間）／男（人）,卒業者数（令和3年度間）／女（人）
総数（国・公・私立）,総数,1556,1387,288,841,427,134036,61203,72833,125795,57816,67979,2835,978,1857,123974,55256,68718,7227,4969,2258,62757,28559,34198,64075,29749,34326
総数（国・公・私立）,工業関係,218,194,15,143,60,23420,18925,4495,22188,18161,4027,56,47,9,23364,18878,4486,－,－,－,9327,7326,2001,9172,7286,1886
総数（国・公・私立）,工業関係のうち測量,2,2,2,－,－,104,95,9,104,95,9,－,－,－,104,95,9,－,－,－,104,95,9,70,65,5
総数（国・公・私立）,工業関係のうち土木・建築,48,37,2,36,10,4394,3180,1214,3456,2650,806,－,－,－,4394,3180,1214,－,－,－,1912,1307,605,1782,1251,531
総数（国・公・私立）,工業関係のうち電気・電子,12,10,1,10,1,790,765,25,719,699,20,－,－,－,790,765,25,－,－,－,373,359,14,441,428,13
総数（国・公・私立）,工業関係のうち無線・通信,1,1,－,1,－,152,98,54,152,98,54,－,－,－,152,98,54,－,－,－,69,45,24,89,48,41
総数（国・公・私立）,工業関係のうち自動車整備,25,23,3,14,8,2497,2403,94,2467,2375,92,－,－,－,2497,2403,94,－,－,－,1073,1028,45,1040,999,41
総数（国・公・私立）,工業関係のうち機械,4,4,－,3,1,142,135,7,142,135,7,－,－,－,142,135,7,－,－,－,65,61,4,90,87,3
総数（国・公・私立）,工業関係のうち電子計算機,3,2,1,1,1,45,40,5,45,40,5,－,－,－,45,40,5,－,－,－,21,19,2,5,5,－
総数（国・公・私立）,工業関係のうち情報処理,56,53,2,44,10,5552,4729,823,5431,4629,802,56,47,9,5496,4682,814,－,－,－,2401,2001,400,2414,2015,399
総数（国・公・私立）,工業関係のうちその他,67,62,4,34,29,9744,7480,2264,9672,7440,2232,－,－,－,9744,7480,2264,－,－,－,3309,2411,898,3241,2388,853
総数（国・公・私立）,農業関係,3,2,－,－,3,408,215,193,327,182,145,－,－,－,408,215,193,－,－,－,129,60,69,89,49,40
総数（国・公・私立）,農業関係のうち農業,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,農業関係のうち園芸,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,農業関係のうちその他,3,2,－,－,3,408,215,193,327,182,145,－,－,－,408,215,193,－,－,－,129,60,69,89,49,40
総数（国・公・私立）,医療関係,214,164,16,21,177,22747,7517,15230,18902,5905,12997,487,87,400,22260,7430,14830,－,－,－,8097,2539,5558,6909,2155,4754
総数（国・公・私立）,医療関係のうち看護,44,42,5,3,36,6306,732,5574,6166,693,5473,－,－,－,6306,732,5574,－,－,－,2294,292,2002,2117,219,1898
総数（国・公・私立）,医療関係のうち准看護,6,6,－,6,－,481,85,396,481,85,396,481,85,396,－,－,－,－,－,－,231,43,188,240,43,197
総数（国・公・私立）,医療関係のうち歯科衛生,24,16,－,－,24,3626,35,3591,2632,20,2612,－,－,－,3626,35,3591,－,－,－,1305,14,1291,920,6,914
総数（国・公・私立）,医療関係のうち歯科技工,6,4,1,2,3,286,148,138,224,117,107,－,－,－,286,148,138,－,－,－,131,66,65,129,71,58
総数（国・公・私立）,医療関係のうち臨床検査,6,4,－,－,6,663,232,431,579,204,375,－,－,－,663,232,431,－,－,－,229,75,154,177,61,116
総数（国・公・私立）,医療関係のうち診療放射線,5,3,－,－,5,1114,613,501,814,420,394,－,－,－,1114,613,501,－,－,－,336,191,145,217,121,96
総数（国・公・私立）,医療関係のうちはり・きゅう・あんま,37,27,2,1,34,3093,1444,1649,2262,1046,1216,6,2,4,3087,1442,1645,－,－,－,1129,517,612,939,467,472
総数（国・公・私立）,医療関係のうち柔道整復,26,19,－,－,26,2471,1791,680,2127,1516,611,－,－,－,2471,1791,680,－,－,－,858,619,239,712,519,193
総数（国・公・私立）,医療関係のうち理学・作業療法,31,18,－,1,30,2970,1717,1253,1968,1118,850,－,－,－,2970,1717,1253,－,－,－,834,458,376,745,386,359
総数（国・公・私立）,医療関係のうちその他,29,25,8,8,13,1737,720,1017,1649,686,963,－,－,－,1737,720,1017,－,－,－,750,264,486,713,262,451
総数（国・公・私立）,衛生関係,199,174,60,120,19,19422,5410,14012,18798,5188,13610,1420,536,884,17988,4874,13114,14,－,14,10153,2780,7373,9486,2979,6507
総数（国・公・私立）,衛生関係のうち栄養,12,12,－,9,3,2345,476,1869,2345,476,1869,－,－,－,2345,476,1869,－,－,－,1033,220,813,912,189,723
総数（国・公・私立）,衛生関係のうち調理,63,49,33,25,5,4006,2344,1662,3633,2184,1449,796,403,393,3210,1941,1269,－,－,－,2235,1222,1013,2397,1420,977
総数（国・公・私立）,衛生関係のうち理容,9,9,2,7,－,325,220,105,325,220,105,61,37,24,264,183,81,－,－,－,184,122,62,159,91,68
総数（国・公・私立）,衛生関係のうち美容,55,47,6,42,7,9105,1871,7234,8980,1838,7142,334,30,304,8757,1841,6916,14,－,14,4674,919,3755,4093,952,3141
総数（国・公・私立）,衛生関係のうち製菓・製パン,41,38,14,24,3,2191,475,1716,2065,446,1619,229,66,163,1962,409,1553,－,－,－,1269,281,988,1286,312,974
総数（国・公・私立）,衛生関係のうちその他,19,19,5,13,1,1450,24,1426,1450,24,1426,－,－,－,1450,24,1426,－,－,－,758,16,742,639,15,624
総数（国・公・私立）,教育・社会福祉関係,85,76,18,50,17,5259,1183,4076,4570,1051,3519,－,－,－,5259,1183,4076,－,－,－,2690,639,2051,2510,643,1867
総数（国・公・私立）,教育・社会福祉関係のうち保育士養成,25,20,2,17,6,2025,294,1731,1532,229,1303,－,－,－,2025,294,1731,－,－,－,973,147,826,861,158,703
総数（国・公・私立）,教育・社会福祉関係のうち教員養成,14,13,－,9,5,1537,237,1300,1473,224,1249,－,－,－,1537,237,1300,－,－,－,687,103,584,673,91,582
総数（国・公・私立）,教育・社会福祉関係のうち介護福祉,22,22,2,19,1,996,390,606,996,390,606,－,－,－,996,390,606,－,－,－,520,193,327,488,187,301
