種別,区分,卒業者数（人）,卒業者数／大学等進学者（Ａ）（人）,卒業者数／大学等進学者（Ａ）／大学（学部）（人）,卒業者数／大学等進学者（Ａ）／短期大学（本科）（人）,卒業者数／大学等進学者（Ａ）／大学・短期大学の通信教育部（人）,卒業者数／大学等進学者（Ａ）／大学・短期大学（別科）（人）,卒業者数／大学等進学者（Ａ）／高等学校（専攻科）（人）,卒業者数／大学等進学者（Ａ）／特別支援学校高等部（専攻科）（人）,卒業者数／大学等進学者（Ａ）／うち大学・短期大学の通信教育部を除く進学者（人）,卒業者数／専修学校（専門課程）進学者（Ｂ）（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）／専修学校（一般課程）等（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）／各種学校（人）,卒業者数／公共職業能力開発施設等入学者（Ｄ）（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／自営業主等（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／無期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／有期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／臨時労働者（人）,卒業者数／左記以外の者（人）,卒業者数／不詳・死亡（人）,"左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）（人）","左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）／Ａのうち（人）","左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）／Ｂのうち（人）","左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）／Ｃのうち（人）","左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）／Ｄのうち（人）",左記Ｅ有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）（人）,大学等進学率（％）,就職者総数（再掲）（人）,卒業者に占める就職者の割合（％）
総数（公・私立）,総数,3590,768,578,55,134,1,－,－,634,854,19,4,15,31,15,539,234,4,1126,－,－,－,－,－,－,207,21.4,761,21.2
総数（公・私立）,男,1851,314,247,14,53,－,－,－,261,416,11,2,9,14,10,372,132,2,580,－,－,－,－,－,－,122,17,504,27.2
総数（公・私立）,女,1739,454,331,41,81,1,－,－,373,438,8,2,6,17,5,167,102,2,546,－,－,－,－,－,－,85,26.1,257,14.8
公立,総数,382,89,54,5,30,－,－,－,59,71,8,4,4,7,6,47,52,－,102,－,－,－,－,－,－,28,23.3,81,21.2
公立,男,142,28,18,－,10,－,－,－,18,22,5,2,3,3,5,20,16,－,43,－,－,－,－,－,－,7,19.7,32,22.5
公立,女,240,61,36,5,20,－,－,－,41,49,3,2,1,4,1,27,36,－,59,－,－,－,－,－,－,21,25.4,49,20.4
私立,総数,3208,679,524,50,104,1,－,－,575,783,11,－,11,24,9,492,182,4,1024,－,－,－,－,－,－,179,21.2,680,21.2
私立,男,1709,286,229,14,43,－,－,－,243,394,6,－,6,11,5,352,116,2,537,－,－,－,－,－,－,115,16.7,472,27.6
私立,女,1499,393,295,36,61,1,－,－,332,389,5,－,5,13,4,140,66,2,487,－,－,－,－,－,－,64,26.2,208,13.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１６－１　卒業後の状況調査（高等学校  通信制）　通信制課程の設置者、状況別卒業者数、大学等進学率及び卒業者に占める就職者の割合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注１）「就職者総数（再掲）」とは、「自営業主等」、「無期雇用労働者」、「左記A，B，C，Dのうち就職している者(再掲）」及び「左記E有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）」を合計した数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注２）「左記以外の者」とは、家事手伝いをしている者、外国の大学等に入学した者又は進路が未定であることが明らかな者である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
