種別,区分,生徒数（人）,生徒数／男（人）,生徒数／女（人）,生徒数／全日制（人）,生徒数／全日制／男（人）,生徒数／全日制／女（人）,生徒数／全日制／１学年（人）,生徒数／全日制／２学年（人）,生徒数／全日制／３学年（人）,生徒数／定時制（人）,生徒数／定時制／男（人）,生徒数／定時制／女（人）,生徒数／定時制／１学年（人）,生徒数／定時制／２学年（人）,生徒数／定時制／３学年（人）,生徒数／定時制／４学年（人）
総数（国・公・私立）,総数,299883,148652,151231,289092,142703,146389,99796,94367,94929,10791,5949,4842,3206,2908,3165,1512
総数（国・公・私立）,普通（普通）,264014,130042,133972,258198,126630,131568,89408,84360,84430,5816,3412,2404,1693,1626,1870,627
総数（国・公・私立）,普通（学際領域）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,普通（地域社会）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,普通（その他）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,農業,2043,958,1085,1837,823,1014,629,611,597,206,135,71,44,48,40,74
総数（国・公・私立）,工業,10722,9132,1590,10160,8751,1409,3306,3300,3554,562,381,181,145,150,137,130
総数（国・公・私立）,商業,5839,2298,3541,5724,2229,3495,1908,1806,2010,115,69,46,31,31,27,26
総数（国・公・私立）,水産,71,57,14,71,57,14,71,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,家庭,1001,150,851,1001,150,851,355,353,293,－,－,－,－,－,－,－
総数（国・公・私立）,看護,119,－,119,119,－,119,41,36,42,－,－,－,－,－,－,－
総数（国・公・私立）,情報,265,172,93,－,－,－,－,－,－,265,172,93,73,67,67,58
総数（国・公・私立）,福祉,132,24,108,132,24,108,52,65,15,－,－,－,－,－,－,－
総数（国・公・私立）,その他,5152,1657,3495,5079,1611,3468,1673,1663,1743,73,46,27,15,22,16,20
総数（国・公・私立）,総合,10525,4162,6363,6771,2428,4343,2353,2173,2245,3754,1734,2020,1205,964,1008,577
国立,総数,3218,1802,1416,3218,1802,1416,1100,1058,1060,－,－,－,－,－,－,－
国立,普通（普通）,2539,1331,1208,2539,1331,1208,858,847,834,－,－,－,－,－,－,－
国立,普通（学際領域）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,普通（地域社会）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,普通（その他）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,農業,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,工業,566,443,123,566,443,123,203,176,187,－,－,－,－,－,－,－
国立,商業,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,水産,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,家庭,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,看護,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,情報,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,福祉,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,その他,113,28,85,113,28,85,39,35,39,－,－,－,－,－,－,－
国立,総合,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,総数,124723,62797,61926,115059,57703,57356,39308,37423,38328,9664,5094,4570,2815,2546,2791,1512
公立,普通（普通）,94816,47381,47435,90127,44824,45303,30788,29329,30010,4689,2557,2132,1302,1264,1496,627
公立,普通（学際領域）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,普通（地域社会）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,普通（その他）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,農業,2043,958,1085,1837,823,1014,629,611,597,206,135,71,44,48,40,74
公立,工業,8443,7014,1429,7881,6633,1248,2637,2561,2683,562,381,181,145,150,137,130
公立,商業,4765,1843,2922,4650,1774,2876,1577,1438,1635,115,69,46,31,31,27,26
公立,水産,71,57,14,71,57,14,71,－,－,－,－,－,－,－,－,－
公立,家庭,804,100,704,804,100,704,287,304,213,－,－,－,－,－,－,－
公立,看護,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,情報,265,172,93,－,－,－,－,－,－,265,172,93,73,67,67,58
公立,福祉,132,24,108,132,24,108,52,65,15,－,－,－,－,－,－,－
公立,その他,2859,1086,1773,2786,1040,1746,914,942,930,73,46,27,15,22,16,20
公立,総合,10525,4162,6363,6771,2428,4343,2353,2173,2245,3754,1734,2020,1205,964,1008,577
私立,総数,171942,84053,87889,170815,83198,87617,59388,55886,55541,1127,855,272,391,362,374,－
私立,普通（普通）,166659,81330,85329,165532,80475,85057,57762,54184,53586,1127,855,272,391,362,374,－
私立,普通（学際領域）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,普通（地域社会）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,普通（その他）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,農業,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,工業,1713,1675,38,1713,1675,38,466,563,684,－,－,－,－,－,－,－
私立,商業,1074,455,619,1074,455,619,331,368,375,－,－,－,－,－,－,－
私立,水産,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,家庭,197,50,147,197,50,147,68,49,80,－,－,－,－,－,－,－
私立,看護,119,－,119,119,－,119,41,36,42,－,－,－,－,－,－,－
私立,情報,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,福祉,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,その他,2180,543,1637,2180,543,1637,720,686,774,－,－,－,－,－,－,－
私立,総合,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,
７－６　高等学校（全日制・定時制）　設置者、課程、学科、学年別生徒数（本科）,,,,,,,,,,,,,,,,,
