種別,性別,区分,入学志願者数（令和4年3月卒業）（人）,入学志願者数（令和4年3月卒業）／大学（学部）（人）,入学志願者数（令和4年3月卒業）／短期大学（本科）（人）,入学志願者数（令和3年3月卒業）（人）,入学志願者数（令和3年3月卒業）／大学（学部）（人）,入学志願者数（令和3年3月卒業）／短期大学（本科）（人）,入学志願者数（令和2年3月以前卒業）（人）,入学志願者数（令和2年3月以前卒業）／大学（学部）（人）,入学志願者数（令和2年3月以前卒業）／短期大学（本科）（人）
総数（国・公・私立）,総数（男・女）,総数,79140,77388,1752,7557,7531,26,2056,2036,20
総数（国・公・私立）,総数（男・女）,普通（普通）,73614,72204,1410,7203,7185,18,1853,1836,17
総数（国・公・私立）,総数（男・女）,普通（学際領域）,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,普通（地域社会）,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,普通（その他）,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,農業,193,164,29,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,工業,1114,1101,13,93,93,－,12,12,－
総数（国・公・私立）,総数（男・女）,商業,925,849,76,27,26,1,33,33,－
総数（国・公・私立）,総数（男・女）,水産,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,家庭,97,56,41,7,－,7,1,1,－
総数（国・公・私立）,総数（男・女）,看護,1,1,－,8,8,－,6,6,－
総数（国・公・私立）,総数（男・女）,情報,35,25,10,9,9,－,7,7,－
総数（国・公・私立）,総数（男・女）,福祉,6,4,2,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,その他,1365,1323,42,126,126,－,101,98,3
総数（国・公・私立）,総数（男・女）,総合学科,1790,1661,129,84,84,－,43,43,－
総数（国・公・私立）,男,総数,39296,39101,195,5231,5221,10,1417,1415,2
総数（国・公・私立）,男,普通（普通）,36792,36620,172,5025,5015,10,1314,1312,2
総数（国・公・私立）,男,普通（学際領域）,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,普通（地域社会）,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,普通（その他）,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,農業,72,71,1,－,－,－,－,－,－
総数（国・公・私立）,男,工業,869,865,4,72,72,－,10,10,－
総数（国・公・私立）,男,商業,418,411,7,18,18,－,22,22,－
総数（国・公・私立）,男,水産,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,家庭,9,9,－,－,－,－,－,－,－
総数（国・公・私立）,男,看護,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,情報,17,14,3,5,5,－,6,6,－
総数（国・公・私立）,男,福祉,4,3,1,－,－,－,－,－,－
総数（国・公・私立）,男,その他,408,408,－,53,53,－,44,44,－
総数（国・公・私立）,男,総合学科,707,700,7,58,58,－,21,21,－
総数（国・公・私立）,女,総数,39844,38287,1557,2326,2310,16,639,621,18
総数（国・公・私立）,女,普通（普通）,36822,35584,1238,2178,2170,8,539,524,15
総数（国・公・私立）,女,普通（学際領域）,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,女,普通（地域社会）,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,女,普通（その他）,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,女,農業,121,93,28,－,－,－,－,－,－
総数（国・公・私立）,女,工業,245,236,9,21,21,－,2,2,－
総数（国・公・私立）,女,商業,507,438,69,9,8,1,11,11,－
総数（国・公・私立）,女,水産,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,女,家庭,88,47,41,7,－,7,1,1,－
総数（国・公・私立）,女,看護,1,1,－,8,8,－,6,6,－
総数（国・公・私立）,女,情報,18,11,7,4,4,－,1,1,－
総数（国・公・私立）,女,福祉,2,1,1,－,－,－,－,－,－
総数（国・公・私立）,女,その他,957,915,42,73,73,－,57,54,3
総数（国・公・私立）,女,総合学科,1083,961,122,26,26,－,22,22,－
,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,
１５－６　卒業後の状況調査（高等学校  全日制・定時制）　学科別大学及び短期大学への入学志願者数,,,,,,,,,,,
注）同一人が2校以上志願した場合は実際に入学した学校に計上し、いずれにも入学しなかった場合は第一志望校に計上した。,,,,,,,,,,,
