種別,地域階層,地域,和暦（年度）,西暦（年度）,不就学者数（人）,不就学者数／就学免除者（人）,不就学者数／就学免除者／６～１１歳（人）,不就学者数／就学免除者／６～１１歳／男（人）,不就学者数／就学免除者／６～１１歳／女（人）,不就学者数／就学免除者／１２～１４歳（人）,不就学者数／就学免除者／１２～１４歳／男（人）,不就学者数／就学免除者／１２～１４歳／女（人）,不就学者数／就学猶予者（人）,不就学者数／就学猶予者／６～１１歳（人）,不就学者数／就学猶予者／６～１１歳／男（人）,不就学者数／就学猶予者／６～１１歳／女（人）,不就学者数／就学猶予者／１２～１４歳（人）,不就学者数／就学猶予者／１２～１４歳／男（人）,不就学者数／就学猶予者／１２～１４歳／女（人）,１年以上居所不明者数（人）,死亡者数（前年度間）（人）
総数（国・公・私立）,0,総数,平成29,2017,1318,1074,741,363,378,333,156,177,244,179,92,87,65,34,31,7,37
総数（国・公・私立）,0,総数,平成30,2018,1423,1145,765,368,397,380,185,195,278,217,112,105,61,26,35,6,40
総数（国・公・私立）,0,総数,令和元,2019,1569,1220,819,379,440,401,205,196,349,266,135,131,83,40,43,9,47
総数（国・公・私立）,0,総数,令和2,2020,1583,1215,793,368,425,422,201,221,368,270,132,138,98,51,47,6,40
総数（国・公・私立）,0,総数,令和3,2021,1588,1320,876,414,462,444,220,224,268,208,111,97,60,26,34,9,43
総数（国・公・私立）,0,総数,令和4,2022,1630,1350,906,419,487,444,220,224,280,214,119,95,66,28,38,10,39
総数（国・公・私立）,1,区部,令和4,2022,1502,1256,848,385,463,408,197,211,246,192,105,87,54,21,33,7,23
総数（国・公・私立）,2,千代田区,令和4,2022,29,29,20,7,13,9,5,4,－,－,－,－,－,－,－,－,1
総数（国・公・私立）,2,中央区,令和4,2022,28,27,22,11,11,5,2,3,1,1,－,1,－,－,－,1,－
総数（国・公・私立）,2,港区,令和4,2022,402,401,281,123,158,120,53,67,1,1,1,－,－,－,－,－,1
総数（国・公・私立）,2,新宿区,令和4,2022,138,138,106,42,64,32,16,16,－,－,－,－,－,－,－,－,1
総数（国・公・私立）,2,文京区,令和4,2022,51,13,9,4,5,4,3,1,38,24,13,11,14,7,7,－,－
