種別,地域階層,地域,和暦（年度）,西暦（年度）,在園者数（人）,在園者数／男（人）,在園者数／女（人）,在園者数／０歳児（人）,在園者数／０歳児／男（人）,在園者数／０歳児／女（人）,在園者数／１歳児（人）,在園者数／１歳児／男（人）,在園者数／１歳児／女（人）,在園者数／２歳児（人）,在園者数／２歳児／男（人）,在園者数／２歳児／女（人）,在園者数／３歳児（人）,在園者数／３歳児／男（人）,在園者数／３歳児／女（人）,在園者数／３歳児／０～２歳児入園（人）,在園者数／３歳児／本年度入園／平成31年4月2日～令和元年5月1日生まれ（人）,在園者数／３歳児／本年度入園／平成30年4月2日～平成31年4月1日生まれ（人）,在園者数／３歳児／前年度間入園（人）,在園者数／４歳児（人）,在園者数／４歳児／男（人）,在園者数／４歳児／女（人）,在園者数／４歳児／０～２歳児入園（人）,在園者数／４歳児／３歳児入園（人）,在園者数／４歳児／４歳児入園（本年度入園）（人）,在園者数／５歳児（人）,在園者数／５歳児／男（人）,在園者数／５歳児／女（人）,在園者数／５歳児／０～２歳児入園（人）,在園者数／５歳児／３歳児入園（人）,在園者数／５歳児／４歳児入園（人）,在園者数／５歳児／５歳児入園（本年度入園）（人）,修了者数(令和4年3月)（人）,修了者数(令和4年3月)／男（人）,修了者数(令和4年3月)／女（人）
総数（公・私立）,0,総数,平成29,2017,5110,2593,2517,160,89,71,389,206,183,445,226,219,1357,681,676,275,3,1006,73,1382,715,667,262,741,379,1377,676,701,－,912,239,226,1216,613,603
総数（公・私立）,0,総数,平成30,2018,5812,2949,2863,185,93,92,456,233,223,525,273,252,1495,758,737,388,30,1064,13,1626,818,808,320,922,384,1525,774,751,254,712,331,228,1375,677,698
総数（公・私立）,0,総数,令和元,2019,6043,3141,2902,198,107,91,487,250,237,573,296,277,1542,822,720,473,4,981,84,1618,837,781,421,1027,170,1625,829,796,343,943,307,32,1537,766,771
総数（公・私立）,0,総数,令和2,2020,6218,3207,3011,192,105,87,508,254,254,596,309,287,1565,789,776,532,6,974,53,1717,908,809,504,985,228,1640,842,798,466,916,205,53,1614,820,794
総数（公・私立）,0,総数,令和3,2021,6949,3535,3414,230,121,109,599,317,282,699,339,360,1695,847,848,617,23,981,74,1817,889,928,528,996,293,1909,1022,887,488,960,274,187,1649,848,801
総数（公・私立）,0,総数,令和4,2022,7367,3703,3664,270,146,124,668,375,293,807,405,402,1801,863,938,677,13,989,122,1865,941,924,636,1041,188,1956,973,983,648,1002,213,93,1882,995,887
総数（公・私立）,1,区部,令和4,2022,4265,2093,2172,153,81,72,352,194,158,415,198,217,1050,502,548,334,5,679,32,1123,548,575,294,709,120,1172,570,602,293,675,177,27,1195,646,549
総数（公・私立）,2,千代田区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,中央区,令和4,2022,118,60,58,－,－,－,12,7,5,15,8,7,30,16,14,－,－,16,14,31,16,15,－,31,－,30,13,17,－,－,30,－,31,12,19
総数（公・私立）,2,港区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,新宿区,令和4,2022,435,227,208,28,15,13,55,31,24,58,24,34,68,38,30,53,1,14,－,114,65,49,45,18,51,112,54,58,49,13,44,6,125,72,53
総数（公・私立）,2,文京区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,台東区,令和4,2022,117,58,59,－,－,－,11,7,4,15,6,9,30,16,14,15,－,15,－,27,17,10,15,11,1,34,12,22,15,18,1,－,34,21,13
総数（公・私立）,2,墨田区,令和4,2022,394,205,189,31,19,12,72,43,29,88,44,44,68,27,41,57,－,6,5,67,30,37,56,10,1,68,42,26,49,9,10,－,69,43,26
総数（公・私立）,2,江東区,令和4,2022,897,407,490,24,12,12,42,17,25,44,17,27,248,109,139,44,4,200,－,271,128,143,35,225,11,268,124,144,23,214,25,6,245,139,106
総数（公・私立）,2,品川区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,目黒区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,大田区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,世田谷区,令和4,2022,859,420,439,33,19,14,69,43,26,78,39,39,242,118,124,53,－,177,12,206,90,116,48,141,17,231,111,120,44,173,8,6,202,106,96
総数（公・私立）,2,渋谷区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,中野区,令和4,2022,263,132,131,17,6,11,26,15,11,32,18,14,61,25,36,29,－,32,－,64,27,37,25,37,2,63,41,22,29,30,2,2,68,39,29
総数（公・私立）,2,杉並区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,豊島区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,北区,令和4,2022,145,69,76,－,－,－,－,－,－,－,－,－,30,15,15,－,－,30,－,55,31,24,－,29,26,60,23,37,－,29,30,1,60,30,30
総数（公・私立）,2,荒川区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,板橋区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,練馬区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,足立区,令和4,2022,135,69,66,－,－,－,7,5,2,15,7,8,26,13,13,16,－,10,－,36,21,15,16,15,5,51,23,28,25,4,20,2,64,32,32
総数（公・私立）,2,葛飾区,令和4,2022,902,446,456,20,10,10,58,26,32,70,35,35,247,125,122,67,－,179,1,252,123,129,54,192,6,255,127,128,59,185,7,4,297,152,145
総数（公・私立）,2,江戸川区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,1,市部,令和4,2022,3102,1610,1492,117,65,52,316,181,135,392,207,185,751,361,390,343,8,310,90,742,393,349,342,332,68,784,403,381,355,327,36,66,687,349,338
総数（公・私立）,2,八王子市,令和4,2022,978,525,453,60,33,27,115,61,54,152,85,67,213,106,107,131,－,59,23,216,126,90,121,49,46,222,114,108,118,43,6,55,203,110,93
総数（公・私立）,2,立川市,令和4,2022,126,74,52,9,4,5,21,15,6,24,11,13,25,15,10,21,－,4,－,22,13,9,19,2,1,25,16,9,21,2,－,2,－,－,－
総数（公・私立）,2,武蔵野市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,三鷹市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,青梅市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,府中市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,昭島市,令和4,2022,190,89,101,12,7,5,28,13,15,30,17,13,40,20,20,29,－,11,－,40,17,23,26,13,1,40,15,25,25,12,1,2,39,18,21
総数（公・私立）,2,調布市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,町田市,令和4,2022,865,434,431,6,4,2,50,30,20,81,41,40,247,113,134,57,4,153,33,227,121,106,57,162,8,254,125,129,69,167,13,5,200,104,96
総数（公・私立）,2,小金井市,令和4,2022,120,56,64,6,3,3,15,8,7,15,8,7,28,11,17,14,－,14,－,28,11,17,15,10,3,28,15,13,15,13,－,－,28,12,16
総数（公・私立）,2,小平市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,日野市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,東村山市,令和4,2022,211,100,111,－,－,－,16,11,5,18,6,12,55,27,28,18,2,14,21,61,25,36,37,22,2,61,31,30,37,21,3,－,61,27,34
総数（公・私立）,2,国分寺市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,国立市,令和4,2022,103,51,52,3,－,3,12,8,4,11,6,5,23,10,13,12,－,11,－,27,12,15,9,14,4,27,15,12,10,11,4,2,30,18,12
総数（公・私立）,2,福生市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,狛江市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,東大和市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,清瀬市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,東久留米市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,武蔵村山市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,多摩市,令和4,2022,233,118,115,6,4,2,18,8,10,18,9,9,62,32,30,19,2,28,13,60,30,30,18,41,1,69,35,34,20,45,4,－,67,35,32
総数（公・私立）,2,稲城市,令和4,2022,127,80,47,6,6,－,18,12,6,18,9,9,28,14,14,17,－,11,－,30,21,9,16,14,－,27,18,9,17,8,2,－,28,7,21
総数（公・私立）,2,羽村市,令和4,2022,149,83,66,9,4,5,23,15,8,25,15,10,30,13,17,25,－,5,－,31,17,14,24,5,2,31,19,12,23,5,3,－,31,18,13
総数（公・私立）,2,あきる野市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,西東京市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,1,郡部,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,瑞穂町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,日の出町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,檜原村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,奥多摩町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,1,島部,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,大島町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,利島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,新島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,神津島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,三宅村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,御蔵島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,八丈町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,青ヶ島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,小笠原村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,0,総数,平成29,2017,1202,617,585,50,27,23,120,61,59,140,67,73,217,106,111,94,－,115,8,328,182,146,94,44,190,347,174,173,－,128,120,99,260,138,122
公立,0,総数,平成30,2018,1188,613,575,48,22,26,118,60,58,138,62,76,215,108,107,108,19,83,5,334,178,156,96,111,127,335,183,152,89,41,198,7,343,174,169
公立,0,総数,令和元,2019,1171,614,557,48,24,24,119,60,59,138,67,71,214,115,99,134,－,78,2,318,167,151,123,86,109,334,181,153,88,105,129,12,343,176,167
公立,0,総数,令和2,2020,1131,582,549,42,23,19,107,55,52,132,63,69,204,102,102,132,－,72,－,327,172,155,132,80,115,319,167,152,120,75,118,6,335,183,152
公立,0,総数,令和3,2021,1088,554,534,38,21,17,104,50,54,125,64,61,192,106,86,123,2,66,1,292,131,161,124,75,93,337,182,155,126,77,129,5,318,164,154
公立,0,総数,令和4,2022,1026,517,509,36,19,17,98,57,41,124,54,70,194,97,97,120,1,70,3,273,153,120,109,80,84,301,137,164,118,71,103,9,328,181,147
公立,1,区部,令和4,2022,1026,517,509,36,19,17,98,57,41,124,54,70,194,97,97,120,1,70,3,273,153,120,109,80,84,301,137,164,118,71,103,9,328,181,147
公立,2,千代田区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,中央区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,港区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,新宿区,令和4,2022,435,227,208,28,15,13,55,31,24,58,24,34,68,38,30,53,1,14,－,114,65,49,45,18,51,112,54,58,49,13,44,6,125,72,53
公立,2,文京区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,台東区,令和4,2022,117,58,59,－,－,－,11,7,4,15,6,9,30,16,14,15,－,15,－,27,17,10,15,11,1,34,12,22,15,18,1,－,34,21,13
公立,2,墨田区,令和4,2022,194,94,100,8,4,4,25,14,11,36,17,19,40,15,25,36,－,1,3,41,19,22,33,7,1,44,25,19,29,7,8,－,45,26,19
公立,2,江東区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,品川区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,目黒区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,大田区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,世田谷区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,渋谷区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,中野区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,杉並区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,豊島区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,北区,令和4,2022,145,69,76,－,－,－,－,－,－,－,－,－,30,15,15,－,－,30,－,55,31,24,－,29,26,60,23,37,－,29,30,1,60,30,30
公立,2,荒川区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,板橋区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,練馬区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,足立区,令和4,2022,135,69,66,－,－,－,7,5,2,15,7,8,26,13,13,16,－,10,－,36,21,15,16,15,5,51,23,28,25,4,20,2,64,32,32
公立,2,葛飾区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,江戸川区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,1,市部,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,八王子市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,立川市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,武蔵野市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,三鷹市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,青梅市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,府中市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,昭島市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,調布市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,町田市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,小金井市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,小平市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,日野市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,東村山市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,国分寺市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,国立市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
