種別,性別,地域階層,地域,和暦（年）,西暦（年）,月,卒業者数（人）,卒業者数／大学等進学者（Ａ）（人）,卒業者数／専修学校（専門課程）進学者（Ｂ）（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）（人）,卒業者数／公共職業能力開発施設等入学者（D）（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／自営業主等（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／無期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／有期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／臨時労働者（人）,卒業者数／就職者（人）,卒業者数／就職者／正規の職員等（人）,卒業者数／就職者／正規の職員等でない者（人）,卒業者数／一時的な仕事に就いた者（人）,卒業者数／左記以外の者（人）,卒業者数／不詳・死亡（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／自営業主等無期雇用労働者（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／雇用契約期間が一年以上、かつフルタイム勤務相当の者（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／正規の職員等（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／正規の職員等でない者（人）,左記Ｅ有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）（人）,Ａのうち大学・短期大学の通信教育部を除く進学者（再掲）（人）,大学等進学率（％）,就職者総数（再掲）（人）,卒業者に占める就職者の割合（％）
総数（国・公・私立）,総数（男・女）,0,総数,平成29,2017,3月,1136,910,42,133,－,…,…,…,…,2,2,－,－,49,－,1,…,…,1,－,…,910,80.1,3,0.3
総数（国・公・私立）,総数（男・女）,0,総数,平成30,2018,3月,1146,889,12,212,3,…,…,…,…,3,3,－,－,27,－,－,…,…,－,－,…,888,77.6,3,0.3
総数（国・公・私立）,総数（男・女）,0,総数,令和元,2019,3月,1141,892,56,114,1,…,…,…,…,5,5,－,－,73,－,－,…,…,－,－,…,892,78.2,5,0.4
総数（国・公・私立）,総数（男・女）,0,総数,令和2,2020,3月,1103,915,55,80,2,－,－,－,－,…,…,…,…,51,－,－,－,－,…,…,－,915,83,－,－
総数（国・公・私立）,総数（男・女）,0,総数,令和3,2021,3月,1141,951,78,59,1,－,3,－,－,…,…,…,…,49,－,－,－,－,…,…,－,950,83.3,3,0.3
総数（国・公・私立）,総数（男・女）,0,総数,令和4,2022,3月,1141,965,11,123,2,－,2,－,－,…,…,…,…,38,－,－,－,－,…,…,－,965,84.6,2,0.2
国立,総数（男・女）,0,総数,令和4,2022,3月,248,200,2,22,－,－,－,－,－,…,…,…,…,24,－,－,－,－,…,…,－,200,80.6,－,－
国立,総数（男・女）,1,中野区,令和4,2022,3月,115,92,1,22,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,92,80,－,－
国立,総数（男・女）,1,練馬区,令和4,2022,3月,133,108,1,－,－,－,－,－,－,…,…,…,…,24,－,－,－,－,…,…,－,108,81.2,－,－
公立,総数（男・女）,0,総数,令和4,2022,3月,893,765,9,101,2,－,2,－,－,…,…,…,…,14,－,－,－,－,…,…,－,765,85.7,2,0.2
公立,総数（男・女）,1,千代田区,令和4,2022,3月,143,113,－,30,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,113,79,－,－
公立,総数（男・女）,1,文京区,令和4,2022,3月,158,134,－,23,－,－,－,－,－,…,…,…,…,1,－,－,－,－,…,…,－,134,84.8,－,－
公立,総数（男・女）,1,目黒区,令和4,2022,3月,147,129,1,6,－,－,－,－,－,…,…,…,…,11,－,－,－,－,…,…,－,129,87.8,－,－
公立,総数（男・女）,1,八王子市,令和4,2022,3月,147,131,5,11,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,131,89.1,－,－
公立,総数（男・女）,1,立川市,令和4,2022,3月,141,120,3,13,1,－,2,－,－,…,…,…,…,2,－,－,－,－,…,…,－,120,85.1,2,1.4
公立,総数（男・女）,1,三鷹市,令和4,2022,3月,157,138,－,18,1,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,138,87.9,－,－
私立,総数（男・女）,0,総数,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
総数（国・公・私立）,男,0,総数,平成29,2017,3月,534,389,26,87,－,…,…,…,…,－,－,－,－,32,－,－,…,…,－,－,…,389,72.8,－,－
総数（国・公・私立）,男,0,総数,平成30,2018,3月,536,389,5,117,2,…,…,…,…,2,2,－,－,21,－,－,…,…,－,－,…,389,72.6,2,0.4
総数（国・公・私立）,男,0,総数,令和元,2019,3月,543,386,35,76,－,…,…,…,…,3,3,－,－,43,－,－,…,…,－,－,…,386,71.1,3,0.6
総数（国・公・私立）,男,0,総数,令和2,2020,3月,520,412,33,47,1,－,－,－,－,…,…,…,…,27,－,－,－,－,…,…,－,412,79.2,－,－
総数（国・公・私立）,男,0,総数,令和3,2021,3月,536,433,47,32,－,－,2,－,－,…,…,…,…,22,－,－,－,－,…,…,－,432,80.8,2,0.4
総数（国・公・私立）,男,0,総数,令和4,2022,3月,540,441,3,73,1,－,2,－,－,…,…,…,…,20,－,－,－,－,…,…,－,441,81.7,2,0.4
国立,男,0,総数,令和4,2022,3月,106,76,1,16,－,－,－,－,－,…,…,…,…,13,－,－,－,－,…,…,－,76,71.7,－,－
国立,男,1,中野区,令和4,2022,3月,57,40,1,16,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,40,70.2,－,－
国立,男,1,練馬区,令和4,2022,3月,49,36,－,－,－,－,－,－,－,…,…,…,…,13,－,－,－,－,…,…,－,36,73.5,－,－
公立,男,0,総数,令和4,2022,3月,434,365,2,57,1,－,2,－,－,…,…,…,…,7,－,－,－,－,…,…,－,365,84.1,2,0.5
公立,男,1,千代田区,令和4,2022,3月,70,53,－,17,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,53,75.7,－,－
公立,男,1,文京区,令和4,2022,3月,82,74,－,8,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,74,90.2,－,－
公立,男,1,目黒区,令和4,2022,3月,70,62,1,2,－,－,－,－,－,…,…,…,…,5,－,－,－,－,…,…,－,62,88.6,－,－
公立,男,1,八王子市,令和4,2022,3月,65,53,1,11,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,53,81.5,－,－
公立,男,1,立川市,令和4,2022,3月,71,59,－,8,－,－,2,－,－,…,…,…,…,2,－,－,－,－,…,…,－,59,83.1,2,2.8
公立,男,1,三鷹市,令和4,2022,3月,76,64,－,11,1,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,64,84.2,－,－
私立,男,0,総数,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
総数（国・公・私立）,女,0,総数,平成29,2017,3月,602,521,16,46,－,…,…,…,…,2,2,－,－,17,－,1,…,…,1,－,…,521,86.5,3,0.5
総数（国・公・私立）,女,0,総数,平成30,2018,3月,610,500,7,95,1,…,…,…,…,1,1,－,－,6,－,－,…,…,－,－,…,499,82,1,0.2
総数（国・公・私立）,女,0,総数,令和元,2019,3月,598,506,21,38,1,…,…,…,…,2,2,－,－,30,－,－,…,…,－,－,…,506,84.6,2,0.3
総数（国・公・私立）,女,0,総数,令和2,2020,3月,583,503,22,33,1,－,－,－,－,…,…,…,…,24,－,－,－,－,…,…,－,503,86.3,－,－
総数（国・公・私立）,女,0,総数,令和3,2021,3月,605,518,31,27,1,－,1,－,－,…,…,…,…,27,－,－,－,－,…,…,－,518,85.6,1,0.2
総数（国・公・私立）,女,0,総数,令和4,2022,3月,601,524,8,50,1,－,－,－,－,…,…,…,…,18,－,－,－,－,…,…,－,524,87.2,－,－
国立,女,0,総数,令和4,2022,3月,142,124,1,6,－,－,－,－,－,…,…,…,…,11,－,－,－,－,…,…,－,124,87.3,－,－
国立,女,1,中野区,令和4,2022,3月,58,52,－,6,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,52,89.7,－,－
国立,女,1,練馬区,令和4,2022,3月,84,72,1,－,－,－,－,－,－,…,…,…,…,11,－,－,－,－,…,…,－,72,85.7,－,－
公立,女,0,総数,令和4,2022,3月,459,400,7,44,1,－,－,－,－,…,…,…,…,7,－,－,－,－,…,…,－,400,87.1,－,－
公立,女,1,千代田区,令和4,2022,3月,73,60,－,13,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,60,82.2,－,－
公立,女,1,文京区,令和4,2022,3月,76,60,－,15,－,－,－,－,－,…,…,…,…,1,－,－,－,－,…,…,－,60,78.9,－,－
公立,女,1,目黒区,令和4,2022,3月,77,67,－,4,－,－,－,－,－,…,…,…,…,6,－,－,－,－,…,…,－,67,87,－,－
公立,女,1,八王子市,令和4,2022,3月,82,78,4,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,78,95.1,－,－
公立,女,1,立川市,令和4,2022,3月,70,61,3,5,1,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,61,87.1,－,－
公立,女,1,三鷹市,令和4,2022,3月,81,74,－,7,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,74,91.4,－,－
私立,女,0,総数,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
