種別,性別,地域階層,地域,和暦（年）,西暦（年）,月,高等学校等進学者数（人）,高等学校等進学者数／高等学校本科（人）,高等学校等進学者数／高等学校本科／全日制（人）,高等学校等進学者数／高等学校本科／定時制（人）,高等学校等進学者数／高等学校本科／通信制（人）,高等学校等進学者数／中等教育学校後期課程本科（人）,高等学校等進学者数／中等教育学校後期課程本科／全日制（人）,高等学校等進学者数／中等教育学校後期課程本科／定時制（人）,高等学校等進学者数／高等学校別科（人）,高等学校等進学者数／中等教育学校後期課程別科（人）,高等学校等進学者数／高等専門学校（人）,高等学校等進学者数／特別支援学校高等部（人）,高等学校等進学者数／特別支援学校高等部／本科（人）,高等学校等進学者数／特別支援学校高等部／別科（人）
総数（公立）,総数（男・女）,0,総数,平成29,2017,3月,740,709,678,16,15,－,－,－,－,－,13,18,18,－
総数（公立）,総数（男・女）,0,総数,平成30,2018,3月,690,671,638,17,16,－,－,－,－,－,9,10,10,－
総数（公立）,総数（男・女）,0,総数,平成31,2019,3月,658,635,611,10,14,－,－,－,－,－,6,17,17,－
総数（公立）,総数（男・女）,0,総数,令和2,2020,3月,652,627,589,14,24,－,－,－,－,－,8,17,17,－
総数（公立）,総数（男・女）,0,総数,令和3,2021,3月,841,798,738,18,42,－,－,－,－,－,12,31,31,－
総数（公立）,総数（男・女）,0,総数,令和4,2022,3月,864,822,761,19,42,－,－,－,－,－,12,30,30,－
総数（公立）,総数（男・女）,1,区部,令和4,2022,3月,761,723,677,14,32,－,－,－,－,－,12,26,26,－
総数（公立）,総数（男・女）,2,江東区,令和4,2022,3月,45,42,40,1,1,－,－,－,－,－,2,1,1,－
総数（公立）,総数（男・女）,2,品川区,令和4,2022,3月,716,681,637,13,31,－,－,－,－,－,10,25,25,－
総数（公立）,総数（男・女）,1,市部,令和4,2022,3月,103,99,84,5,10,－,－,－,－,－,－,4,4,－
総数（公立）,総数（男・女）,2,八王子市,令和4,2022,3月,103,99,84,5,10,－,－,－,－,－,－,4,4,－
総数（公立）,総数（男・女）,1,郡部,令和4,2022,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,総数（男・女）,1,島部,令和4,2022,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,男,0,総数,平成29,2017,3月,401,376,352,11,13,－,－,－,－,－,11,14,14,－
総数（公立）,男,0,総数,平成30,2018,3月,359,346,326,8,12,－,－,－,－,－,9,4,4,－
総数（公立）,男,0,総数,平成31,2019,3月,335,319,308,5,6,－,－,－,－,－,5,11,11,－
総数（公立）,男,0,総数,令和2,2020,3月,320,302,286,4,12,－,－,－,－,－,7,11,11,－
総数（公立）,男,0,総数,令和3,2021,3月,453,423,385,9,29,－,－,－,－,－,7,23,23,－
総数（公立）,男,0,総数,令和4,2022,3月,417,391,356,9,26,－,－,－,－,－,8,18,18,－
総数（公立）,男,1,区部,令和4,2022,3月,369,345,317,7,21,－,－,－,－,－,8,16,16,－
総数（公立）,男,2,江東区,令和4,2022,3月,17,15,15,－,－,－,－,－,－,－,2,－,－,－
総数（公立）,男,2,品川区,令和4,2022,3月,352,330,302,7,21,－,－,－,－,－,6,16,16,－
総数（公立）,男,1,市部,令和4,2022,3月,48,46,39,2,5,－,－,－,－,－,－,2,2,－
総数（公立）,男,2,八王子市,令和4,2022,3月,48,46,39,2,5,－,－,－,－,－,－,2,2,－
総数（公立）,男,1,郡部,令和4,2022,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,男,1,島部,令和4,2022,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,女,0,総数,平成29,2017,3月,339,333,326,5,2,－,－,－,－,－,2,4,4,－
総数（公立）,女,0,総数,平成30,2018,3月,331,325,312,9,4,－,－,－,－,－,－,6,6,－
総数（公立）,女,0,総数,平成31,2019,3月,323,316,303,5,8,－,－,－,－,－,1,6,6,－
総数（公立）,女,0,総数,令和2,2020,3月,332,325,303,10,12,－,－,－,－,－,1,6,6,－
総数（公立）,女,0,総数,令和3,2021,3月,388,375,353,9,13,－,－,－,－,－,5,8,8,－
総数（公立）,女,0,総数,令和4,2022,3月,447,431,405,10,16,－,－,－,－,－,4,12,12,－
総数（公立）,女,1,区部,令和4,2022,3月,392,378,360,7,11,－,－,－,－,－,4,10,10,－
総数（公立）,女,2,江東区,令和4,2022,3月,28,27,25,1,1,－,－,－,－,－,－,1,1,－
総数（公立）,女,2,品川区,令和4,2022,3月,364,351,335,6,10,－,－,－,－,－,4,9,9,－
総数（公立）,女,1,市部,令和4,2022,3月,55,53,45,3,5,－,－,－,－,－,－,2,2,－
総数（公立）,女,2,八王子市,令和4,2022,3月,55,53,45,3,5,－,－,－,－,－,－,2,2,－
総数（公立）,女,1,郡部,令和4,2022,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,女,1,島部,令和4,2022,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,,,,
１４－２　卒業後の状況調査（義務教育学校）　所在地別高等学校等進学者数,,,,,,,,,,,,,,,,,,,,
注）国立・私立には義務教育学校はない。,,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,
