種別,区分,項目,総数（人）,総数／学齢児童数（人）,総数／学齢児童数／６歳（人）,総数／学齢児童数／７歳（人）,総数／学齢児童数／８歳（人）,総数／学齢児童数／９歳（人）,総数／学齢児童数／１０歳（人）,総数／学齢児童数／１１歳（人）,総数／学齢生徒数（人）,総数／学齢生徒数／１２歳（人）,総数／学齢生徒数／１３歳（人）,総数／学齢生徒数／１４歳（人）,総数／男（人）,総数／男／学齢児童数（人）,総数／男／学齢児童数／６歳（人）,総数／男／学齢児童数／７歳（人）,総数／男／学齢児童数／８歳（人）,総数／男／学齢児童数／９歳（人）,総数／男／学齢児童数／１０歳（人）,総数／男／学齢児童数／１１歳（人）,総数／男／学齢生徒数（人）,総数／男／学齢生徒数／１２歳（人）,総数／男／学齢生徒数／１３歳（人）,総数／男／学齢生徒数／１４歳（人）,総数／女（人）,総数／女／学齢児童数（人）,総数／女／学齢児童数／６歳（人）,総数／女／学齢児童数／７歳（人）,総数／女／学齢児童数／８歳（人）,総数／女／学齢児童数／９歳（人）,総数／女／学齢児童数／１０歳（人）,総数／女／学齢児童数／１１歳（人）,総数／女／学齢生徒数（人）,総数／女／学齢生徒数／１２歳（人）,総数／女／学齢生徒数／１３歳（人）,総数／女／学齢生徒数／１４歳（人）
総数（国・公・私立）,不就学者数（就学免除者数・就学猶予者数）,総数,1630,1120,174,173,181,202,193,197,510,174,168,168,786,538,79,89,80,99,97,94,248,90,79,79,844,582,95,84,101,103,96,103,262,84,89,89
総数（国・公・私立）,就学免除者数,総数,1350,906,142,132,144,167,163,158,444,151,147,146,639,419,63,63,61,84,76,72,220,78,71,71,711,487,79,69,83,83,87,86,224,73,76,75
総数（国・公・私立）,就学免除者数,病弱・発育不完全,1,1,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,1,－,－,1,－,－,－,－,－,－,－
総数（国・公・私立）,就学免除者数,児童自立支援施設又は少年院にいるため,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,就学免除者数,重国籍のため,1348,905,142,132,143,167,163,158,443,151,147,145,638,419,63,63,61,84,76,72,219,78,71,70,710,486,79,69,82,83,87,86,224,73,76,75
総数（国・公・私立）,就学免除者数,その他,1,－,－,－,－,－,－,－,1,－,－,1,1,－,－,－,－,－,－,－,1,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,就学猶予者数,総数,280,214,32,41,37,35,30,39,66,23,21,22,147,119,16,26,19,15,21,22,28,12,8,8,133,95,16,15,18,20,9,17,38,11,13,14
総数（国・公・私立）,就学猶予者数,病弱・発育不完全,6,6,3,3,－,－,－,－,－,－,－,－,3,3,2,1,－,－,－,－,－,－,－,－,3,3,1,2,－,－,－,－,－,－,－,－
総数（国・公・私立）,就学猶予者数,児童自立支援施設又は少年院にいるため,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,就学猶予者数,重国籍のため,265,199,27,35,35,34,30,38,66,23,21,22,137,109,13,22,18,14,21,21,28,12,8,8,128,90,14,13,17,20,9,17,38,11,13,14
総数（国・公・私立）,就学猶予者数,その他,9,9,2,3,2,1,－,1,－,－,－,－,7,7,1,3,1,1,－,1,－,－,－,－,2,2,1,－,1,－,－,－,－,－,－,－
総数（国・公・私立）,（別掲）1年以上居所不明者数,総数,10,4,－,1,2,－,－,1,6,3,－,3,8,4,－,1,2,－,－,1,4,2,－,2,2,－,－,－,－,－,－,－,2,1,－,1
総数（国・公・私立）,（別掲）死亡者数（前年度間）,総数,39,18,－,2,2,4,5,5,21,3,9,9,21,12,－,2,1,2,3,4,9,2,3,4,18,6,－,－,1,2,2,1,12,1,6,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１９－１　不就学学齢児童生徒調査　年齢別不就学者数、１年以上居所不明者数及び死亡者数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注）養護学校義務化以降の状況から「肢体不自由」等の項目を見直し、「その他」について細分化した。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
