種別,地域階層,地域,和暦（年度）,西暦（年度）,児童生徒数（人）,児童生徒数／男（人）,児童生徒数／女（人）,児童生徒数／１学年（人）,児童生徒数／１学年／男（人）,児童生徒数／１学年／女（人）,児童生徒数／２学年（人）,児童生徒数／２学年／男（人）,児童生徒数／２学年／女（人）,児童生徒数／３学年（人）,児童生徒数／３学年／男（人）,児童生徒数／３学年／女（人）,児童生徒数／４学年（人）,児童生徒数／４学年／男（人）,児童生徒数／４学年／女（人）,児童生徒数／５学年（人）,児童生徒数／５学年／男（人）,児童生徒数／５学年／女（人）,児童生徒数／６学年（人）,児童生徒数／６学年／男（人）,児童生徒数／６学年／女（人）,児童生徒数／７学年（人）,児童生徒数／７学年／男（人）,児童生徒数／７学年／女（人）,児童生徒数／８学年（人）,児童生徒数／８学年／男（人）,児童生徒数／８学年／女（人）,児童生徒数／９学年（人）,児童生徒数／９学年／男（人）,児童生徒数／９学年／女（人）,帰国児童生徒数(再掲)（人）,外国人児童生徒数(再掲)（人）
総数（公立）,0,総数,平成29,2017,5373,2801,2572,552,293,259,573,319,254,571,299,272,559,281,278,544,270,274,578,317,261,647,326,321,654,334,320,695,362,333,17,90
総数（公立）,0,総数,平成30,2018,5977,3104,2873,708,386,322,670,348,322,681,368,313,648,327,321,629,321,308,584,292,292,737,401,336,659,326,333,661,335,326,6,96
総数（公立）,0,総数,令和元,2019,6272,3240,3032,768,391,377,715,388,327,670,347,323,687,372,315,645,331,314,631,317,314,748,360,388,745,407,338,663,327,336,19,149
総数（公立）,0,総数,令和2,2020,7625,3971,3654,939,506,433,892,458,434,839,451,388,785,403,382,791,427,364,743,375,368,925,475,450,862,417,445,849,459,390,29,187
総数（公立）,0,総数,令和3,2021,7917,4121,3796,947,496,451,942,510,432,885,457,428,829,449,380,783,401,382,780,418,362,961,501,460,927,473,454,863,416,447,14,179
総数（公立）,0,総数,令和4,2022,8200,4316,3884,979,517,462,951,502,449,942,505,437,876,452,424,833,454,379,787,402,385,938,505,433,960,501,459,934,478,456,7,192
総数（公立）,1,区部,令和4,2022,6986,3670,3316,802,415,387,794,422,372,793,428,365,742,377,365,715,389,326,673,350,323,816,439,377,837,435,402,814,415,399,7,174
総数（公立）,2,江東区,令和4,2022,1299,674,625,186,89,97,194,109,85,194,112,82,187,87,100,155,87,68,118,58,60,90,41,49,103,51,52,72,40,32,2,62
総数（公立）,2,品川区,令和4,2022,5687,2996,2691,616,326,290,600,313,287,599,316,283,555,290,265,560,302,258,555,292,263,726,398,328,734,384,350,742,375,367,5,112
総数（公立）,1,市部,令和4,2022,1214,646,568,177,102,75,157,80,77,149,77,72,134,75,59,118,65,53,114,52,62,122,66,56,123,66,57,120,63,57,－,18
総数（公立）,2,八王子市,令和4,2022,1214,646,568,177,102,75,157,80,77,149,77,72,134,75,59,118,65,53,114,52,62,122,66,56,123,66,57,120,63,57,－,18
総数（公立）,1,郡部,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,島部,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
６－３　義務教育学校　所在地、学年別児童生徒数（帰国児童生徒数及び外国人児童生徒数再掲）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注) 国立・私立には義務教育学校はない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
