地域階層,地域,区分,総数／学校数（校）,総数／学級数（学級）,総数／児童数（人）,総数／児童数／１学年（人）,総数／児童数／２学年（人）,総数／児童数／３学年（人）,総数／児童数／４学年（人）,総数／児童数／５学年（人）,総数／児童数／６学年（人）,総数／うち公立／学校数（校）,総数／うち公立／学級数（学級）,総数／うち公立／児童数（人）,総数／うち公立／児童数／１学年（人）,総数／うち公立／児童数／２学年（人）,総数／うち公立／児童数／３学年（人）,総数／うち公立／児童数／４学年（人）,総数／うち公立／児童数／５学年（人）,総数／うち公立／児童数／６学年（人）
0,総数,総数,375,1264,8697,1218,1302,1412,1527,1618,1620,374,1246,8518,1191,1273,1381,1497,1588,1588
0,総数,知的障害,…,1088,7513,1068,1094,1209,1300,1410,1432,…,1088,7513,1068,1094,1209,1300,1410,1432
0,総数,肢体不自由,…,9,49,5,11,7,11,8,7,…,9,49,5,11,7,11,8,7
0,総数,病弱・身体虚弱,…,9,29,－,－,2,15,6,6,…,9,29,－,－,2,15,6,6
0,総数,弱視,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
0,総数,難聴,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
0,総数,言語障害,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
0,総数,情緒障害,…,158,1106,145,197,194,201,194,175,…,140,927,118,168,163,171,164,143
1,区部,総数,212,646,4430,670,673,747,741,809,790,212,646,4430,670,673,747,741,809,790
1,区部,知的障害,…,611,4242,653,632,719,693,778,767,…,611,4242,653,632,719,693,778,767
1,区部,肢体不自由,…,6,34,4,7,5,10,4,4,…,6,34,4,7,5,10,4,4
1,区部,病弱・身体虚弱,…,7,29,－,－,2,15,6,6,…,7,29,－,－,2,15,6,6
1,区部,弱視,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,区部,難聴,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,区部,言語障害,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,区部,情緒障害,…,22,125,13,34,21,23,21,13,…,22,125,13,34,21,23,21,13
1,市部,総数,154,604,4203,541,617,662,773,794,816,153,586,4024,514,588,631,743,764,784
1,市部,知的障害,…,465,3213,409,451,488,596,617,652,…,465,3213,409,451,488,596,617,652
1,市部,肢体不自由,…,3,15,1,4,2,1,4,3,…,3,15,1,4,2,1,4,3
1,市部,病弱・身体虚弱,…,2,－,－,－,－,－,－,－,…,2,－,－,－,－,－,－,－
1,市部,弱視,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,市部,難聴,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,市部,言語障害,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,市部,情緒障害,…,134,975,131,162,172,176,173,161,…,116,796,104,133,141,146,143,129
1,郡部,総数,3,7,42,5,8,2,5,9,13,3,7,42,5,8,2,5,9,13
1,郡部,知的障害,…,6,40,5,7,2,5,9,12,…,6,40,5,7,2,5,9,12
1,郡部,肢体不自由,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,郡部,病弱・身体虚弱,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,郡部,弱視,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,郡部,難聴,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,郡部,言語障害,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,郡部,情緒障害,…,1,2,－,1,－,－,－,1,…,1,2,－,1,－,－,－,1
1,島部,総数,6,7,22,2,4,1,8,6,1,6,7,22,2,4,1,8,6,1
1,島部,知的障害,…,6,18,1,4,－,6,6,1,…,6,18,1,4,－,6,6,1
1,島部,肢体不自由,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,島部,病弱・身体虚弱,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,島部,弱視,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,島部,難聴,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,島部,言語障害,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,島部,情緒障害,…,1,4,1,－,1,2,－,－,…,1,4,1,－,1,2,－,－
,,,,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,,,,
４－７　小学校　特別支援学級のある学校数、設置目的別学級数及び学年別児童数,,,,,,,,,,,,,,,,,,,,
注）国立には、特別支援学級はない。,,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,,,,,,,,,,,,
