地域階層,地域,和暦（年度）,西暦（年度）,職員数（本務者）（人）,職員数（本務者）／男（人）,職員数（本務者）／女（人）,職員数（本務者）／国立（人）,職員数（本務者）／国立／男（人）,職員数（本務者）／国立／女（人）,職員数（本務者）／公立（人）,職員数（本務者）／公立／男（人）,職員数（本務者）／公立／女（人）,職員数（本務者）／私立（人）,職員数（本務者）／私立／男（人）,職員数（本務者）／私立／女（人）
0,総数,平成29,2017,3497,1689,1808,7,－,7,38,12,26,3452,1677,1775
0,総数,平成30,2018,3482,1666,1816,7,1,6,38,10,28,3437,1655,1782
0,総数,令和元,2019,3492,1679,1813,8,1,7,36,8,28,3448,1670,1778
0,総数,令和2,2020,3648,1720,1928,8,1,7,38,10,28,3602,1709,1893
0,総数,令和3,2021,3790,1773,2017,10,1,9,37,10,27,3743,1762,1981
0,総数,令和4,2022,3780,1765,2015,10,2,8,32,8,24,3738,1755,1983
1,区部,令和4,2022,3314,1594,1720,－,－,－,10,2,8,3304,1592,1712
2,千代田区,令和4,2022,428,211,217,－,－,－,－,－,－,428,211,217
2,中央区,令和4,2022,28,18,10,－,－,－,－,－,－,28,18,10
2,港区,令和4,2022,34,10,24,－,－,－,－,－,－,34,10,24
2,新宿区,令和4,2022,530,273,257,－,－,－,－,－,－,530,273,257
2,文京区,令和4,2022,171,85,86,－,－,－,－,－,－,171,85,86
2,台東区,令和4,2022,46,20,26,－,－,－,－,－,－,46,20,26
2,墨田区,令和4,2022,64,32,32,－,－,－,－,－,－,64,32,32
2,江東区,令和4,2022,28,17,11,－,－,－,－,－,－,28,17,11
2,品川区,令和4,2022,44,20,24,－,－,－,－,－,－,44,20,24
2,目黒区,令和4,2022,40,29,11,－,－,－,－,－,－,40,29,11
2,大田区,令和4,2022,168,90,78,－,－,－,4,1,3,164,89,75
2,世田谷区,令和4,2022,64,30,34,－,－,－,－,－,－,64,30,34
2,渋谷区,令和4,2022,676,326,350,－,－,－,3,1,2,673,325,348
2,中野区,令和4,2022,131,62,69,－,－,－,－,－,－,131,62,69
2,杉並区,令和4,2022,81,33,48,－,－,－,－,－,－,81,33,48
2,豊島区,令和4,2022,426,192,234,－,－,－,－,－,－,426,192,234
2,北区,令和4,2022,58,33,25,－,－,－,－,－,－,58,33,25
2,荒川区,令和4,2022,37,16,21,－,－,－,－,－,－,37,16,21
2,板橋区,令和4,2022,55,19,36,－,－,－,3,－,3,52,19,33
2,練馬区,令和4,2022,20,8,12,－,－,－,－,－,－,20,8,12
2,足立区,令和4,2022,12,4,8,－,－,－,－,－,－,12,4,8
2,葛飾区,令和4,2022,32,13,19,－,－,－,－,－,－,32,13,19
2,江戸川区,令和4,2022,141,53,88,－,－,－,－,－,－,141,53,88
1,市部,令和4,2022,466,171,295,10,2,8,22,6,16,434,163,271
2,八王子市,令和4,2022,88,44,44,－,－,－,5,3,2,83,41,42
2,立川市,令和4,2022,79,29,50,－,－,－,－,－,－,79,29,50
2,武蔵野市,令和4,2022,47,16,31,－,－,－,－,－,－,47,16,31
2,三鷹市,令和4,2022,6,3,3,－,－,－,－,－,－,6,3,3
2,青梅市,令和4,2022,14,8,6,－,－,－,5,3,2,9,5,4
2,府中市,令和4,2022,4,－,4,－,－,－,3,－,3,1,－,1
2,昭島市,令和4,2022,7,2,5,－,－,－,－,－,－,7,2,5
2,調布市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－
2,町田市,令和4,2022,120,48,72,－,－,－,－,－,－,120,48,72
2,小金井市,令和4,2022,14,6,8,－,－,－,－,－,－,14,6,8
2,小平市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－
2,日野市,令和4,2022,6,1,5,－,－,－,－,－,－,6,1,5
2,東村山市,令和4,2022,10,2,8,10,2,8,－,－,－,－,－,－
2,国分寺市,令和4,2022,7,2,5,－,－,－,－,－,－,7,2,5
2,国立市,令和4,2022,6,1,5,－,－,－,－,－,－,6,1,5
2,福生市,令和4,2022,2,2,－,－,－,－,－,－,－,2,2,－
2,狛江市,令和4,2022,2,1,1,－,－,－,－,－,－,2,1,1
2,東大和市,令和4,2022,6,－,6,－,－,－,6,－,6,－,－,－
2,清瀬市,令和4,2022,34,3,31,－,－,－,－,－,－,34,3,31
2,東久留米市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－
2,武蔵村山市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－
2,多摩市,令和4,2022,12,3,9,－,－,－,3,－,3,9,3,6
2,稲城市,令和4,2022,2,－,2,－,－,－,－,－,－,2,－,2
2,羽村市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－
2,あきる野市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－
2,西東京市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－
1,郡部,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－
2,瑞穂町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－
2,日の出町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－
2,檜原村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－
2,奥多摩町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－
1,島部,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－
2,大島町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－
2,利島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－
2,新島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－
2,神津島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－
2,三宅村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－
2,御蔵島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－
2,八丈町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－
2,青ヶ島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－
2,小笠原村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,
１１－９　専修学校　区市町村、設置者別職員数,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,
