種別,区分,総数／入学志願者数（人）,総数／入学志願者数／男（人）,総数／入学志願者数／女（人）,総数／入学者数（人）,総数／入学者数／男（人）,総数／入学者数／女（人）,総数／うち他県所在の中学校・義務教育学校卒業者及び中等教育学校前期課程修了者／男（人）,総数／うち他県所在の中学校・義務教育学校卒業者及び中等教育学校前期課程修了者／女（人）,総数／うち過年度中学校・義務教育学校卒業者及び中等教育学校前期課程修了者／男（人）,総数／うち過年度中学校・義務教育学校卒業者及び中等教育学校前期課程修了者／女（人）,全日制／入学志願者数（人）,全日制／入学志願者数／男（人）,全日制／入学志願者数／女（人）,全日制／入学者数（人）,全日制／入学者数／男（人）,全日制／入学者数／女（人）,全日制／うち他県所在の中学校・義務教育学校卒業者及び中等教育学校前期課程修了者／男（人）,全日制／うち他県所在の中学校・義務教育学校卒業者及び中等教育学校前期課程修了者／女（人）,全日制／うち過年度中学校・義務教育学校卒業者及び中等教育学校前期課程修了者／男（人）,全日制／うち過年度中学校・義務教育学校卒業者及び中等教育学校前期課程修了者／女（人）,定時制／入学志願者数（人）,定時制／入学志願者数／男（人）,定時制／入学志願者数／女（人）,定時制／入学者数（人）,定時制／入学者数／男（人）,定時制／入学者数／女（人）,定時制／うち他県所在の中学校・義務教育学校卒業者及び中等教育学校前期課程修了者／男（人）,定時制／うち他県所在の中学校・義務教育学校卒業者及び中等教育学校前期課程修了者／女（人）,定時制／うち過年度中学校・義務教育学校卒業者及び中等教育学校前期課程修了者／男（人）,定時制／うち過年度中学校・義務教育学校卒業者及び中等教育学校前期課程修了者／女（人）
総数（国・公・私立）,総数,193217,97300,95917,102754,51064,51690,5087,5442,128,79,188335,94648,93687,99593,49383,50210,5001,5372,26,24,4882,2652,2230,3161,1681,1480,86,70,102,55
総数（国・公・私立）,普通（普通）,175764,88289,87475,90875,44917,45958,4701,5150,74,56,172714,86585,86129,89217,43974,45243,4626,5091,19,18,3050,1704,1346,1658,943,715,75,59,55,38
総数（国・公・私立）,普通（学際領域）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,普通（地域社会）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,普通（その他）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,農業,927,404,523,671,310,361,1,－,3,3,884,378,506,629,284,345,1,－,1,1,43,26,17,42,26,16,－,－,2,2
総数（国・公・私立）,工業,4910,4206,704,3438,2912,526,333,32,18,5,4768,4115,653,3300,2822,478,327,28,2,2,142,91,51,138,90,48,6,4,16,3
総数（国・公・私立）,商業,2847,1156,1691,1939,806,1133,10,68,3,1,2816,1134,1682,1908,784,1124,10,68,－,－,31,22,9,31,22,9,－,－,3,1
総数（国・公・私立）,水産,106,84,22,69,55,14,－,－,－,－,106,84,22,69,55,14,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,家庭,482,85,397,355,58,297,4,16,1,1,482,85,397,355,58,297,4,16,1,1,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,看護,61,－,61,41,－,41,－,22,－,－,61,－,61,41,－,41,－,22,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,情報,123,79,44,73,42,31,－,－,－,－,－,－,－,－,－,－,－,－,－,－,123,79,44,73,42,31,－,－,－,－
総数（国・公・私立）,福祉,64,7,57,52,6,46,－,－,－,－,64,7,57,52,6,46,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,その他,3006,958,2048,1683,540,1143,30,144,4,3,2992,949,2043,1669,531,1138,30,144,3,2,14,9,5,14,9,5,－,－,1,1
総数（国・公・私立）,総合,4927,2032,2895,3558,1418,2140,8,10,25,10,3448,1311,2137,2353,869,1484,3,3,－,－,1479,721,758,1205,549,656,5,7,25,10
国立,総数,3327,1873,1454,1096,608,488,119,124,－,－,3327,1873,1454,1096,608,488,119,124,－,－,－,－,－,－,－,－,－,－,－,－
国立,普通（普通）,2831,1506,1325,856,439,417,46,103,－,－,2831,1506,1325,856,439,417,46,103,－,－,－,－,－,－,－,－,－,－,－,－
国立,普通（学際領域）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,普通（地域社会）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,普通（その他）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,農業,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,工業,420,349,71,202,162,40,73,21,－,－,420,349,71,202,162,40,73,21,－,－,－,－,－,－,－,－,－,－,－,－
国立,商業,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,水産,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,家庭,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,看護,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,情報,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,福祉,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,その他,76,18,58,38,7,31,－,－,－,－,76,18,58,38,7,31,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,総合,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,総数,68709,34061,34648,41996,21192,20804,91,115,118,69,65366,32335,33031,39225,19806,19419,67,86,16,14,3343,1726,1617,2771,1386,1385,24,29,102,55
公立,普通（普通）,54607,26958,27649,31981,16025,15956,66,83,67,47,53096,26180,26916,30713,15377,15336,53,65,12,9,1511,778,733,1268,648,620,13,18,55,38
公立,普通（学際領域）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,普通（地域社会）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,普通（その他）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,農業,927,404,523,671,310,361,1,－,3,3,884,378,506,629,284,345,1,－,1,1,43,26,17,42,26,16,－,－,2,2
公立,工業,3572,2959,613,2770,2294,476,14,5,18,5,3430,2868,562,2632,2204,428,8,1,2,2,142,91,51,138,90,48,6,4,16,3
公立,商業,1998,780,1218,1608,663,945,－,5,3,1,1967,758,1209,1577,641,936,－,5,－,－,31,22,9,31,22,9,－,－,3,1
公立,水産,106,84,22,69,55,14,－,－,－,－,106,84,22,69,55,14,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,家庭,371,64,307,287,44,243,－,2,1,1,371,64,307,287,44,243,－,2,1,1,－,－,－,－,－,－,－,－,－,－
公立,看護,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,情報,123,79,44,73,42,31,－,－,－,－,－,－,－,－,－,－,－,－,－,－,123,79,44,73,42,31,－,－,－,－
公立,福祉,64,7,57,52,6,46,－,－,－,－,64,7,57,52,6,46,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,その他,2014,694,1320,927,335,592,2,10,1,2,2000,685,1315,913,326,587,2,10,－,1,14,9,5,14,9,5,－,－,1,1
公立,総合,4927,2032,2895,3558,1418,2140,8,10,25,10,3448,1311,2137,2353,869,1484,3,3,－,－,1479,721,758,1205,549,656,5,7,25,10
私立,総数,121181,61366,59815,59662,29264,30398,4877,5203,10,10,119642,60440,59202,59272,28969,30303,4815,5162,10,10,1539,926,613,390,295,95,62,41,－,－
私立,普通（普通）,118326,59825,58501,58038,28453,29585,4589,4964,7,9,116787,58899,57888,57648,28158,29490,4527,4923,7,9,1539,926,613,390,295,95,62,41,－,－
私立,普通（学際領域）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,普通（地域社会）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,普通（その他）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,農業,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,工業,918,898,20,466,456,10,246,6,－,－,918,898,20,466,456,10,246,6,－,－,－,－,－,－,－,－,－,－,－,－
私立,商業,849,376,473,331,143,188,10,63,－,－,849,376,473,331,143,188,10,63,－,－,－,－,－,－,－,－,－,－,－,－
私立,水産,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,家庭,111,21,90,68,14,54,4,14,－,－,111,21,90,68,14,54,4,14,－,－,－,－,－,－,－,－,－,－,－,－
私立,看護,61,－,61,41,－,41,－,22,－,－,61,－,61,41,－,41,－,22,－,－,－,－,－,－,－,－,－,－,－,－
私立,情報,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,福祉,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,その他,916,246,670,718,198,520,28,134,3,1,916,246,670,718,198,520,28,134,3,1,－,－,－,－,－,－,－,－,－,－
私立,総合,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７－８　高等学校（全日制・定時制）　設置者、課程、学科別入学志願者数及び入学者数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注）入学志願者とは、一般応募者及び附属中学校からの進学希望者で、併願者を含めた延数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
