種別,地域階層,地域,和暦（年度）,西暦（年度）,生徒数（人）,生徒数／男（人）,生徒数／女（人）,生徒数／前期課程（人）,生徒数／前期課程／男（人）,生徒数／前期課程／女（人）,生徒数／前期課程／１学年／男（人）,生徒数／前期課程／１学年／女（人）,生徒数／前期課程／２学年／男（人）,生徒数／前期課程／２学年／女（人）,生徒数／前期課程／３学年／男（人）,生徒数／前期課程／３学年／女（人）,生徒数／後期課程（人）,生徒数／後期課程／男（人）,生徒数／後期課程／女（人）,生徒数／後期課程／全日制（人）,生徒数／後期課程／全日制／男（人）,生徒数／後期課程／全日制／女（人）,生徒数／後期課程／全日制／１学年／男（人）,生徒数／後期課程／全日制／１学年／女（人）,生徒数／後期課程／全日制／２学年／男（人）,生徒数／後期課程／全日制／２学年／女（人）,生徒数／後期課程／全日制／３学年／男（人）,生徒数／後期課程／全日制／３学年／女（人）,生徒数／後期課程／定時制（人）,生徒数／後期課程／定時制／男（人）,生徒数／後期課程／定時制／女（人）,生徒数／後期課程／定時制／１学年／男（人）,生徒数／後期課程／定時制／１学年／女（人）,生徒数／後期課程／定時制／２学年／男（人）,生徒数／後期課程／定時制／２学年／女（人）,生徒数／後期課程／定時制／３学年／男（人）,生徒数／後期課程／定時制／３学年／女（人）,生徒数／後期課程／定時制／４学年／男（人）,生徒数／後期課程／定時制／４学年／女（人）,生徒数／後期課程／専攻科／男（人）,生徒数／後期課程／専攻科／女（人）,生徒数／後期課程／別科／男（人）,生徒数／後期課程／別科／女（人）
総数（国・公・私立）,0,総数,平成29,2017,7058,3352,3706,3573,1716,1857,579,611,567,624,570,622,3485,1636,1849,3485,1636,1849,545,642,552,594,539,613,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,0,総数,平成30,2018,7046,3344,3702,3565,1702,1863,562,624,578,612,562,627,3481,1642,1839,3481,1642,1839,569,637,526,599,547,603,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,0,総数,令和元,2019,7028,3323,3705,3576,1694,1882,553,635,561,630,580,617,3452,1629,1823,3452,1629,1823,561,627,549,600,519,596,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,0,総数,令和2,2020,7051,3326,3725,3559,1665,1894,554,631,548,638,563,625,3492,1661,1831,3492,1661,1831,573,616,549,609,539,606,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,0,総数,令和3,2021,7045,3310,3735,3561,1650,1911,546,639,555,632,549,640,3484,1660,1824,3484,1660,1824,555,623,562,599,543,602,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,0,総数,令和4,2022,7042,3279,3763,3575,1640,1935,542,651,539,648,559,636,3467,1639,1828,3467,1639,1828,541,630,548,605,550,593,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,0,総数,令和4,2022,1430,603,827,697,281,416,91,134,95,136,95,146,733,322,411,733,322,411,113,134,107,143,102,134,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,1,中野区,令和4,2022,715,357,358,359,179,180,60,60,60,60,59,60,356,178,178,356,178,178,61,60,62,63,55,55,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,1,練馬区,令和4,2022,715,246,469,338,102,236,31,74,35,76,36,86,377,144,233,377,144,233,52,74,45,80,47,79,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,0,総数,令和4,2022,5612,2676,2936,2878,1359,1519,451,517,444,512,464,490,2734,1317,1417,2734,1317,1417,428,496,441,462,448,459,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,1,千代田区,令和4,2022,925,460,465,478,239,239,81,80,78,80,80,79,447,221,226,447,221,226,73,78,76,73,72,75,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,1,文京区,令和4,2022,945,427,518,480,213,267,68,93,64,95,81,79,465,214,251,465,214,251,66,94,69,83,79,74,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,1,目黒区,令和4,2022,943,440,503,479,225,254,77,85,77,83,71,86,464,215,249,464,215,249,68,87,73,79,74,83,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,1,八王子市,令和4,2022,937,456,481,481,232,249,75,86,79,81,78,82,456,224,232,456,224,232,75,76,76,78,73,78,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,1,立川市,令和4,2022,923,441,482,480,223,257,76,86,70,89,77,82,443,218,225,443,218,225,73,81,73,72,72,72,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,1,三鷹市,令和4,2022,939,452,487,480,227,253,74,87,76,84,77,82,459,225,234,459,225,234,73,80,74,77,78,77,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,0,総数,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
９－３　中等教育学校　設置者、所在地、課程、学年別生徒数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
