種別,課程,性別,就職者総数（人）,就職者総数／専門的・技術的職業従事者（人）,就職者総数／事務従事者（人）,就職者総数／販売従事者（人）,就職者総数／サービス職業従事者（人）,就職者総数／保安職業従事者（人）,就職者総数／農林漁業従事者／農林業従事者（人）,就職者総数／農林漁業従事者／漁業従事者（人）,就職者総数／生産工程従事者（人）,就職者総数／輸送・機械運転従事者（人）,就職者総数／建設・採掘従事者（人）,就職者総数／運搬・清掃等従事者（人）,就職者総数／左記以外の者（人）,就職者総数／生産工程従事者（再掲）／計（人）,就職者総数／生産工程従事者（再掲）／製造・加工従事者（人）,就職者総数／生産工程従事者（再掲）／機械組立従事者（人）,就職者総数／生産工程従事者（再掲）／機械修理従事者（人）,就職者総数／生産工程従事者（再掲）／検査従事者（人）,就職者総数／生産工程従事者（再掲）／その他（人）,就職者総数／職業安定所又は学校を通じて就職した者（再掲）（人）,就職者総数／自家・自営業に就いた者（再掲）（人）
総数（国・公・私立）,総数（全日制・定時制）,総数（男・女）,4747,441,645,606,707,235,32,7,949,292,431,199,203,949,583,136,175,21,34,2556,145
総数（国・公・私立）,総数（全日制・定時制）,男,3001,348,176,239,300,177,22,7,769,268,401,166,128,769,434,119,171,18,27,1730,100
総数（国・公・私立）,総数（全日制・定時制）,女,1746,93,469,367,407,58,10,－,180,24,30,33,75,180,149,17,4,3,7,826,45
総数（国・公・私立）,全日制,総数（男・女）,4172,402,614,501,566,210,25,7,870,267,386,148,176,870,521,129,165,21,34,2408,133
総数（国・公・私立）,全日制,男,2629,314,165,185,229,155,17,7,716,246,361,127,107,716,396,114,161,18,27,1634,92
総数（国・公・私立）,全日制,女,1543,88,449,316,337,55,8,－,154,21,25,21,69,154,125,15,4,3,7,774,41
総数（国・公・私立）,定時制,総数（男・女）,575,39,31,105,141,25,7,－,79,25,45,51,27,79,62,7,10,－,－,148,12
総数（国・公・私立）,定時制,男,372,34,11,54,71,22,5,－,53,22,40,39,21,53,38,5,10,－,－,96,8
総数（国・公・私立）,定時制,女,203,5,20,51,70,3,2,－,26,3,5,12,6,26,24,2,－,－,－,52,4
総数（国・公・私立）,総数（全日制・定時制）のうち普通（普通）,総数（男・女）,1982,116,214,354,432,162,6,2,239,80,128,95,154,239,183,20,24,8,4,732,82
総数（国・公・私立）,総数（全日制・定時制）のうち普通（普通）,男,1051,66,55,136,169,113,6,2,150,69,118,73,94,150,105,13,23,6,3,340,48
総数（国・公・私立）,総数（全日制・定時制）のうち普通（普通）,女,931,50,159,218,263,49,－,－,89,11,10,22,60,89,78,7,1,2,1,392,34
総数（国・公・私立）,総数（全日制・定時制）のうち普通（学際領域）,総数（男・女）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（学際領域）,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（学際領域）,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（地域社会）,総数（男・女）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（地域社会）,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（地域社会）,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（その他）,総数（男・女）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（その他）,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（その他）,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち農業,総数（男・女）,166,12,9,26,38,9,20,－,32,4,4,7,5,32,32,－,－,－,－,47,1
総数（国・公・私立）,総数（全日制・定時制）のうち農業,男,80,7,1,8,16,8,11,－,16,3,3,5,2,16,16,－,－,－,－,28,－
総数（国・公・私立）,総数（全日制・定時制）のうち農業,女,86,5,8,18,22,1,9,－,16,1,1,2,3,16,16,－,－,－,－,19,1
総数（国・公・私立）,総数（全日制・定時制）のうち工業,総数（男・女）,1675,261,79,62,72,39,3,－,609,182,277,62,29,609,309,113,147,12,28,1291,45
総数（国・公・私立）,総数（全日制・定時制）のうち工業,男,1537,244,66,47,56,37,3,－,562,177,259,60,26,562,279,104,144,12,23,1204,41
総数（国・公・私立）,総数（全日制・定時制）のうち工業,女,138,17,13,15,16,2,－,－,47,5,18,2,3,47,30,9,3,－,5,87,4
総数（国・公・私立）,総数（全日制・定時制）のうち商業,総数（男・女）,603,32,291,125,60,7,－,－,31,20,8,22,7,31,30,－,1,－,－,394,14
総数（国・公・私立）,総数（全日制・定時制）のうち商業,男,175,19,47,32,15,3,－,－,17,13,7,20,2,17,16,－,1,－,－,114,10
総数（国・公・私立）,総数（全日制・定時制）のうち商業,女,428,13,244,93,45,4,－,－,14,7,1,2,5,14,14,－,－,－,－,280,4
総数（国・公・私立）,総数（全日制・定時制）のうち水産,総数（男・女）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち水産,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち水産,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち家庭,総数（男・女）,47,2,3,3,32,－,1,－,4,－,－,－,2,4,4,－,－,－,－,1,－
総数（国・公・私立）,総数（全日制・定時制）のうち家庭,男,15,－,－,－,15,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち家庭,女,32,2,3,3,17,－,1,－,4,－,－,－,2,4,4,－,－,－,－,1,－
総数（国・公・私立）,総数（全日制・定時制）のうち看護,総数（男・女）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち看護,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち看護,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち情報,総数（男・女）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち情報,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち情報,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち福祉,総数（男・女）,5,－,－,－,4,－,－,－,1,－,－,－,－,1,1,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち福祉,男,1,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち福祉,女,4,－,－,－,3,－,－,－,1,－,－,－,－,1,1,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうちその他,総数（男・女）,120,13,30,9,15,7,1,4,20,3,9,4,5,20,13,3,1,1,2,84,1
総数（国・公・私立）,総数（全日制・定時制）のうちその他,男,66,9,3,4,8,6,1,4,13,3,9,3,3,13,9,2,1,－,1,39,－
総数（国・公・私立）,総数（全日制・定時制）のうちその他,女,54,4,27,5,7,1,－,－,7,－,－,1,2,7,4,1,－,1,1,45,1
総数（国・公・私立）,総数（全日制・定時制）のうち総合学科,総数（男・女）,149,5,19,27,54,11,1,1,13,3,5,9,1,13,11,－,2,－,－,7,2
総数（国・公・私立）,総数（全日制・定時制）のうち総合学科,男,76,3,4,12,20,10,1,1,11,3,5,5,1,11,9,－,2,－,－,5,1
総数（国・公・私立）,総数（全日制・定時制）のうち総合学科,女,73,2,15,15,34,1,－,－,2,－,－,4,－,2,2,－,－,－,－,2,1
,,,,,,,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,,,,,,,
１５－７　卒業後の状況調査（高等学校  全日制・定時制）　学科、課程、職業別就職者総数,,,,,,,,,,,,,,,,,,,,,,,
注）進学しながら就職している者及び専修学校等へ入学しながら就職している者を含む。,,,,,,,,,,,,,,,,,,,,,,,
